iso3,country,life_expectancy_2019,life_expectancy_2020,life_expectancy_loss_2019_2020,life_expectancy_2021,life_expectancy_loss_2019_2021,life_expectancy_2022,life_expectancy_loss_2019_2022,max_life_expectancy_drop_2020_2022,higher_is_worse,source_indicator,source_provenance
ABW,Aruba,76.019,75.406,0.6129999999999995,73.655,2.3640000000000043,76.226,-0.20699999999999363,2.3640000000000043,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
AFE,Africa Eastern and Southern,63.8572612837043,63.7664840026943,0.09077728100999849,62.9799991857494,0.8772620979548975,64.4871517904367,-0.6298905067324014,0.8772620979548975,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
AFG,Afghanistan,62.941,61.454,1.4870000000000019,60.417,2.524000000000001,65.617,-2.676000000000002,2.524000000000001,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
AFW,Africa Western and Central,57.149956341607,57.364735967395,-0.21477962578799747,57.3627361321845,-0.21277979057749974,57.9878499444678,-0.8378936028607953,-0.21277979057749974,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
AGO,Angola,63.051,63.116,-0.06499999999999773,62.958,0.09300000000000352,64.246,-1.1949999999999932,0.09300000000000352,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
ALB,Albania,79.467,77.824,1.6430000000000007,76.844,2.6230000000000047,78.769,0.6979999999999933,2.6230000000000047,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
AND,Andorra,84.098,79.418,4.679999999999993,82.331,1.766999999999996,84.016,0.08199999999999363,4.679999999999993,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
ARB,Arab World,71.8398932674972,70.7265588103862,1.1133344571110086,70.4041144889903,1.4357787785069007,71.8760955992222,-0.03620233172499354,1.4357787785069007,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
ARE,United Arab Emirates,82.596,81.936,0.6599999999999966,79.083,3.5130000000000052,80.487,2.109000000000009,3.5130000000000052,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
ARG,Argentina,76.847,75.878,0.9689999999999941,73.948,2.899000000000001,75.806,1.0409999999999968,2.899000000000001,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
ARM,Armenia,76.2219512195122,73.3756097560976,2.8463414634146034,72.2780487804878,3.943902439024413,74.7658536585366,1.456097560975607,3.943902439024413,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
ASM,American Samoa,72.751,72.672,0.07900000000000773,72.708,0.043000000000006366,72.752,-0.000999999999990564,0.07900000000000773,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
ATG,Antigua and Barbuda,77.168,77.161,0.007000000000005002,77.197,-0.028999999999996362,77.483,-0.3149999999999977,0.007000000000005002,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
AUS,Australia,82.9,83.2,-0.29999999999999716,83.3,-0.3999999999999915,83.2,-0.29999999999999716,-0.29999999999999716,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
AUT,Austria,81.8951219512195,81.1926829268293,0.7024390243901877,81.190243902439,0.7048780487805004,81.2951219512195,0.5999999999999943,0.7048780487805004,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
AZE,Azerbaijan,73.29,70.312,2.9780000000000086,70.999,2.291000000000011,74.125,-0.8349999999999937,2.9780000000000086,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
BDI,Burundi,62.18,62.569,-0.3890000000000029,62.101,0.07900000000000063,62.882,-0.7019999999999982,0.07900000000000063,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
