iso3,country,region,income_group,physicians_per_1000,physicians_per_1000_observed_years,physicians_per_1000_aggregation,nurses_midwives_per_1000,nurses_midwives_per_1000_observed_years,nurses_midwives_per_1000_aggregation,hospital_beds_per_1000,hospital_beds_per_1000_observed_years,hospital_beds_per_1000_aggregation,current_health_expenditure_per_capita_ppp,current_health_expenditure_per_capita_ppp_observed_years,current_health_expenditure_per_capita_ppp_aggregation,domestic_gov_health_expenditure_gdp,domestic_gov_health_expenditure_gdp_observed_years,domestic_gov_health_expenditure_gdp_aggregation,out_of_pocket_expenditure_share,out_of_pocket_expenditure_share_observed_years,out_of_pocket_expenditure_share_aggregation,uhc_service_coverage_index,uhc_service_coverage_index_observed_years,uhc_service_coverage_index_aggregation,measles_immunization_coverage,measles_immunization_coverage_observed_years,measles_immunization_coverage_aggregation,dpt_immunization_coverage,dpt_immunization_coverage_observed_years,dpt_immunization_coverage_aggregation,age65_share,age65_share_observed_years,age65_share_aggregation,population_density,population_density_observed_years,population_density_aggregation,life_expectancy,life_expectancy_observed_years,life_expectancy_aggregation,under5_mortality,under5_mortality_observed_years,under5_mortality_aggregation,adult_mortality_female,adult_mortality_female_observed_years,adult_mortality_female_aggregation,adult_mortality_male,adult_mortality_male_observed_years,adult_mortality_male_aggregation,gdp_per_capita_ppp,gdp_per_capita_ppp_observed_years,gdp_per_capita_ppp_aggregation,feature_missing_count,feature_missing_rate,primary_sample,extended_sample
ABW,Aruba,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75463682949154,5,mean_2015_2019,603.8655555555554,5.0,mean_2015_2019,75.6928,5,mean_2015_2019,,,,62.6904,5,mean_2015_2019,132.3032,5,mean_2015_2019,38108.36560032472,5.0,mean_2015_2019,10,0.6666666666666666,False,False
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.2672,5.0,mean_2015_2019,0.22825,4.0,mean_2015_2018,0.418,5.0,mean_2015_2019,303.3299629878412,5.0,mean_2015_2019,0.5630776040000001,5.0,mean_2015_2019,76.57611999399998,5.0,mean_2015_2019,40.2,5.0,mean_2015_2019,62.6,5.0,mean_2015_2019,65.4,5.0,mean_2015_2019,2.363040661163984,5,mean_2015_2019,54.833562086993865,5.0,mean_2015_2019,62.5412,5,mean_2015_2019,67.17999999999999,5.0,mean_2015_2019,203.84380000000002,5,mean_2015_2019,306.5748,5,mean_2015_2019,2941.82272775273,5.0,mean_2015_2019,0,0.0,True,True
AGO,Angola,Sub-Saharan Africa ,Lower middle income,0.211,2.0,latest_pre2020_2018,0.401,1.0,latest_pre2020_2018,0.75,1.0,latest_pre2020_2019,189.13180248534482,5.0,mean_2015_2019,1.051111388,5.0,mean_2015_2019,34.448706056,5.0,mean_2015_2019,41.4,5.0,mean_2015_2019,52.6,5.0,mean_2015_2019,61.0,5.0,mean_2015_2019,2.692510688591244,5,mean_2015_2019,24.263815512954203,5.0,mean_2015_2019,62.0912,5,mean_2015_2019,58.220000000000006,5.0,mean_2015_2019,211.4318,5,mean_2015_2019,296.9076,5,mean_2015_2019,10452.361897416256,5.0,mean_2015_2019,0,0.0,True,True
ALB,Albania,Europe & Central Asia,Upper middle income,1.645,2.0,latest_pre2020_2019,5.081,2.0,latest_pre2020_2019,2.83,5.0,mean_2015_2019,854.5451614069661,5.0,mean_2015_2019,2.8000983739999996,5.0,mean_2015_2019,56.77315216200001,5.0,mean_2015_2019,64.2,5.0,mean_2015_2019,95.6,5.0,mean_2015_2019,99.0,5.0,mean_2015_2019,13.35126606149748,5,mean_2015_2019,96.67577372262774,5.0,mean_2015_2019,78.9212,5,mean_2015_2019,9.4,5.0,mean_2015_2019,51.040800000000004,5,mean_2015_2019,101.604,5,mean_2015_2019,15362.3905273488,5.0,mean_2015_2019,0,0.0,True,True
AND,Andorra,Europe & Central Asia,High income,4.1716,5.0,mean_2015_2019,4.5446,5.0,mean_2015_2019,,,,3828.911402105744,5.0,mean_2015_2019,5.10121422,5.0,mean_2015_2019,12.556494714,5.0,mean_2015_2019,72.6,5.0,mean_2015_2019,98.0,5.0,mean_2015_2019,98.4,5.0,mean_2015_2019,13.290804762502479,5,mean_2015_2019,157.3421276595744,5.0,mean_2015_2019,84.34400000000001,5,mean_2015_2019,3.2400000000000007,5.0,mean_2015_2019,26.544400000000003,5,mean_2015_2019,40.77459999999999,5,mean_2015_2019,63202.42391926036,5.0,mean_2015_2019,1,0.06666666666666667,True,True
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,2.5271999999999997,5.0,mean_2015_2019,5.7562,5.0,mean_2015_2019,1.5419999999999998,5.0,mean_2015_2019,2851.5307130228985,5.0,mean_2015_2019,2.401090862,5.0,mean_2015_2019,14.025119208000001,5.0,mean_2015_2019,82.2,5.0,mean_2015_2019,99.0,5.0,mean_2015_2019,98.6,5.0,mean_2015_2019,1.4995639689582738,5,mean_2015_2019,128.00913263869342,5.0,mean_2015_2019,82.3408,5,mean_2015_2019,6.9799999999999995,5.0,mean_2015_2019,20.4608,5,mean_2015_2019,41.2162,5,mean_2015_2019,73786.54054197895,5.0,mean_2015_2019,0,0.0,True,True
ARG,Argentina,Latin America & Caribbean ,Upper middle income,5.103,5.0,mean_2015_2019,3.6513999999999998,5.0,mean_2015_2019,4.452,5.0,mean_2015_2019,2265.6184676664398,5.0,mean_2015_2019,6.478829383999999,5.0,mean_2015_2019,24.069470978,5.0,mean_2015_2019,80.0,5.0,mean_2015_2019,89.8,5.0,mean_2015_2019,88.6,5.0,mean_2015_2019,11.32073029128272,5,mean_2015_2019,16.17242479053164,5.0,mean_2015_2019,76.573,5,mean_2015_2019,11.059999999999999,5.0,mean_2015_2019,84.32860000000001,5,mean_2015_2019,138.07819999999998,5,mean_2015_2019,27760.576814925902,5.0,mean_2015_2019,0,0.0,True,True
ARM,Armenia,Europe & Central Asia,Upper middle income,2.9256,5.0,mean_2015_2019,4.8224,5.0,mean_2015_2019,4.215999999999999,5.0,mean_2015_2019,1284.98870994113,5.0,mean_2015_2019,1.453285028,5.0,mean_2015_2019,83.139109802,5.0,mean_2015_2019,70.6,5.0,mean_2015_2019,96.0,5.0,mean_2015_2019,93.2,5.0,mean_2015_2019,11.448575239429939,5,mean_2015_2019,104.72637864418698,5.0,mean_2015_2019,75.35951219512197,5,mean_2015_2019,13.36,5.0,mean_2015_2019,64.6306,5,mean_2015_2019,187.8924,5,mean_2015_2019,14360.407020484941,5.0,mean_2015_2019,0,0.0,True,True
ASM,American Samoa,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.613371479926776,5,mean_2015_2019,257.826,5.0,mean_2015_2019,72.728,5,mean_2015_2019,,,,120.65180000000001,5,mean_2015_2019,201.07580000000002,5,mean_2015_2019,,,,10,0.6666666666666666,False,False
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,2.917,1.0,latest_pre2020_2017,5.7214,5.0,mean_2015_2019,3.56,3.0,mean_2015_2017,1073.437939945246,5.0,mean_2015_2019,2.725624514,5.0,mean_2015_2019,25.108844376,5.0,mean_2015_2019,81.2,5.0,mean_2015_2019,94.2,5.0,mean_2015_2019,96.0,5.0,mean_2015_2019,8.791042686799026,5,mean_2015_2019,205.5163636363638,5.0,mean_2015_2019,77.03800000000001,5,mean_2015_2019,10.66,5.0,mean_2015_2019,88.3046,5,mean_2015_2019,130.6624,5,mean_2015_2019,27618.306468760176,5.0,mean_2015_2019,0,0.0,True,True
