iso3,country,region,income_group,physicians_per_1000,physicians_per_1000_observed_years,physicians_per_1000_aggregation,nurses_midwives_per_1000,nurses_midwives_per_1000_observed_years,nurses_midwives_per_1000_aggregation,hospital_beds_per_1000,hospital_beds_per_1000_observed_years,hospital_beds_per_1000_aggregation,current_health_expenditure_per_capita_ppp,current_health_expenditure_per_capita_ppp_observed_years,current_health_expenditure_per_capita_ppp_aggregation,current_health_expenditure_gdp,current_health_expenditure_gdp_observed_years,current_health_expenditure_gdp_aggregation,domestic_gov_health_expenditure_gdp,domestic_gov_health_expenditure_gdp_observed_years,domestic_gov_health_expenditure_gdp_aggregation,measles_immunization_coverage,measles_immunization_coverage_observed_years,measles_immunization_coverage_aggregation,dpt_immunization_coverage,dpt_immunization_coverage_observed_years,dpt_immunization_coverage_aggregation,tuberculosis_incidence,tuberculosis_incidence_observed_years,tuberculosis_incidence_aggregation,hiv_prevalence,hiv_prevalence_observed_years,hiv_prevalence_aggregation,age65_share,age65_share_observed_years,age65_share_aggregation,population_density,population_density_observed_years,population_density_aggregation,urban_population_share,urban_population_share_observed_years,urban_population_share_aggregation,ncd_mortality_risk,ncd_mortality_risk_observed_years,ncd_mortality_risk_aggregation,air_pollution_pm25,air_pollution_pm25_observed_years,air_pollution_pm25_aggregation,life_expectancy,life_expectancy_observed_years,life_expectancy_aggregation,under5_mortality,under5_mortality_observed_years,under5_mortality_aggregation,adult_mortality_female,adult_mortality_female_observed_years,adult_mortality_female_aggregation,adult_mortality_male,adult_mortality_male_observed_years,adult_mortality_male_aggregation,uhc_service_coverage_index,uhc_service_coverage_index_observed_years,uhc_service_coverage_index_aggregation,domestic_gov_health_expenditure_share,domestic_gov_health_expenditure_share_observed_years,domestic_gov_health_expenditure_share_aggregation,out_of_pocket_expenditure_share,out_of_pocket_expenditure_share_observed_years,out_of_pocket_expenditure_share_aggregation,out_of_pocket_expenditure_per_capita_ppp,out_of_pocket_expenditure_per_capita_ppp_observed_years,out_of_pocket_expenditure_per_capita_ppp_aggregation,basic_sanitation_access,basic_sanitation_access_observed_years,basic_sanitation_access_aggregation,basic_drinking_water_access,basic_drinking_water_access_observed_years,basic_drinking_water_access_aggregation,basic_handwashing_access,basic_handwashing_access_observed_years,basic_handwashing_access_aggregation,diabetes_prevalence,diabetes_prevalence_observed_years,diabetes_prevalence_aggregation,gdp_per_capita_ppp,gdp_per_capita_ppp_observed_years,gdp_per_capita_ppp_aggregation,population_total,population_total_observed_years,population_total_aggregation,expanded_feature_missing_count,expanded_feature_missing_rate,expanded_primary_sample
ABW,Aruba,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,5.52,5.0,mean_2015_2019,,,,12.75463682949154,5,mean_2015_2019,603.8655555555554,5.0,mean_2015_2019,62.76770286710299,5,mean_2015_2019,,,,,,,75.6928,5,mean_2015_2019,,,,62.6904,5,mean_2015_2019,132.3032,5,mean_2015_2019,,,,,,,,,,,,,98.6429794587166,5.0,mean_2015_2019,96.7397757541097,2.0,latest_pre2020_2016,98.6072430841672,5.0,mean_2015_2019,,,,38108.36560032472,5.0,mean_2015_2019,108695.8,5,mean_2015_2019,16,0.6153846153846154,False
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.2672,5.0,mean_2015_2019,0.22825,4.0,mean_2015_2018,0.418,5.0,mean_2015_2019,303.3299629878412,5.0,mean_2015_2019,12.716898726,5.0,mean_2015_2019,0.5630776040000001,5.0,mean_2015_2019,62.6,5.0,mean_2015_2019,65.4,5.0,mean_2015_2019,207.6,5.0,mean_2015_2019,0.1,5.0,mean_2015_2019,2.363040661163984,5,mean_2015_2019,54.833562086993865,5.0,mean_2015_2019,24.82038378823548,5,mean_2015_2019,34.78,5.0,mean_2015_2019,67.53542489725211,5.0,mean_2015_2019,62.5412,5,mean_2015_2019,67.17999999999999,5.0,mean_2015_2019,203.84380000000002,5,mean_2015_2019,306.5748,5,mean_2015_2019,40.2,5.0,mean_2015_2019,4.517020368,5.0,mean_2015_2019,76.57611999399998,5.0,mean_2015_2019,232.0967316297346,5.0,mean_2015_2019,44.7524855449051,5.0,mean_2015_2019,65.15562424955158,5.0,mean_2015_2019,44.54087818751468,5.0,mean_2015_2019,,,,2941.82272775273,5.0,mean_2015_2019,35764094.2,5,mean_2015_2019,0,0.0,True
AGO,Angola,Sub-Saharan Africa ,Lower middle income,0.211,2.0,latest_pre2020_2018,0.401,1.0,latest_pre2020_2018,0.75,1.0,latest_pre2020_2019,189.13180248534482,5.0,mean_2015_2019,2.3262232320000003,5.0,mean_2015_2019,1.051111388,5.0,mean_2015_2019,52.6,5.0,mean_2015_2019,61.0,5.0,mean_2015_2019,417.8,5.0,mean_2015_2019,1.7600000000000002,5.0,mean_2015_2019,2.692510688591244,5,mean_2015_2019,24.263815512954203,5.0,mean_2015_2019,65.08739141552924,5,mean_2015_2019,23.54,5.0,mean_2015_2019,24.60116571485664,5.0,mean_2015_2019,62.0912,5,mean_2015_2019,58.220000000000006,5.0,mean_2015_2019,211.4318,5,mean_2015_2019,296.9076,5,mean_2015_2019,41.4,5.0,mean_2015_2019,45.182994078,5.0,mean_2015_2019,34.448706056,5.0,mean_2015_2019,65.15564349987343,5.0,mean_2015_2019,48.299397267460854,5.0,mean_2015_2019,61.6215814411765,5.0,mean_2015_2019,35.7913990627443,5.0,mean_2015_2019,,,,10452.361897416256,5.0,mean_2015_2019,30249698.8,5,mean_2015_2019,0,0.0,True
ALB,Albania,Europe & Central Asia,Upper middle income,1.645,2.0,latest_pre2020_2019,5.081,2.0,latest_pre2020_2019,2.83,5.0,mean_2015_2019,854.5451614069661,5.0,mean_2015_2019,6.582174778000001,5.0,mean_2015_2019,2.8000983739999996,5.0,mean_2015_2019,95.6,5.0,mean_2015_2019,99.0,5.0,mean_2015_2019,17.0,5.0,mean_2015_2019,0.1,5.0,mean_2015_2019,13.35126606149748,5,mean_2015_2019,96.67577372262774,5.0,mean_2015_2019,55.970597279816104,5,mean_2015_2019,12.14,5.0,mean_2015_2019,18.00597169424146,5.0,mean_2015_2019,78.9212,5,mean_2015_2019,9.4,5.0,mean_2015_2019,51.040800000000004,5,mean_2015_2019,101.604,5,mean_2015_2019,64.2,5.0,mean_2015_2019,42.534304046,5.0,mean_2015_2019,56.77315216200001,5.0,mean_2015_2019,484.91351625153584,5.0,mean_2015_2019,98.49337596515672,5.0,mean_2015_2019,94.08918333445511,5.0,mean_2015_2019,,,,,,,15362.3905273488,5.0,mean_2015_2019,2648916.2,5,mean_2015_2019,1,0.038461538461538464,True
AND,Andorra,Europe & Central Asia,High income,4.1716,5.0,mean_2015_2019,4.5446,5.0,mean_2015_2019,,,,3828.911402105744,5.0,mean_2015_2019,7.125418854,5.0,mean_2015_2019,5.10121422,5.0,mean_2015_2019,98.0,5.0,mean_2015_2019,98.4,5.0,mean_2015_2019,4.32,5.0,mean_2015_2019,,,,13.290804762502479,5,mean_2015_2019,157.3421276595744,5.0,mean_2015_2019,88.51316264878815,5,mean_2015_2019,,,,10.028863706055017,5.0,mean_2015_2019,84.34400000000001,5,mean_2015_2019,3.2400000000000007,5.0,mean_2015_2019,26.544400000000003,5,mean_2015_2019,40.77459999999999,5,mean_2015_2019,72.6,5.0,mean_2015_2019,71.604371642,5.0,mean_2015_2019,12.556494714,5.0,mean_2015_2019,480.74965142027906,5.0,mean_2015_2019,100.0,5.0,mean_2015_2019,100.0,5.0,mean_2015_2019,,,,,,,63202.42391926036,5.0,mean_2015_2019,73950.8,5,mean_2015_2019,4,0.15384615384615385,True
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,2.5271999999999997,5.0,mean_2015_2019,5.7562,5.0,mean_2015_2019,1.5419999999999998,5.0,mean_2015_2019,2851.5307130228985,5.0,mean_2015_2019,3.974379826,5.0,mean_2015_2019,2.401090862,5.0,mean_2015_2019,99.0,5.0,mean_2015_2019,98.6,5.0,mean_2015_2019,1.08,5.0,mean_2015_2019,0.1,5.0,mean_2015_2019,1.4995639689582738,5,mean_2015_2019,128.00913263869342,5.0,mean_2015_2019,84.68290403081173,5,mean_2015_2019,8.559999999999999,5.0,mean_2015_2019,44.72431696577766,5.0,mean_2015_2019,82.3408,5,mean_2015_2019,6.9799999999999995,5.0,mean_2015_2019,20.4608,5,mean_2015_2019,41.2162,5,mean_2015_2019,82.2,5.0,mean_2015_2019,61.018241884,5.0,mean_2015_2019,14.025119208000001,5.0,mean_2015_2019,393.92366554173924,5.0,mean_2015_2019,99.10370958639682,5.0,mean_2015_2019,99.97103687648273,5.0,mean_2015_2019,,,,,,,73786.54054197895,5.0,mean_2015_2019,9091208.6,5,mean_2015_2019,1,0.038461538461538464,True
ARG,Argentina,Latin America & Caribbean ,Upper middle income,5.103,5.0,mean_2015_2019,3.6513999999999998,5.0,mean_2015_2019,4.452,5.0,mean_2015_2019,2265.6184676664398,5.0,mean_2015_2019,10.175956346000001,5.0,mean_2015_2019,6.478829383999999,5.0,mean_2015_2019,89.8,5.0,mean_2015_2019,88.6,5.0,mean_2015_2019,30.0,5.0,mean_2015_2019,0.4,5.0,mean_2015_2019,11.32073029128272,5,mean_2015_2019,16.17242479053164,5.0,mean_2015_2019,91.67607301224938,5,mean_2015_2019,15.979999999999999,5.0,mean_2015_2019,14.289666467271498,5.0,mean_2015_2019,76.573,5,mean_2015_2019,11.059999999999999,5.0,mean_2015_2019,84.32860000000001,5,mean_2015_2019,138.07819999999998,5,mean_2015_2019,80.0,5.0,mean_2015_2019,63.66223449800001,5.0,mean_2015_2019,24.069470978,5.0,mean_2015_2019,542.2837347870333,5.0,mean_2015_2019,94.8209557204549,2.0,latest_pre2020_2016,99.0413738458383,2.0,latest_pre2020_2016,,,,,,,27760.576814925902,5.0,mean_2015_2019,44258913.2,5,mean_2015_2019,1,0.038461538461538464,True
ARM,Armenia,Europe & Central Asia,Upper middle income,2.9256,5.0,mean_2015_2019,4.8224,5.0,mean_2015_2019,4.215999999999999,5.0,mean_2015_2019,1284.98870994113,5.0,mean_2015_2019,10.363502883999999,5.0,mean_2015_2019,1.453285028,5.0,mean_2015_2019,96.0,5.0,mean_2015_2019,93.2,5.0,mean_2015_2019,45.6,5.0,mean_2015_2019,0.24000000000000005,5.0,mean_2015_2019,11.448575239429939,5,mean_2015_2019,104.72637864418698,5.0,mean_2015_2019,64.73066385473278,5,mean_2015_2019,21.08,5.0,mean_2015_2019,34.970862634136566,5.0,mean_2015_2019,75.35951219512197,5,mean_2015_2019,13.36,5.0,mean_2015_2019,64.6306,5,mean_2015_2019,187.8924,5,mean_2015_2019,70.6,5.0,mean_2015_2019,14.071470640000001,5.0,mean_2015_2019,83.139109802,5.0,mean_2015_2019,1071.7235030320123,5.0,mean_2015_2019,91.98411022216729,5.0,mean_2015_2019,99.37644170168362,5.0,mean_2015_2019,93.78823181398425,5.0,mean_2015_2019,,,,14360.407020484941,5.0,mean_2015_2019,2981560.0,5,mean_2015_2019,0,0.0,True
ASM,American Samoa,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,4.9799999999999995,5.0,mean_2015_2019,,,,5.613371479926776,5,mean_2015_2019,257.826,5.0,mean_2015_2019,83.87524122830867,5,mean_2015_2019,,,,6.781849239292223,5.0,mean_2015_2019,72.728,5,mean_2015_2019,,,,120.65180000000001,5,mean_2015_2019,201.07580000000002,5,mean_2015_2019,,,,,,,,,,,,,62.159202163065494,5.0,mean_2015_2019,99.0364809112742,5.0,mean_2015_2019,,,,,,,,,,51565.2,5,mean_2015_2019,16,0.6153846153846154,False
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,2.917,1.0,latest_pre2020_2017,5.7214,5.0,mean_2015_2019,3.56,3.0,mean_2015_2017,1073.437939945246,5.0,mean_2015_2019,4.695256234,5.0,mean_2015_2019,2.725624514,5.0,mean_2015_2019,94.2,5.0,mean_2015_2019,96.0,5.0,mean_2015_2019,2.7399999999999998,5.0,mean_2015_2019,0.96,5.0,mean_2015_2019,8.791042686799026,5,mean_2015_2019,205.5163636363638,5.0,mean_2015_2019,24.852097572854795,5,mean_2015_2019,18.080000000000002,5.0,mean_2015_2019,19.3429824735762,5.0,mean_2015_2019,77.03800000000001,5,mean_2015_2019,10.66,5.0,mean_2015_2019,88.3046,5,mean_2015_2019,130.6624,5,mean_2015_2019,81.2,5.0,mean_2015_2019,58.06276398,5.0,mean_2015_2019,25.108844376,5.0,mean_2015_2019,269.0245099594108,5.0,mean_2015_2019,97.72851695094745,5.0,mean_2015_2019,98.68644953247684,5.0,mean_2015_2019,,,,,,,27618.306468760176,5.0,mean_2015_2019,90427.2,5,mean_2015_2019,1,0.038461538461538464,True
