iso3,country,outcome_date,cumulative_excess_deaths_per_million_2020_2022,outcome_years
ABW,Aruba,2021-12-31,3305.7075,2020-2022
ALB,Albania,2022-12-31,5970.3384,2020-2022
AND,Andorra,2021-12-31,1773.4039,2020-2022
ARE,United Arab Emirates,2022-12-31,607.97754,2020-2022
ARG,Argentina,2022-12-31,4112.5483,2020-2022
ARM,Armenia,2022-12-31,8041.9443,2020-2022
ATG,Antigua and Barbuda,2021-12-31,-654.30273,2020-2022
AUS,Australia,2022-12-25,927.5937,2020-2022
AUT,Austria,2022-12-25,2567.4924,2020-2022
AZE,Azerbaijan,2022-12-31,3777.4768,2020-2022
BEL,Belgium,2022-12-25,2334.5127,2020-2022
BGR,Bulgaria,2022-12-25,10165.963,2020-2022
BHS,Bahamas,2021-12-31,2630.4177,2020-2022
BIH,Bosnia and Herzegovina,2022-12-31,7126.2676,2020-2022
BLR,Belarus,2022-12-31,9591.885,2020-2022
BLZ,Belize,2022-12-31,1799.2277,2020-2022
BMU,Bermuda,2022-12-31,2794.088,2020-2022
BOL,Bolivia,2022-01-31,5224.8447,2020-2022
BRA,Brazil,2022-12-31,3766.584,2020-2022
BRB,Barbados,2022-12-31,1115.5847,2020-2022
BRN,Brunei,2022-12-31,1141.6431,2020-2022
BTN,Bhutan,2022-12-31,302.12527,2020-2022
CAN,Canada,2022-12-25,1420.5111,2020-2022
CHE,Switzerland,2022-12-25,2020.4288,2020-2022
CHL,Chile,2022-12-25,3120.594,2020-2022
COL,Colombia,2022-12-25,3685.9177,2020-2022
CPV,Cape Verde,2022-12-31,1312.6262,2020-2022
CRI,Costa Rica,2022-12-31,1545.6193,2020-2022
CUB,Cuba,2022-12-31,5058.7227,2020-2022
CYP,Cyprus,2022-12-25,1689.024,2020-2022
CZE,Czechia,2022-12-25,4400.776,2020-2022
DEU,Germany,2022-12-25,2179.8662,2020-2022
DNK,Denmark,2022-12-25,674.96173,2020-2022
DOM,Dominican Republic,2022-12-31,907.20123,2020-2022
DZA,Algeria,2022-12-31,2952.565,2020-2022
ECU,Ecuador,2022-12-25,4378.3784,2020-2022
EGY,Egypt,2022-12-31,2995.015,2020-2022
ESP,Spain,2022-12-25,2906.9697,2020-2022
EST,Estonia,2022-12-25,3296.8997,2020-2022
FIN,Finland,2022-12-25,1876.0293,2020-2022
FJI,Fiji,2021-12-31,2112.3386,2020-2022
FRA,France,2022-12-25,1838.9587,2020-2022
FRO,Faroe Islands,2022-12-31,-346.40506,2020-2022
GBR,United Kingdom,2022-12-25,2703.8333,2020-2022
GEO,Georgia,2022-12-31,6951.208,2020-2022
GIB,Gibraltar,2021-01-31,599.42505,2020-2022
GLP,Guadeloupe,2022-12-25,3655.227,2020-2022
GRC,Greece,2022-12-25,3676.7937,2020-2022
