Entity,Code,Day,cum_excess_per_million_proj_all_ages
Albania,ALB,2020-01-31,-86.22703
Albania,ALB,2020-02-29,-66.553856
Albania,ALB,2020-03-31,-57.554417
Albania,ALB,2020-04-30,-33.137375
Albania,ALB,2020-05-31,8.022785
Albania,ALB,2020-06-30,65.57725
Albania,ALB,2020-07-31,210.26569
Albania,ALB,2020-08-31,482.82965
Albania,ALB,2020-09-30,644.61005
Albania,ALB,2020-10-31,906.9188
Albania,ALB,2020-11-30,1640.6161
Albania,ALB,2020-12-31,2027.4518
Albania,ALB,2021-01-31,2236.5845
Albania,ALB,2021-02-28,2872.726
Albania,ALB,2021-03-31,3392.709
Albania,ALB,2021-04-30,3634.2747
Albania,ALB,2021-05-31,3702.0923
Albania,ALB,2021-06-30,3776.5657
Albania,ALB,2021-07-31,3802.2776
Albania,ALB,2021-08-31,3938.894
Albania,ALB,2021-09-30,4286.5303
Albania,ALB,2021-10-31,4606.2124
Albania,ALB,2021-11-30,4872.439
Albania,ALB,2021-12-31,5133.621
Albania,ALB,2022-01-31,5464.5186
Albania,ALB,2022-02-28,5753.5435
Albania,ALB,2022-03-31,5783.4136
Albania,ALB,2022-04-30,5778.523
Albania,ALB,2022-05-31,5780.669
Albania,ALB,2022-06-30,5804.6284
Albania,ALB,2022-07-31,5892.1978
Albania,ALB,2022-08-31,5970.1274
Albania,ALB,2022-09-30,5977.832
Albania,ALB,2022-10-31,5988.4224
Albania,ALB,2022-11-30,5968.896
Albania,ALB,2022-12-31,5970.3384
Albania,ALB,2023-01-31,5903.773
Albania,ALB,2023-02-28,5886.509
Albania,ALB,2023-03-31,5820.6646
Albania,ALB,2023-04-30,5802.1997
Albania,ALB,2023-05-31,5810.92
Albania,ALB,2023-06-30,5805.8716
Albania,ALB,2023-07-31,5898.5474
Albania,ALB,2023-08-31,5911.999
Albania,ALB,2023-09-30,5952.4233
Albania,ALB,2023-10-31,5960.4375
Albania,ALB,2023-11-30,5938.5835
Albania,ALB,2023-12-31,5870.339
Algeria,DZA,2020-01-31,2.280686
Algeria,DZA,2020-02-29,2.3174994
Algeria,DZA,2020-03-31,5.0009317
Algeria,DZA,2020-04-30,13.345827
Algeria,DZA,2020-05-31,7.514051
Algeria,DZA,2020-06-30,104.57821
Algeria,DZA,2020-07-31,534.33386
Algeria,DZA,2020-08-31,735.249
Algeria,DZA,2020-09-30,806.3418
Algeria,DZA,2020-10-31,898.00916
Algeria,DZA,2020-11-30,1160.4294
Algeria,DZA,2020-12-31,1273.3618
Algeria,DZA,2021-01-31,1258.5504
Algeria,DZA,2021-02-28,1226.7246
Algeria,DZA,2021-03-31,1229.5994
Algeria,DZA,2021-04-30,1242.1621
Algeria,DZA,2021-05-31,1272.8562
Algeria,DZA,2021-06-30,1341.6235
Algeria,DZA,2021-07-31,1749.8135
Algeria,DZA,2021-08-31,2441.5044
Algeria,DZA,2021-09-30,2578.1902
Algeria,DZA,2021-10-31,2623.0654
Algeria,DZA,2021-11-30,2678.772
Algeria,DZA,2021-12-31,2801.8086
Algeria,DZA,2022-01-31,2931.9316
Algeria,DZA,2022-02-28,3041.133
Algeria,DZA,2022-03-31,3022.081
Algeria,DZA,2022-04-30,2990.8918
Algeria,DZA,2022-05-31,2982.3066
Algeria,DZA,2022-06-30,2963.6555
Algeria,DZA,2022-07-31,2961.0833
Algeria,DZA,2022-08-31,2969.6572
Algeria,DZA,2022-09-30,2957.52
Algeria,DZA,2022-10-31,2939.303
Algeria,DZA,2022-11-30,2945.1267
Algeria,DZA,2022-12-31,2952.565
Algeria,DZA,2023-01-31,2888.9775
Algeria,DZA,2023-02-28,2852.0288
Algeria,DZA,2023-03-31,2823.9604
Algeria,DZA,2023-04-30,2801.9658
Algeria,DZA,2023-05-31,2777.0986
Algeria,DZA,2023-06-30,2744.5354
Algeria,DZA,2023-07-31,2818.3823
Algeria,DZA,2023-08-31,2806.8796
Algeria,DZA,2023-09-30,2790.509
Algeria,DZA,2023-10-31,2769.0078
Algeria,DZA,2023-11-30,2750.1926
Algeria,DZA,2023-12-31,2765.3525
Andorra,AND,2020-01-31,-7.719703
Andorra,AND,2020-02-29,108.07613
Andorra,AND,2020-03-31,205.85927
Andorra,AND,2020-04-30,663.8962
Andorra,AND,2020-05-31,849.1695
Andorra,AND,2020-06-30,851.74274
Andorra,AND,2020-07-31,872.3287
Andorra,AND,2020-08-31,792.55817
Andorra,AND,2020-09-30,815.71735
Andorra,AND,2020-10-31,1119.3597
Andorra,AND,2020-11-30,1026.7231
Andorra,AND,2020-12-31,1152.8119
Andorra,AND,2021-01-31,1347.1293
Andorra,AND,2021-02-28,1441.9976
Andorra,AND,2021-03-31,1354.7188
Andorra,AND,2021-04-30,1583.6675
Andorra,AND,2021-05-31,1708.8936
Andorra,AND,2021-06-30,1616.5552
Andorra,AND,2021-07-31,1630.4691
Andorra,AND,2021-08-31,1659.5621
Andorra,AND,2021-09-30,1663.3568
Andorra,AND,2021-10-31,1651.9727
Andorra,AND,2021-11-30,1643.1183
Andorra,AND,2021-12-31,1773.4039
Antigua and Barbuda,ATG,2020-01-31,33.451294
Antigua and Barbuda,ATG,2020-02-29,-58.270042
Antigua and Barbuda,ATG,2020-03-31,-57.190987
Antigua and Barbuda,ATG,2020-04-30,-60.4282
Antigua and Barbuda,ATG,2020-05-31,-50.716515
Antigua and Barbuda,ATG,2020-06-30,-148.91228
Antigua and Barbuda,ATG,2020-07-31,-160.78209
Antigua and Barbuda,ATG,2020-08-31,-323.72232
Antigua and Barbuda,ATG,2020-09-30,-404.65292
Antigua and Barbuda,ATG,2020-10-31,-474.7928
Antigua and Barbuda,ATG,2020-11-30,-514.71857
Antigua and Barbuda,ATG,2020-12-31,-623.7051
Antigua and Barbuda,ATG,2021-01-31,-540.60425
Antigua and Barbuda,ATG,2021-02-28,-424.76047
Antigua and Barbuda,ATG,2021-03-31,-495.5539
Antigua and Barbuda,ATG,2021-04-30,-506.28015
Antigua and Barbuda,ATG,2021-05-31,-579.2188
Antigua and Barbuda,ATG,2021-06-30,-727.24146
Antigua and Barbuda,ATG,2021-07-31,-660.7385
Antigua and Barbuda,ATG,2021-08-31,-808.7611
Antigua and Barbuda,ATG,2021-09-30,-274.59256
Antigua and Barbuda,ATG,2021-10-31,-619.9787
Antigua and Barbuda,ATG,2021-11-30,-517.0064
Antigua and Barbuda,ATG,2021-12-31,-654.30273
Argentina,ARG,2020-01-31,-15.021306
Argentina,ARG,2020-02-29,-3.3173525
Argentina,ARG,2020-03-31,-2.6978397
Argentina,ARG,2020-04-30,-26.13463
Argentina,ARG,2020-05-31,-81.634636
Argentina,ARG,2020-06-30,-189.7014
Argentina,ARG,2020-07-31,-171.22957
Argentina,ARG,2020-08-31,-53.62373
Argentina,ARG,2020-09-30,195.67665
Argentina,ARG,2020-10-31,478.67007
Argentina,ARG,2020-11-30,684.8183
Argentina,ARG,2020-12-31,801.76245
Argentina,ARG,2021-01-31,978.80176
Argentina,ARG,2021-02-28,1102.9581
Argentina,ARG,2021-03-31,1236.0991
Argentina,ARG,2021-04-30,1547.2697
Argentina,ARG,2021-05-31,2037.8699
Argentina,ARG,2021-06-30,2435.853
Argentina,ARG,2021-07-31,2646.5173
