country,iso3,indicator_code,indicator_name,year,value,variable
Africa Eastern and Southern,AFE,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2019,26.2482004644559,air_pollution_pm25
Africa Eastern and Southern,AFE,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2018,27.4042948742715,air_pollution_pm25
Africa Eastern and Southern,AFE,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2017,27.3113771648908,air_pollution_pm25
Africa Eastern and Southern,AFE,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2016,28.8772739849101,air_pollution_pm25
Africa Eastern and Southern,AFE,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2015,29.5154675697179,air_pollution_pm25
Africa Western and Central,AFW,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2019,50.7719620968246,air_pollution_pm25
Africa Western and Central,AFW,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2018,56.0999508285847,air_pollution_pm25
Africa Western and Central,AFW,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2017,60.3446180405013,air_pollution_pm25
Africa Western and Central,AFW,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2016,62.8941317032516,air_pollution_pm25
Africa Western and Central,AFW,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2015,71.2950510903224,air_pollution_pm25
Arab World,ARB,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2019,44.547409419695,air_pollution_pm25
Arab World,ARB,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2018,46.3463472893316,air_pollution_pm25
Arab World,ARB,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2017,44.2491913615177,air_pollution_pm25
Arab World,ARB,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2016,44.5857989598965,air_pollution_pm25
