country,iso3,indicator_code,indicator_name,year,value,unit,obs_status,decimal
Africa Eastern and Southern,AFE,EN.POP.DNST,Population density (people per sq. km of land area),2019,45.5334654681731,,,0
Africa Eastern and Southern,AFE,EN.POP.DNST,Population density (people per sq. km of land area),2018,44.3109394118317,,,0
Africa Eastern and Southern,AFE,EN.POP.DNST,Population density (people per sq. km of land area),2017,43.1158195866339,,,0
Africa Eastern and Southern,AFE,EN.POP.DNST,Population density (people per sq. km of land area),2016,41.9915537679033,,,0
Africa Eastern and Southern,AFE,EN.POP.DNST,Population density (people per sq. km of land area),2015,40.8971995109358,,,0
Africa Western and Central,AFW,EN.POP.DNST,Population density (people per sq. km of land area),2019,51.2245254219844,,,0
Africa Western and Central,AFW,EN.POP.DNST,Population density (people per sq. km of land area),2018,49.9897095662287,,,0
Africa Western and Central,AFW,EN.POP.DNST,Population density (people per sq. km of land area),2017,48.7390701520488,,,0
Africa Western and Central,AFW,EN.POP.DNST,Population density (people per sq. km of land area),2016,47.4757006029331,,,0
Africa Western and Central,AFW,EN.POP.DNST,Population density (people per sq. km of land area),2015,46.2235257766605,,,0
Arab World,ARB,EN.POP.DNST,Population density (people per sq. km of land area),2019,33.9131958947659,,,0
Arab World,ARB,EN.POP.DNST,Population density (people per sq. km of land area),2018,33.2809532562352,,,0
Arab World,ARB,EN.POP.DNST,Population density (people per sq. km of land area),2017,32.6945464038478,,,0
Arab World,ARB,EN.POP.DNST,Population density (people per sq. km of land area),2016,32.0451442075354,,,0
Arab World,ARB,EN.POP.DNST,Population density (people per sq. km of land area),2015,31.3110035717644,,,0
Caribbean small states,CSS,EN.POP.DNST,Population density (people per sq. km of land area),2019,11.1488737254616,,,0
Caribbean small states,CSS,EN.POP.DNST,Population density (people per sq. km of land area),2018,11.059856053637,,,0
Caribbean small states,CSS,EN.POP.DNST,Population density (people per sq. km of land area),2017,10.9556775752626,,,0
Caribbean small states,CSS,EN.POP.DNST,Population density (people per sq. km of land area),2016,10.8934309469801,,,0
Caribbean small states,CSS,EN.POP.DNST,Population density (people per sq. km of land area),2015,10.8253252516181,,,0
Central Europe and the Baltics,CEB,EN.POP.DNST,Population density (people per sq. km of land area),2019,92.1854556712536,,,0
Central Europe and the Baltics,CEB,EN.POP.DNST,Population density (people per sq. km of land area),2018,92.3692084301826,,,0
Central Europe and the Baltics,CEB,EN.POP.DNST,Population density (people per sq. km of land area),2017,92.6047341774741,,,0
Central Europe and the Baltics,CEB,EN.POP.DNST,Population density (people per sq. km of land area),2016,92.8247588904212,,,0
Central Europe and the Baltics,CEB,EN.POP.DNST,Population density (people per sq. km of land area),2015,93.1179707001656,,,0
Early-demographic dividend,EAR,EN.POP.DNST,Population density (people per sq. km of land area),2019,100.705896897962,,,0
Early-demographic dividend,EAR,EN.POP.DNST,Population density (people per sq. km of land area),2018,99.4817619661395,,,0
Early-demographic dividend,EAR,EN.POP.DNST,Population density (people per sq. km of land area),2017,98.2755925064534,,,0
Early-demographic dividend,EAR,EN.POP.DNST,Population density (people per sq. km of land area),2016,97.0256299345761,,,0
Early-demographic dividend,EAR,EN.POP.DNST,Population density (people per sq. km of land area),2015,95.7429697331358,,,0
East Asia & Pacific,EAS,EN.POP.DNST,Population density (people per sq. km of land area),2019,96.4380766594786,,,0
East Asia & Pacific,EAS,EN.POP.DNST,Population density (people per sq. km of land area),2018,95.9404015370252,,,0
East Asia & Pacific,EAS,EN.POP.DNST,Population density (people per sq. km of land area),2017,95.3640917843833,,,0
East Asia & Pacific,EAS,EN.POP.DNST,Population density (people per sq. km of land area),2016,94.6937276463779,,,0
East Asia & Pacific,EAS,EN.POP.DNST,Population density (people per sq. km of land area),2015,94.0667650140412,,,0
East Asia & Pacific (excluding high income),EAP,EN.POP.DNST,Population density (people per sq. km of land area),2019,132.134925461608,,,0
East Asia & Pacific (excluding high income),EAP,EN.POP.DNST,Population density (people per sq. km of land area),2018,131.409868337961,,,0
East Asia & Pacific (excluding high income),EAP,EN.POP.DNST,Population density (people per sq. km of land area),2017,130.567654797603,,,0
East Asia & Pacific (excluding high income),EAP,EN.POP.DNST,Population density (people per sq. km of land area),2016,129.581742367703,,,0
East Asia & Pacific (excluding high income),EAP,EN.POP.DNST,Population density (people per sq. km of land area),2015,128.613801730869,,,0
East Asia & Pacific (IDA & IBRD countries),TEA,EN.POP.DNST,Population density (people per sq. km of land area),2019,131.494477158156,,,0
East Asia & Pacific (IDA & IBRD countries),TEA,EN.POP.DNST,Population density (people per sq. km of land area),2018,130.770644859426,,,0
East Asia & Pacific (IDA & IBRD countries),TEA,EN.POP.DNST,Population density (people per sq. km of land area),2017,129.92920605548,,,0
East Asia & Pacific (IDA & IBRD countries),TEA,EN.POP.DNST,Population density (people per sq. km of land area),2016,128.943356299366,,,0
East Asia & Pacific (IDA & IBRD countries),TEA,EN.POP.DNST,Population density (people per sq. km of land area),2015,127.975847866414,,,0
Euro area,EMU,EN.POP.DNST,Population density (people per sq. km of land area),2019,126.636297354644,,,0
Euro area,EMU,EN.POP.DNST,Population density (people per sq. km of land area),2018,126.404243914838,,,0
Euro area,EMU,EN.POP.DNST,Population density (people per sq. km of land area),2017,126.028700924669,,,0
Euro area,EMU,EN.POP.DNST,Population density (people per sq. km of land area),2016,125.74801921269,,,0
Euro area,EMU,EN.POP.DNST,Population density (people per sq. km of land area),2015,125.417955535534,,,0
Europe & Central Asia,ECS,EN.POP.DNST,Population density (people per sq. km of land area),2019,33.5921361078478,,,0
Europe & Central Asia,ECS,EN.POP.DNST,Population density (people per sq. km of land area),2018,33.4737570087959,,,0
Europe & Central Asia,ECS,EN.POP.DNST,Population density (people per sq. km of land area),2017,33.3427486883178,,,0
Europe & Central Asia,ECS,EN.POP.DNST,Population density (people per sq. km of land area),2016,33.2148080937239,,,0
Europe & Central Asia,ECS,EN.POP.DNST,Population density (people per sq. km of land area),2015,33.0676117815085,,,0
Europe & Central Asia (excluding high income),ECA,EN.POP.DNST,Population density (people per sq. km of land area),2019,42.0532363737648,,,0
