country,iso3,indicator_code,indicator_name,year,value,variable
Africa Eastern and Southern,AFE,EN.POP.DNST,Population density (people per sq. km of land area),2019,45.5334654681731,population_density
Africa Eastern and Southern,AFE,EN.POP.DNST,Population density (people per sq. km of land area),2018,44.3109394118317,population_density
Africa Eastern and Southern,AFE,EN.POP.DNST,Population density (people per sq. km of land area),2017,43.1158195866339,population_density
Africa Eastern and Southern,AFE,EN.POP.DNST,Population density (people per sq. km of land area),2016,41.9915537679033,population_density
Africa Eastern and Southern,AFE,EN.POP.DNST,Population density (people per sq. km of land area),2015,40.8971995109358,population_density
Africa Western and Central,AFW,EN.POP.DNST,Population density (people per sq. km of land area),2019,51.2245254219844,population_density
Africa Western and Central,AFW,EN.POP.DNST,Population density (people per sq. km of land area),2018,49.9897095662287,population_density
Africa Western and Central,AFW,EN.POP.DNST,Population density (people per sq. km of land area),2017,48.7390701520488,population_density
Africa Western and Central,AFW,EN.POP.DNST,Population density (people per sq. km of land area),2016,47.4757006029331,population_density
Africa Western and Central,AFW,EN.POP.DNST,Population density (people per sq. km of land area),2015,46.2235257766605,population_density
Arab World,ARB,EN.POP.DNST,Population density (people per sq. km of land area),2019,33.9131958947659,population_density
Arab World,ARB,EN.POP.DNST,Population density (people per sq. km of land area),2018,33.2809532562352,population_density
Arab World,ARB,EN.POP.DNST,Population density (people per sq. km of land area),2017,32.6945464038478,population_density
Arab World,ARB,EN.POP.DNST,Population density (people per sq. km of land area),2016,32.0451442075354,population_density
Arab World,ARB,EN.POP.DNST,Population density (people per sq. km of land area),2015,31.3110035717644,population_density
Caribbean small states,CSS,EN.POP.DNST,Population density (people per sq. km of land area),2019,11.1488737254616,population_density
Caribbean small states,CSS,EN.POP.DNST,Population density (people per sq. km of land area),2018,11.059856053637,population_density
Caribbean small states,CSS,EN.POP.DNST,Population density (people per sq. km of land area),2017,10.9556775752626,population_density
Caribbean small states,CSS,EN.POP.DNST,Population density (people per sq. km of land area),2016,10.8934309469801,population_density
Caribbean small states,CSS,EN.POP.DNST,Population density (people per sq. km of land area),2015,10.8253252516181,population_density
Central Europe and the Baltics,CEB,EN.POP.DNST,Population density (people per sq. km of land area),2019,92.1854556712536,population_density
Central Europe and the Baltics,CEB,EN.POP.DNST,Population density (people per sq. km of land area),2018,92.3692084301826,population_density
Central Europe and the Baltics,CEB,EN.POP.DNST,Population density (people per sq. km of land area),2017,92.6047341774741,population_density
Central Europe and the Baltics,CEB,EN.POP.DNST,Population density (people per sq. km of land area),2016,92.8247588904212,population_density
Central Europe and the Baltics,CEB,EN.POP.DNST,Population density (people per sq. km of land area),2015,93.1179707001656,population_density
Early-demographic dividend,EAR,EN.POP.DNST,Population density (people per sq. km of land area),2019,100.705896897962,population_density
Early-demographic dividend,EAR,EN.POP.DNST,Population density (people per sq. km of land area),2018,99.4817619661395,population_density
Early-demographic dividend,EAR,EN.POP.DNST,Population density (people per sq. km of land area),2017,98.2755925064534,population_density
Early-demographic dividend,EAR,EN.POP.DNST,Population density (people per sq. km of land area),2016,97.0256299345761,population_density
Early-demographic dividend,EAR,EN.POP.DNST,Population density (people per sq. km of land area),2015,95.7429697331358,population_density
East Asia & Pacific,EAS,EN.POP.DNST,Population density (people per sq. km of land area),2019,96.4380766594786,population_density
