country,iso3,indicator_code,indicator_name,year,value,unit,obs_status,decimal
Africa Eastern and Southern,AFE,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2019,4195.86541780344,,,0
Africa Eastern and Southern,AFE,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2018,4220.91250168849,,,0
Africa Eastern and Southern,AFE,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2017,4214.39708524398,,,0
Africa Eastern and Southern,AFE,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2016,4202.23641584707,,,0
Africa Eastern and Southern,AFE,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2015,4206.25295270438,,,0
Africa Western and Central,AFW,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2019,6059.60602380843,,,0
Africa Western and Central,AFW,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2018,6016.31221720046,,,0
Africa Western and Central,AFW,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2017,5999.74477975389,,,0
Africa Western and Central,AFW,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2016,6026.16020343528,,,0
Africa Western and Central,AFW,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2015,6185.24923306943,,,0
Arab World,ARB,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2019,16782.382332277,,,0
Arab World,ARB,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2018,16723.8193619802,,,0
Arab World,ARB,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2017,16542.576023411,,,0
Arab World,ARB,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2016,16606.2469902024,,,0
Arab World,ARB,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2015,16371.0585517114,,,0
Caribbean small states,CSS,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2019,24160.9840718485,,,0
Caribbean small states,CSS,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2018,24087.8015339711,,,0
Caribbean small states,CSS,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2017,23997.9154256351,,,0
Caribbean small states,CSS,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2016,24416.1391025428,,,0
Caribbean small states,CSS,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2015,25478.6360975466,,,0
Central Europe and the Baltics,CEB,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2019,38302.2924608286,,,0
Central Europe and the Baltics,CEB,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2018,36731.3989449303,,,0
Central Europe and the Baltics,CEB,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2017,34898.8933468064,,,0
Central Europe and the Baltics,CEB,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2016,33063.4235806357,,,0
Central Europe and the Baltics,CEB,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2015,32054.2619067409,,,0
Early-demographic dividend,EAR,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2019,10736.257704342,,,0
Early-demographic dividend,EAR,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2018,10561.4040343593,,,0
Early-demographic dividend,EAR,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",2017,10252.1107558915,,,0
