country,iso3,indicator_code,indicator_name,year,value,variable
Africa Eastern and Southern,AFE,SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2019,5.03125994904424,hiv_prevalence
Africa Eastern and Southern,AFE,SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2018,5.16868738905315,hiv_prevalence
Africa Eastern and Southern,AFE,SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2017,5.27403926006284,hiv_prevalence
Africa Eastern and Southern,AFE,SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2016,5.41344977118105,hiv_prevalence
Africa Eastern and Southern,AFE,SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2015,5.50777587182294,hiv_prevalence
Africa Western and Central,AFW,SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2019,1.51337040568289,hiv_prevalence
Africa Western and Central,AFW,SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2018,1.59197281203582,hiv_prevalence
Africa Western and Central,AFW,SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2017,1.62538874873712,hiv_prevalence
Africa Western and Central,AFW,SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2016,1.71261315638599,hiv_prevalence
Africa Western and Central,AFW,SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2015,1.74989135624608,hiv_prevalence
Arab World,ARB,SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2019,0.103986063180822,hiv_prevalence
Arab World,ARB,SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2018,0.104219166278245,hiv_prevalence
Arab World,ARB,SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2017,0.104434904810817,hiv_prevalence
Arab World,ARB,SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2016,0.105506510084662,hiv_prevalence
Arab World,ARB,SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2015,0.105734216323572,hiv_prevalence
Caribbean small states,CSS,SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",2019,1.29069542143979,hiv_prevalence
