country,iso3,indicator_code,indicator_name,year,value,variable
Africa Eastern and Southern,AFE,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2019,61.4916357499261,under5_mortality
Africa Eastern and Southern,AFE,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2018,63.4229471071233,under5_mortality
Africa Eastern and Southern,AFE,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2017,67.7377996223608,under5_mortality
Africa Eastern and Southern,AFE,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2016,68.3630285644492,under5_mortality
Africa Eastern and Southern,AFE,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2015,69.7257641113397,under5_mortality
Africa Western and Central,AFW,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2019,100.836050788105,under5_mortality
Africa Western and Central,AFW,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2018,100.218415291562,under5_mortality
Africa Western and Central,AFW,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2017,102.05803690267,under5_mortality
Africa Western and Central,AFW,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2016,103.14513535298,under5_mortality
Africa Western and Central,AFW,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2015,104.792583996923,under5_mortality
Arab World,ARB,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2019,35.8477618830257,under5_mortality
Arab World,ARB,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2018,37.4834560622083,under5_mortality
Arab World,ARB,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2017,38.7097264210473,under5_mortality
Arab World,ARB,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2016,37.4469516814555,under5_mortality
Arab World,ARB,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2015,38.3264086280594,under5_mortality
Caribbean small states,CSS,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2019,21.4825706165536,under5_mortality
Caribbean small states,CSS,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2018,21.0948856500277,under5_mortality
Caribbean small states,CSS,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2017,21.6186888425685,under5_mortality
Caribbean small states,CSS,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2016,22.1309816388208,under5_mortality
Caribbean small states,CSS,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2015,22.5926085426782,under5_mortality
Central Europe and the Baltics,CEB,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2019,4.86801997531672,under5_mortality
Central Europe and the Baltics,CEB,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2018,5.04437891013553,under5_mortality
Central Europe and the Baltics,CEB,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2017,5.27542081196346,under5_mortality
Central Europe and the Baltics,CEB,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2016,5.53686433246911,under5_mortality
Central Europe and the Baltics,CEB,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2015,5.80488075204549,under5_mortality
Early-demographic dividend,EAR,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2019,34.9101641822264,under5_mortality
Early-demographic dividend,EAR,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2018,36.1562766486784,under5_mortality
Early-demographic dividend,EAR,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2017,37.4716956775527,under5_mortality
Early-demographic dividend,EAR,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2016,38.9997656937306,under5_mortality
Early-demographic dividend,EAR,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2015,40.6812813482925,under5_mortality
East Asia & Pacific,EAS,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2019,14.3,under5_mortality
East Asia & Pacific,EAS,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2018,14.8,under5_mortality
East Asia & Pacific,EAS,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2017,15.0,under5_mortality
East Asia & Pacific,EAS,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2016,15.7,under5_mortality
East Asia & Pacific,EAS,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2015,16.6,under5_mortality
East Asia & Pacific (excluding high income),EAP,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2019,15.0180940327798,under5_mortality
East Asia & Pacific (excluding high income),EAP,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2018,15.5381715461795,under5_mortality
East Asia & Pacific (excluding high income),EAP,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2017,15.6474834443702,under5_mortality
East Asia & Pacific (excluding high income),EAP,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2016,16.4720341830735,under5_mortality
East Asia & Pacific (excluding high income),EAP,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2015,17.4865557526411,under5_mortality
East Asia & Pacific (IDA & IBRD countries),TEA,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2019,14.9817931210967,under5_mortality
