country,iso3,indicator_code,indicator_name,year,value,variable
Africa Eastern and Southern,AFE,SH.DYN.NCOM.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2019,22.1814939357203,ncd_mortality_risk
Africa Eastern and Southern,AFE,SH.DYN.NCOM.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2018,22.3811164645277,ncd_mortality_risk
Africa Eastern and Southern,AFE,SH.DYN.NCOM.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2017,22.300512624368,ncd_mortality_risk
Africa Eastern and Southern,AFE,SH.DYN.NCOM.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2016,22.4201125188432,ncd_mortality_risk
Africa Eastern and Southern,AFE,SH.DYN.NCOM.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2015,22.4905527837396,ncd_mortality_risk
Africa Western and Central,AFW,SH.DYN.NCOM.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2019,20.5262659614271,ncd_mortality_risk
Africa Western and Central,AFW,SH.DYN.NCOM.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2018,20.6416202020647,ncd_mortality_risk
Africa Western and Central,AFW,SH.DYN.NCOM.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2017,20.7513104360238,ncd_mortality_risk
Africa Western and Central,AFW,SH.DYN.NCOM.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2016,20.9742421234034,ncd_mortality_risk
Africa Western and Central,AFW,SH.DYN.NCOM.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2015,21.1393200838383,ncd_mortality_risk
Arab World,ARB,SH.DYN.NCOM.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2019,20.8891406176307,ncd_mortality_risk
Arab World,ARB,SH.DYN.NCOM.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2018,20.9843329248905,ncd_mortality_risk
Arab World,ARB,SH.DYN.NCOM.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2017,20.8641443540089,ncd_mortality_risk
Arab World,ARB,SH.DYN.NCOM.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2016,21.1895885249652,ncd_mortality_risk
Arab World,ARB,SH.DYN.NCOM.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2015,21.6262996727592,ncd_mortality_risk
