country,iso3,indicator_code,indicator_name,year,value,variable
Africa Eastern and Southern,AFE,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2019,57.4022346532126,basic_drinking_water_access
Africa Eastern and Southern,AFE,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2018,56.5693603466254,basic_drinking_water_access
Africa Eastern and Southern,AFE,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2017,55.6943475745406,basic_drinking_water_access
Africa Eastern and Southern,AFE,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2016,54.8424336805942,basic_drinking_water_access
Africa Eastern and Southern,AFE,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2015,54.0095159166252,basic_drinking_water_access
Africa Western and Central,AFW,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2019,71.1699153665589,basic_drinking_water_access
Africa Western and Central,AFW,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2018,70.0863173983831,basic_drinking_water_access
Africa Western and Central,AFW,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2017,68.985144798232,basic_drinking_water_access
Africa Western and Central,AFW,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2016,67.8885953104881,basic_drinking_water_access
Africa Western and Central,AFW,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2015,66.7877641122912,basic_drinking_water_access
Arab World,ARB,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2019,88.1510613602946,basic_drinking_water_access
Arab World,ARB,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2018,87.7067801047339,basic_drinking_water_access
Arab World,ARB,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2017,87.2943512725919,basic_drinking_water_access
Arab World,ARB,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2016,86.8631668557642,basic_drinking_water_access
Arab World,ARB,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2015,86.374438880746,basic_drinking_water_access
Caribbean small states,CSS,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2019,97.2434260676665,basic_drinking_water_access
Caribbean small states,CSS,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2018,97.0592710435723,basic_drinking_water_access
Caribbean small states,CSS,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2017,96.8569950700984,basic_drinking_water_access
Caribbean small states,CSS,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2016,96.6668970026093,basic_drinking_water_access
Caribbean small states,CSS,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2015,96.4771117148552,basic_drinking_water_access
Central Europe and the Baltics,CEB,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2019,96.9917672531064,basic_drinking_water_access
Central Europe and the Baltics,CEB,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2018,97.1607589637053,basic_drinking_water_access
Central Europe and the Baltics,CEB,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2017,97.3309199684896,basic_drinking_water_access
Central Europe and the Baltics,CEB,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2016,97.5002571842123,basic_drinking_water_access
Central Europe and the Baltics,CEB,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2015,97.666449478817,basic_drinking_water_access
Early-demographic dividend,EAR,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2019,90.4107398162026,basic_drinking_water_access
Early-demographic dividend,EAR,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2018,89.9256815623134,basic_drinking_water_access
Early-demographic dividend,EAR,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2017,89.4406105501963,basic_drinking_water_access
Early-demographic dividend,EAR,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2016,89.0879784610035,basic_drinking_water_access
Early-demographic dividend,EAR,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2015,88.5966668480896,basic_drinking_water_access
East Asia & Pacific,EAS,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2019,93.2542147094899,basic_drinking_water_access
East Asia & Pacific,EAS,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2018,92.8185407037215,basic_drinking_water_access
East Asia & Pacific,EAS,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2017,92.3548898708684,basic_drinking_water_access
East Asia & Pacific,EAS,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2016,91.885997256009,basic_drinking_water_access
East Asia & Pacific,EAS,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2015,91.3999495256258,basic_drinking_water_access
East Asia & Pacific (excluding high income),EAP,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2019,92.6046381344038,basic_drinking_water_access
East Asia & Pacific (excluding high income),EAP,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2018,92.1250152208608,basic_drinking_water_access
East Asia & Pacific (excluding high income),EAP,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2017,91.6137154644933,basic_drinking_water_access
East Asia & Pacific (excluding high income),EAP,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2016,91.0953126311203,basic_drinking_water_access
