country,iso3,indicator_code,indicator_name,year,value,unit,obs_status,decimal
Africa Eastern and Southern,AFE,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2019,79.2273897950203,,,0
Africa Eastern and Southern,AFE,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2018,78.7384517179148,,,0
Africa Eastern and Southern,AFE,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2017,78.0278855164038,,,0
Africa Eastern and Southern,AFE,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2016,78.2381241580075,,,0
Africa Eastern and Southern,AFE,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2015,77.6619556668059,,,0
Africa Western and Central,AFW,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2019,72.1694786949218,,,0
Africa Western and Central,AFW,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2018,69.8476652868902,,,0
Africa Western and Central,AFW,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2017,67.6832211927826,,,0
Africa Western and Central,AFW,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2016,66.3442377918441,,,0
Africa Western and Central,AFW,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2015,60.2361373034085,,,0
Arab World,ARB,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2019,85.6972243628333,,,0
Arab World,ARB,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2018,85.406816331896,,,0
Arab World,ARB,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2017,85.9513271238158,,,0
Arab World,ARB,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2016,84.9112001925639,,,0
Arab World,ARB,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2015,84.2595277355622,,,0
Caribbean small states,CSS,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2019,92.3926927545183,,,0
Caribbean small states,CSS,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2018,93.6865019759964,,,0
Caribbean small states,CSS,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2017,87.9896008851541,,,0
Caribbean small states,CSS,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2016,93.298710683724,,,0
Caribbean small states,CSS,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2015,91.9857381655226,,,0
Central Europe and the Baltics,CEB,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2019,94.0961032435057,,,0
Central Europe and the Baltics,CEB,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2018,93.5232083848151,,,0
Central Europe and the Baltics,CEB,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2017,93.0584651077718,,,0
Central Europe and the Baltics,CEB,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2016,95.2002900423646,,,0
Central Europe and the Baltics,CEB,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2015,95.1936518228541,,,0
Early-demographic dividend,EAR,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)",2019,87.1205275375674,,,0
