country,iso3,indicator_code,indicator_name,year,value,unit,obs_status,decimal
Africa Eastern and Southern,AFE,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2019,75.10350492525,,,0
Africa Eastern and Southern,AFE,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2018,74.3573875840774,,,0
Africa Eastern and Southern,AFE,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2017,73.868486258846,,,0
Africa Eastern and Southern,AFE,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2016,73.3576264307316,,,0
Africa Eastern and Southern,AFE,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2015,74.9218948103417,,,0
Africa Western and Central,AFW,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2019,65.3255201996163,,,0
Africa Western and Central,AFW,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2018,64.6016606406063,,,0
Africa Western and Central,AFW,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2017,64.1301869591889,,,0
Africa Western and Central,AFW,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2016,61.341725898591,,,0
Africa Western and Central,AFW,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2015,58.4023582703789,,,0
Arab World,ARB,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2019,83.9627132609503,,,0
Arab World,ARB,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2018,83.7870732517208,,,0
Arab World,ARB,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2017,85.1220209691553,,,0
Arab World,ARB,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2016,85.9158857943735,,,0
Arab World,ARB,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2015,83.7727683149625,,,0
Caribbean small states,CSS,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2019,91.2079013543919,,,0
Caribbean small states,CSS,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2018,90.403846995173,,,0
Caribbean small states,CSS,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2017,90.8147974052834,,,0
Caribbean small states,CSS,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2016,90.1188718124839,,,0
Caribbean small states,CSS,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2015,91.5983141871466,,,0
Central Europe and the Baltics,CEB,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2019,93.203141695959,,,0
Central Europe and the Baltics,CEB,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2018,93.4512489051053,,,0
Central Europe and the Baltics,CEB,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2017,93.3658840818354,,,0
Central Europe and the Baltics,CEB,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2016,93.787892067317,,,0
Central Europe and the Baltics,CEB,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2015,94.1052227641202,,,0
Early-demographic dividend,EAR,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2019,87.7415637933133,,,0
Early-demographic dividend,EAR,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2018,87.65730025284,,,0
Early-demographic dividend,EAR,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2017,86.2922114070966,,,0
Early-demographic dividend,EAR,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2016,86.2092097108434,,,0
Early-demographic dividend,EAR,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2015,85.4995335914528,,,0
East Asia & Pacific,EAS,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2019,94.3457238736786,,,0
East Asia & Pacific,EAS,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2018,95.0338226459755,,,0
East Asia & Pacific,EAS,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2017,94.8274097141981,,,0
East Asia & Pacific,EAS,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2016,94.8224202778642,,,0
East Asia & Pacific,EAS,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2015,94.4121886800083,,,0
East Asia & Pacific (excluding high income),EAP,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2019,94.2532161814464,,,0
East Asia & Pacific (excluding high income),EAP,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2018,94.9474289376599,,,0
East Asia & Pacific (excluding high income),EAP,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2017,94.7379868392023,,,0
East Asia & Pacific (excluding high income),EAP,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2016,94.7412349116105,,,0
East Asia & Pacific (excluding high income),EAP,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2015,94.304504967774,,,0
East Asia & Pacific (IDA & IBRD countries),TEA,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2019,94.1953087630551,,,0
East Asia & Pacific (IDA & IBRD countries),TEA,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2018,94.9124258017639,,,0
East Asia & Pacific (IDA & IBRD countries),TEA,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2017,94.6891711416049,,,0
East Asia & Pacific (IDA & IBRD countries),TEA,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2016,94.693412384298,,,0
East Asia & Pacific (IDA & IBRD countries),TEA,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2015,94.2639691618626,,,0
Euro area,EMU,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2019,95.0986795947401,,,0
Euro area,EMU,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2018,94.6385396952266,,,0
Euro area,EMU,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2017,94.2279617516726,,,0
Euro area,EMU,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2016,93.351477610191,,,0
Euro area,EMU,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2015,93.2101888448113,,,0
Europe & Central Asia,ECS,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2019,95.4449505156826,,,0
Europe & Central Asia,ECS,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2018,95.0272637408286,,,0
Europe & Central Asia,ECS,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2017,94.9121874372641,,,0
Europe & Central Asia,ECS,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2016,93.0551830775807,,,0
Europe & Central Asia,ECS,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2015,93.5829187951126,,,0
Europe & Central Asia (excluding high income),ECA,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2019,95.9737330052569,,,0
