country,iso3,indicator_code,indicator_name,year,value,variable
Africa Eastern and Southern,AFE,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2019,75.10350492525,measles_immunization_coverage
Africa Eastern and Southern,AFE,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2018,74.3573875840774,measles_immunization_coverage
Africa Eastern and Southern,AFE,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2017,73.868486258846,measles_immunization_coverage
Africa Eastern and Southern,AFE,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2016,73.3576264307316,measles_immunization_coverage
Africa Eastern and Southern,AFE,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2015,74.9218948103417,measles_immunization_coverage
Africa Western and Central,AFW,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2019,65.3255201996163,measles_immunization_coverage
Africa Western and Central,AFW,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2018,64.6016606406063,measles_immunization_coverage
Africa Western and Central,AFW,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2017,64.1301869591889,measles_immunization_coverage
Africa Western and Central,AFW,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2016,61.341725898591,measles_immunization_coverage
Africa Western and Central,AFW,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2015,58.4023582703789,measles_immunization_coverage
Arab World,ARB,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2019,83.9627132609503,measles_immunization_coverage
Arab World,ARB,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2018,83.7870732517208,measles_immunization_coverage
Arab World,ARB,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2017,85.1220209691553,measles_immunization_coverage
Arab World,ARB,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2016,85.9158857943735,measles_immunization_coverage
Arab World,ARB,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2015,83.7727683149625,measles_immunization_coverage
Caribbean small states,CSS,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2019,91.2079013543919,measles_immunization_coverage
Caribbean small states,CSS,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2018,90.403846995173,measles_immunization_coverage
Caribbean small states,CSS,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2017,90.8147974052834,measles_immunization_coverage
Caribbean small states,CSS,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2016,90.1188718124839,measles_immunization_coverage
Caribbean small states,CSS,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2015,91.5983141871466,measles_immunization_coverage
Central Europe and the Baltics,CEB,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2019,93.203141695959,measles_immunization_coverage
Central Europe and the Baltics,CEB,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2018,93.4512489051053,measles_immunization_coverage
Central Europe and the Baltics,CEB,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2017,93.3658840818354,measles_immunization_coverage
Central Europe and the Baltics,CEB,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2016,93.787892067317,measles_immunization_coverage
Central Europe and the Baltics,CEB,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2015,94.1052227641202,measles_immunization_coverage
Early-demographic dividend,EAR,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2019,87.7415637933133,measles_immunization_coverage
Early-demographic dividend,EAR,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2018,87.65730025284,measles_immunization_coverage
Early-demographic dividend,EAR,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2017,86.2922114070966,measles_immunization_coverage
Early-demographic dividend,EAR,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2016,86.2092097108434,measles_immunization_coverage
Early-demographic dividend,EAR,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2015,85.4995335914528,measles_immunization_coverage
East Asia & Pacific,EAS,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2019,94.3457238736786,measles_immunization_coverage
East Asia & Pacific,EAS,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2018,95.0338226459755,measles_immunization_coverage
East Asia & Pacific,EAS,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2017,94.8274097141981,measles_immunization_coverage
East Asia & Pacific,EAS,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2016,94.8224202778642,measles_immunization_coverage
East Asia & Pacific,EAS,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2015,94.4121886800083,measles_immunization_coverage
East Asia & Pacific (excluding high income),EAP,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2019,94.2532161814464,measles_immunization_coverage
East Asia & Pacific (excluding high income),EAP,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2018,94.9474289376599,measles_immunization_coverage
East Asia & Pacific (excluding high income),EAP,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2017,94.7379868392023,measles_immunization_coverage
East Asia & Pacific (excluding high income),EAP,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2016,94.7412349116105,measles_immunization_coverage
East Asia & Pacific (excluding high income),EAP,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2015,94.304504967774,measles_immunization_coverage
East Asia & Pacific (IDA & IBRD countries),TEA,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2019,94.1953087630551,measles_immunization_coverage
East Asia & Pacific (IDA & IBRD countries),TEA,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2018,94.9124258017639,measles_immunization_coverage
East Asia & Pacific (IDA & IBRD countries),TEA,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2017,94.6891711416049,measles_immunization_coverage
East Asia & Pacific (IDA & IBRD countries),TEA,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)",2016,94.693412384298,measles_immunization_coverage
