country,iso3,indicator_code,indicator_name,year,value,unit,obs_status,decimal
Africa Eastern and Southern,AFE,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2019,,,,1
Africa Eastern and Southern,AFE,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2018,,,,1
Africa Eastern and Southern,AFE,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2017,,,,1
Africa Eastern and Southern,AFE,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2016,,,,1
Africa Eastern and Southern,AFE,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2015,,,,1
Africa Western and Central,AFW,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2019,,,,1
Africa Western and Central,AFW,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2018,,,,1
Africa Western and Central,AFW,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2017,,,,1
Africa Western and Central,AFW,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2016,,,,1
Africa Western and Central,AFW,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2015,,,,1
Arab World,ARB,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2019,1.30779661961946,,,1
Arab World,ARB,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2018,1.29099014015772,,,1
Arab World,ARB,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2017,1.34439612706574,,,1
Arab World,ARB,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2016,1.44217893566776,,,1
Arab World,ARB,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2015,1.46530433523141,,,1
Caribbean small states,CSS,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2019,2.60466923308805,,,1
Caribbean small states,CSS,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2018,2.57266074632403,,,1
Caribbean small states,CSS,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2017,2.58291096748087,,,1
Caribbean small states,CSS,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2016,2.64407221243361,,,1
Caribbean small states,CSS,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2015,2.64190670510415,,,1
Central Europe and the Baltics,CEB,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2019,6.43946762011969,,,1
Central Europe and the Baltics,CEB,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2018,6.5501385149221,,,1
Central Europe and the Baltics,CEB,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2017,6.58113089462679,,,1
Central Europe and the Baltics,CEB,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2016,6.56675011351178,,,1
Central Europe and the Baltics,CEB,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2015,6.56699828752475,,,1
Early-demographic dividend,EAR,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2019,1.47493671301177,,,1
Early-demographic dividend,EAR,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2018,1.48869452099708,,,1
