country,iso3,indicator_code,indicator_name,year,value,variable
Africa Eastern and Southern,AFE,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2019,,hospital_beds_per_1000
Africa Eastern and Southern,AFE,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2018,,hospital_beds_per_1000
Africa Eastern and Southern,AFE,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2017,,hospital_beds_per_1000
Africa Eastern and Southern,AFE,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2016,,hospital_beds_per_1000
Africa Eastern and Southern,AFE,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2015,,hospital_beds_per_1000
Africa Western and Central,AFW,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2019,,hospital_beds_per_1000
Africa Western and Central,AFW,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2018,,hospital_beds_per_1000
Africa Western and Central,AFW,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2017,,hospital_beds_per_1000
Africa Western and Central,AFW,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2016,,hospital_beds_per_1000
Africa Western and Central,AFW,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2015,,hospital_beds_per_1000
Arab World,ARB,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2019,1.30779661961946,hospital_beds_per_1000
Arab World,ARB,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2018,1.29099014015772,hospital_beds_per_1000
Arab World,ARB,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2017,1.34439612706574,hospital_beds_per_1000
Arab World,ARB,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2016,1.44217893566776,hospital_beds_per_1000
Arab World,ARB,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2015,1.46530433523141,hospital_beds_per_1000
Caribbean small states,CSS,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2019,2.60466923308805,hospital_beds_per_1000
Caribbean small states,CSS,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2018,2.57266074632403,hospital_beds_per_1000
Caribbean small states,CSS,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2017,2.58291096748087,hospital_beds_per_1000
Caribbean small states,CSS,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2016,2.64407221243361,hospital_beds_per_1000
Caribbean small states,CSS,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2015,2.64190670510415,hospital_beds_per_1000
Central Europe and the Baltics,CEB,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2019,6.43946762011969,hospital_beds_per_1000
Central Europe and the Baltics,CEB,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2018,6.5501385149221,hospital_beds_per_1000
Central Europe and the Baltics,CEB,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2017,6.58113089462679,hospital_beds_per_1000
Central Europe and the Baltics,CEB,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2016,6.56675011351178,hospital_beds_per_1000
Central Europe and the Baltics,CEB,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2015,6.56699828752475,hospital_beds_per_1000
Early-demographic dividend,EAR,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2019,1.47493671301177,hospital_beds_per_1000
Early-demographic dividend,EAR,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2018,1.48869452099708,hospital_beds_per_1000
Early-demographic dividend,EAR,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2017,1.49134297614629,hospital_beds_per_1000
Early-demographic dividend,EAR,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2016,1.45438865985611,hospital_beds_per_1000
Early-demographic dividend,EAR,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2015,1.47408939461137,hospital_beds_per_1000
East Asia & Pacific,EAS,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2019,4.54711009993475,hospital_beds_per_1000
East Asia & Pacific,EAS,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2018,4.49575172837371,hospital_beds_per_1000
East Asia & Pacific,EAS,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2017,4.17247444442441,hospital_beds_per_1000
East Asia & Pacific,EAS,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2016,3.99121085943343,hospital_beds_per_1000
East Asia & Pacific,EAS,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2015,3.82518927658669,hospital_beds_per_1000
East Asia & Pacific (excluding high income),EAP,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2019,3.82077740554924,hospital_beds_per_1000
East Asia & Pacific (excluding high income),EAP,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2018,3.76391143746845,hospital_beds_per_1000
East Asia & Pacific (excluding high income),EAP,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2017,3.42509733546169,hospital_beds_per_1000
East Asia & Pacific (excluding high income),EAP,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2016,3.22522421045267,hospital_beds_per_1000
East Asia & Pacific (excluding high income),EAP,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2015,3.04855552822148,hospital_beds_per_1000
East Asia & Pacific (IDA & IBRD countries),TEA,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2019,3.82077740554924,hospital_beds_per_1000
East Asia & Pacific (IDA & IBRD countries),TEA,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2018,3.64476500013888,hospital_beds_per_1000
East Asia & Pacific (IDA & IBRD countries),TEA,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2017,3.42509733546169,hospital_beds_per_1000
East Asia & Pacific (IDA & IBRD countries),TEA,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2016,3.22522421045267,hospital_beds_per_1000
East Asia & Pacific (IDA & IBRD countries),TEA,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2015,3.04855552822148,hospital_beds_per_1000
Euro area,EMU,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2019,5.13494081989566,hospital_beds_per_1000
Euro area,EMU,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2018,5.18771794927397,hospital_beds_per_1000
Euro area,EMU,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2017,5.23028796789088,hospital_beds_per_1000
Euro area,EMU,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2016,5.27341724620596,hospital_beds_per_1000
Euro area,EMU,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2015,5.32013075335677,hospital_beds_per_1000
Europe & Central Asia,ECS,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",2019,5.1396210021455,hospital_beds_per_1000
