country,iso3,indicator_code,indicator_name,year,value,unit,obs_status,decimal
Africa Eastern and Southern,AFE,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2019,,,,1
Africa Eastern and Southern,AFE,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2018,,,,1
Africa Eastern and Southern,AFE,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2017,,,,1
Africa Eastern and Southern,AFE,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2016,,,,1
Africa Eastern and Southern,AFE,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2015,,,,1
Africa Western and Central,AFW,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2019,,,,1
Africa Western and Central,AFW,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2018,,,,1
Africa Western and Central,AFW,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2017,,,,1
Africa Western and Central,AFW,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2016,,,,1
Africa Western and Central,AFW,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2015,,,,1
Arab World,ARB,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2019,,,,1
Arab World,ARB,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2018,,,,1
Arab World,ARB,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2017,,,,1
Arab World,ARB,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2016,,,,1
Arab World,ARB,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2015,,,,1
Caribbean small states,CSS,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2019,,,,1
Caribbean small states,CSS,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2018,,,,1
Caribbean small states,CSS,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2017,,,,1
Caribbean small states,CSS,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2016,,,,1
Caribbean small states,CSS,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2015,,,,1
Central Europe and the Baltics,CEB,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2019,,,,1
Central Europe and the Baltics,CEB,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2018,,,,1
Central Europe and the Baltics,CEB,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2017,,,,1
Central Europe and the Baltics,CEB,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2016,,,,1
