country,iso3,indicator_code,indicator_name,year,value,variable
Africa Eastern and Southern,AFE,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2019,,nurses_midwives_per_1000
Africa Eastern and Southern,AFE,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2018,,nurses_midwives_per_1000
Africa Eastern and Southern,AFE,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2017,,nurses_midwives_per_1000
Africa Eastern and Southern,AFE,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2016,,nurses_midwives_per_1000
Africa Eastern and Southern,AFE,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2015,,nurses_midwives_per_1000
Africa Western and Central,AFW,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2019,,nurses_midwives_per_1000
Africa Western and Central,AFW,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2018,,nurses_midwives_per_1000
Africa Western and Central,AFW,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2017,,nurses_midwives_per_1000
Africa Western and Central,AFW,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2016,,nurses_midwives_per_1000
Africa Western and Central,AFW,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2015,,nurses_midwives_per_1000
Arab World,ARB,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2019,,nurses_midwives_per_1000
Arab World,ARB,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2018,,nurses_midwives_per_1000
Arab World,ARB,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2017,,nurses_midwives_per_1000
Arab World,ARB,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2016,,nurses_midwives_per_1000
Arab World,ARB,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2015,,nurses_midwives_per_1000
Caribbean small states,CSS,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2019,,nurses_midwives_per_1000
Caribbean small states,CSS,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2018,,nurses_midwives_per_1000
Caribbean small states,CSS,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2017,,nurses_midwives_per_1000
Caribbean small states,CSS,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2016,,nurses_midwives_per_1000
Caribbean small states,CSS,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2015,,nurses_midwives_per_1000
Central Europe and the Baltics,CEB,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2019,,nurses_midwives_per_1000
Central Europe and the Baltics,CEB,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2018,,nurses_midwives_per_1000
Central Europe and the Baltics,CEB,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",2017,,nurses_midwives_per_1000
