country,iso3,indicator_code,indicator_name,year,value,variable
Africa Eastern and Southern,AFE,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2019,32.2445544986626,basic_sanitation_access
Africa Eastern and Southern,AFE,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2018,31.6082193350839,basic_sanitation_access
Africa Eastern and Southern,AFE,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2017,30.9334876885869,basic_sanitation_access
Africa Eastern and Southern,AFE,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2016,30.2072987113232,basic_sanitation_access
Africa Eastern and Southern,AFE,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2015,29.5806299792428,basic_sanitation_access
Africa Western and Central,AFW,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2019,36.1241075478964,basic_sanitation_access
Africa Western and Central,AFW,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2018,35.2016115683715,basic_sanitation_access
Africa Western and Central,AFW,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2017,34.4079009359693,basic_sanitation_access
Africa Western and Central,AFW,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2016,33.5093514125676,basic_sanitation_access
Africa Western and Central,AFW,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2015,32.6250683396274,basic_sanitation_access
Arab World,ARB,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2019,84.3862512082364,basic_sanitation_access
Arab World,ARB,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2018,83.8543247646562,basic_sanitation_access
Arab World,ARB,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2017,83.3065429485668,basic_sanitation_access
Arab World,ARB,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2016,82.7181898708854,basic_sanitation_access
Arab World,ARB,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2015,82.0647165627336,basic_sanitation_access
Caribbean small states,CSS,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2019,91.4114217974076,basic_sanitation_access
Caribbean small states,CSS,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2018,91.1326725570487,basic_sanitation_access
Caribbean small states,CSS,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2017,90.7771375893304,basic_sanitation_access
Caribbean small states,CSS,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2016,90.5388872391483,basic_sanitation_access
Caribbean small states,CSS,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2015,90.3002158621818,basic_sanitation_access
Central Europe and the Baltics,CEB,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2019,95.2616627039685,basic_sanitation_access
Central Europe and the Baltics,CEB,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2018,95.0505448396847,basic_sanitation_access
Central Europe and the Baltics,CEB,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2017,94.7800426872963,basic_sanitation_access
Central Europe and the Baltics,CEB,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2016,94.4160248094977,basic_sanitation_access
Central Europe and the Baltics,CEB,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2015,93.9517152537674,basic_sanitation_access
Early-demographic dividend,EAR,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2019,71.6301436378088,basic_sanitation_access
Early-demographic dividend,EAR,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2018,69.7677819873262,basic_sanitation_access
Early-demographic dividend,EAR,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2017,67.9114060278797,basic_sanitation_access
Early-demographic dividend,EAR,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2016,66.4356743701035,basic_sanitation_access
Early-demographic dividend,EAR,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2015,64.5760088750241,basic_sanitation_access
East Asia & Pacific,EAS,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2019,89.3505475023518,basic_sanitation_access
East Asia & Pacific,EAS,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2018,87.969389625634,basic_sanitation_access
East Asia & Pacific,EAS,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2017,86.5689796547393,basic_sanitation_access
East Asia & Pacific,EAS,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2016,85.1496860902974,basic_sanitation_access
East Asia & Pacific,EAS,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2015,83.713233005871,basic_sanitation_access
East Asia & Pacific (excluding high income),EAP,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2019,88.2484110831476,basic_sanitation_access
East Asia & Pacific (excluding high income),EAP,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2018,86.7164623211125,basic_sanitation_access
East Asia & Pacific (excluding high income),EAP,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2017,85.1612904831338,basic_sanitation_access
East Asia & Pacific (excluding high income),EAP,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2016,83.5822056681026,basic_sanitation_access
East Asia & Pacific (excluding high income),EAP,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2015,81.98394448674,basic_sanitation_access
East Asia & Pacific (IDA & IBRD countries),TEA,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2019,88.2936833894514,basic_sanitation_access
East Asia & Pacific (IDA & IBRD countries),TEA,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2018,86.7514686306903,basic_sanitation_access
East Asia & Pacific (IDA & IBRD countries),TEA,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2017,85.1863941384065,basic_sanitation_access
East Asia & Pacific (IDA & IBRD countries),TEA,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2016,83.5969866898599,basic_sanitation_access
East Asia & Pacific (IDA & IBRD countries),TEA,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2015,81.9880103755963,basic_sanitation_access
