country,iso3,indicator_code,indicator_name,year,value,variable
Africa Eastern and Southern,AFE,SH.STA.HYGN.ZS,People with basic handwashing facilities including soap and water (% of population),2019,21.1353448063491,basic_handwashing_access
Africa Eastern and Southern,AFE,SH.STA.HYGN.ZS,People with basic handwashing facilities including soap and water (% of population),2018,20.8866861844801,basic_handwashing_access
Africa Eastern and Southern,AFE,SH.STA.HYGN.ZS,People with basic handwashing facilities including soap and water (% of population),2017,20.7303213950426,basic_handwashing_access
Africa Eastern and Southern,AFE,SH.STA.HYGN.ZS,People with basic handwashing facilities including soap and water (% of population),2016,20.7717752823708,basic_handwashing_access
Africa Eastern and Southern,AFE,SH.STA.HYGN.ZS,People with basic handwashing facilities including soap and water (% of population),2015,20.4309746362255,basic_handwashing_access
Africa Western and Central,AFW,SH.STA.HYGN.ZS,People with basic handwashing facilities including soap and water (% of population),2019,27.6832333805468,basic_handwashing_access
Africa Western and Central,AFW,SH.STA.HYGN.ZS,People with basic handwashing facilities including soap and water (% of population),2018,27.3233520666421,basic_handwashing_access
Africa Western and Central,AFW,SH.STA.HYGN.ZS,People with basic handwashing facilities including soap and water (% of population),2017,27.0013442661906,basic_handwashing_access
Africa Western and Central,AFW,SH.STA.HYGN.ZS,People with basic handwashing facilities including soap and water (% of population),2016,26.5762405545069,basic_handwashing_access
Africa Western and Central,AFW,SH.STA.HYGN.ZS,People with basic handwashing facilities including soap and water (% of population),2015,26.2477395684231,basic_handwashing_access
Arab World,ARB,SH.STA.HYGN.ZS,People with basic handwashing facilities including soap and water (% of population),2019,74.3348605437428,basic_handwashing_access
Arab World,ARB,SH.STA.HYGN.ZS,People with basic handwashing facilities including soap and water (% of population),2018,74.3545364941359,basic_handwashing_access
Arab World,ARB,SH.STA.HYGN.ZS,People with basic handwashing facilities including soap and water (% of population),2017,73.970319473157,basic_handwashing_access
Arab World,ARB,SH.STA.HYGN.ZS,People with basic handwashing facilities including soap and water (% of population),2016,73.8380282428421,basic_handwashing_access
Arab World,ARB,SH.STA.HYGN.ZS,People with basic handwashing facilities including soap and water (% of population),2015,71.1987628635394,basic_handwashing_access
