country,iso3,indicator_code,indicator_name,year,value,variable
Africa Eastern and Southern,AFE,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2019,,tuberculosis_incidence
Africa Eastern and Southern,AFE,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2018,,tuberculosis_incidence
Africa Eastern and Southern,AFE,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2017,,tuberculosis_incidence
Africa Eastern and Southern,AFE,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2016,,tuberculosis_incidence
Africa Eastern and Southern,AFE,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2015,,tuberculosis_incidence
Africa Western and Central,AFW,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2019,,tuberculosis_incidence
Africa Western and Central,AFW,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2018,,tuberculosis_incidence
Africa Western and Central,AFW,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2017,,tuberculosis_incidence
Africa Western and Central,AFW,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2016,,tuberculosis_incidence
Africa Western and Central,AFW,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2015,,tuberculosis_incidence
Arab World,ARB,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2019,,tuberculosis_incidence
Arab World,ARB,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2018,,tuberculosis_incidence
Arab World,ARB,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2017,,tuberculosis_incidence
Arab World,ARB,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2016,,tuberculosis_incidence
Arab World,ARB,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2015,,tuberculosis_incidence
Caribbean small states,CSS,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2019,,tuberculosis_incidence
Caribbean small states,CSS,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2018,,tuberculosis_incidence
Caribbean small states,CSS,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2017,,tuberculosis_incidence
Caribbean small states,CSS,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2016,,tuberculosis_incidence
Caribbean small states,CSS,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2015,,tuberculosis_incidence
Central Europe and the Baltics,CEB,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2019,,tuberculosis_incidence
Central Europe and the Baltics,CEB,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2018,,tuberculosis_incidence
Central Europe and the Baltics,CEB,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2017,,tuberculosis_incidence
Central Europe and the Baltics,CEB,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2016,,tuberculosis_incidence
Central Europe and the Baltics,CEB,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2015,,tuberculosis_incidence
Early-demographic dividend,EAR,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2019,,tuberculosis_incidence
Early-demographic dividend,EAR,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2018,,tuberculosis_incidence
Early-demographic dividend,EAR,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2017,,tuberculosis_incidence
Early-demographic dividend,EAR,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2016,,tuberculosis_incidence
Early-demographic dividend,EAR,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2015,,tuberculosis_incidence
East Asia & Pacific,EAS,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2019,132.0,tuberculosis_incidence
East Asia & Pacific,EAS,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2018,135.0,tuberculosis_incidence
East Asia & Pacific,EAS,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2017,137.0,tuberculosis_incidence
East Asia & Pacific,EAS,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2016,138.0,tuberculosis_incidence
East Asia & Pacific,EAS,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2015,140.0,tuberculosis_incidence
East Asia & Pacific (excluding high income),EAP,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",2019,143.0,tuberculosis_incidence
