country,iso3,indicator_code,indicator_name,year,value,unit,obs_status,decimal
Africa Eastern and Southern,AFE,SH_UHC_SCI,UHC service coverage index,2019,44.6428027657523,,,1
Africa Eastern and Southern,AFE,SH_UHC_SCI,UHC service coverage index,2018,44.0185888960642,,,1
Africa Eastern and Southern,AFE,SH_UHC_SCI,UHC service coverage index,2017,44.9084793609592,,,1
Africa Eastern and Southern,AFE,SH_UHC_SCI,UHC service coverage index,2016,44.2050552429987,,,1
Africa Eastern and Southern,AFE,SH_UHC_SCI,UHC service coverage index,2015,43.8158610586872,,,1
Africa Western and Central,AFW,SH_UHC_SCI,UHC service coverage index,2019,44.2490850304674,,,1
Africa Western and Central,AFW,SH_UHC_SCI,UHC service coverage index,2018,43.7706191529837,,,1
Africa Western and Central,AFW,SH_UHC_SCI,UHC service coverage index,2017,41.830819045182,,,1
Africa Western and Central,AFW,SH_UHC_SCI,UHC service coverage index,2016,41.8101097022929,,,1
Africa Western and Central,AFW,SH_UHC_SCI,UHC service coverage index,2015,41.2867122829382,,,1
Arab World,ARB,SH_UHC_SCI,UHC service coverage index,2019,64.1506529573498,,,1
Arab World,ARB,SH_UHC_SCI,UHC service coverage index,2018,64.8890124465233,,,1
Arab World,ARB,SH_UHC_SCI,UHC service coverage index,2017,65.6887265815772,,,1
Arab World,ARB,SH_UHC_SCI,UHC service coverage index,2016,65.5152133982969,,,1
Arab World,ARB,SH_UHC_SCI,UHC service coverage index,2015,65.4554881170276,,,1
Caribbean small states,CSS,SH_UHC_SCI,UHC service coverage index,2019,76.2116116687005,,,1
Caribbean small states,CSS,SH_UHC_SCI,UHC service coverage index,2018,75.1667091684518,,,1
Caribbean small states,CSS,SH_UHC_SCI,UHC service coverage index,2017,75.863242360529,,,1
Caribbean small states,CSS,SH_UHC_SCI,UHC service coverage index,2016,76.3744584900536,,,1
Caribbean small states,CSS,SH_UHC_SCI,UHC service coverage index,2015,75.3292026245477,,,1
Central Europe and the Baltics,CEB,SH_UHC_SCI,UHC service coverage index,2019,78.9556211827515,,,1
Central Europe and the Baltics,CEB,SH_UHC_SCI,UHC service coverage index,2018,78.6799113813293,,,1
Central Europe and the Baltics,CEB,SH_UHC_SCI,UHC service coverage index,2017,78.8587899757294,,,1
Central Europe and the Baltics,CEB,SH_UHC_SCI,UHC service coverage index,2016,78.3475960778911,,,1
Central Europe and the Baltics,CEB,SH_UHC_SCI,UHC service coverage index,2015,78.0810820939401,,,1
Early-demographic dividend,EAR,SH_UHC_SCI,UHC service coverage index,2019,63.4782000116206,,,1
Early-demographic dividend,EAR,SH_UHC_SCI,UHC service coverage index,2018,62.4119599985052,,,1
Early-demographic dividend,EAR,SH_UHC_SCI,UHC service coverage index,2017,62.8628519569489,,,1
Early-demographic dividend,EAR,SH_UHC_SCI,UHC service coverage index,2016,62.1141295768305,,,1
Early-demographic dividend,EAR,SH_UHC_SCI,UHC service coverage index,2015,61.2914433705197,,,1
East Asia & Pacific,EAS,SH_UHC_SCI,UHC service coverage index,2019,78.0,,,1
East Asia & Pacific,EAS,SH_UHC_SCI,UHC service coverage index,2018,78.0,,,1
East Asia & Pacific,EAS,SH_UHC_SCI,UHC service coverage index,2017,78.0,,,1
East Asia & Pacific,EAS,SH_UHC_SCI,UHC service coverage index,2016,77.0,,,1
East Asia & Pacific,EAS,SH_UHC_SCI,UHC service coverage index,2015,76.0,,,1
East Asia & Pacific (excluding high income),EAP,SH_UHC_SCI,UHC service coverage index,2019,77.0271517457165,,,1
East Asia & Pacific (excluding high income),EAP,SH_UHC_SCI,UHC service coverage index,2018,76.0542919117852,,,1
East Asia & Pacific (excluding high income),EAP,SH_UHC_SCI,UHC service coverage index,2017,76.3246973486052,,,1
East Asia & Pacific (excluding high income),EAP,SH_UHC_SCI,UHC service coverage index,2016,75.2262864244894,,,1
East Asia & Pacific (excluding high income),EAP,SH_UHC_SCI,UHC service coverage index,2015,74.2450262943296,,,1
East Asia & Pacific (IDA & IBRD countries),TEA,SH_UHC_SCI,UHC service coverage index,2019,76.9899319921352,,,1
East Asia & Pacific (IDA & IBRD countries),TEA,SH_UHC_SCI,UHC service coverage index,2018,76.0173640015445,,,1
East Asia & Pacific (IDA & IBRD countries),TEA,SH_UHC_SCI,UHC service coverage index,2017,76.2785728357259,,,1
East Asia & Pacific (IDA & IBRD countries),TEA,SH_UHC_SCI,UHC service coverage index,2016,75.1662347359173,,,1
East Asia & Pacific (IDA & IBRD countries),TEA,SH_UHC_SCI,UHC service coverage index,2015,74.1850624318067,,,1
Euro area,EMU,SH_UHC_SCI,UHC service coverage index,2019,83.1936707973652,,,1
