country,iso3,indicator_code,indicator_name,year,value,variable
Africa Eastern and Southern,AFE,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2019,5.7558901923726,current_health_expenditure_gdp
Africa Eastern and Southern,AFE,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2018,5.73062852507169,current_health_expenditure_gdp
Africa Eastern and Southern,AFE,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2017,5.86588226298921,current_health_expenditure_gdp
Africa Eastern and Southern,AFE,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2016,6.01403640033509,current_health_expenditure_gdp
Africa Eastern and Southern,AFE,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2015,5.89167008074868,current_health_expenditure_gdp
Africa Western and Central,AFW,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2019,3.25093608157437,current_health_expenditure_gdp
Africa Western and Central,AFW,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2018,3.28862221030402,current_health_expenditure_gdp
Africa Western and Central,AFW,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2017,3.73266812536803,current_health_expenditure_gdp
Africa Western and Central,AFW,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2016,3.8027557657234,current_health_expenditure_gdp
Africa Western and Central,AFW,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2015,3.81020499573204,current_health_expenditure_gdp
Arab World,ARB,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2019,4.94278733717573,current_health_expenditure_gdp
Arab World,ARB,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2018,4.86776695125365,current_health_expenditure_gdp
Arab World,ARB,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2017,5.15987282843783,current_health_expenditure_gdp
Arab World,ARB,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2016,5.28502773733537,current_health_expenditure_gdp
Arab World,ARB,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2015,5.00908575316047,current_health_expenditure_gdp
Caribbean small states,CSS,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2019,6.08982716034103,current_health_expenditure_gdp
Caribbean small states,CSS,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2018,5.94749460312322,current_health_expenditure_gdp
Caribbean small states,CSS,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2017,5.97078497970675,current_health_expenditure_gdp
Caribbean small states,CSS,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2016,5.79138891237426,current_health_expenditure_gdp
Caribbean small states,CSS,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2015,5.38565779189487,current_health_expenditure_gdp
Central Europe and the Baltics,CEB,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2019,6.61921750835365,current_health_expenditure_gdp
Central Europe and the Baltics,CEB,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2018,6.51336173608474,current_health_expenditure_gdp
Central Europe and the Baltics,CEB,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2017,6.56979793772616,current_health_expenditure_gdp
Central Europe and the Baltics,CEB,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2016,6.64432931269871,current_health_expenditure_gdp
Central Europe and the Baltics,CEB,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2015,6.49835712782675,current_health_expenditure_gdp
Early-demographic dividend,EAR,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2019,4.60445519152089,current_health_expenditure_gdp
Early-demographic dividend,EAR,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2018,4.63534520343627,current_health_expenditure_gdp
Early-demographic dividend,EAR,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2017,4.86578793719636,current_health_expenditure_gdp
Early-demographic dividend,EAR,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2016,5.041163682298,current_health_expenditure_gdp
Early-demographic dividend,EAR,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2015,5.14300120098285,current_health_expenditure_gdp
East Asia & Pacific,EAS,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2019,6.63218318246243,current_health_expenditure_gdp
East Asia & Pacific,EAS,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2018,6.46332885332331,current_health_expenditure_gdp
East Asia & Pacific,EAS,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2017,6.45209555660183,current_health_expenditure_gdp
East Asia & Pacific,EAS,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2016,6.4924665198735,current_health_expenditure_gdp
East Asia & Pacific,EAS,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2015,6.42297737087305,current_health_expenditure_gdp
East Asia & Pacific (excluding high income),EAP,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2019,4.99305007183394,current_health_expenditure_gdp
East Asia & Pacific (excluding high income),EAP,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2018,4.83519763650792,current_health_expenditure_gdp
East Asia & Pacific (excluding high income),EAP,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2017,4.73855932101377,current_health_expenditure_gdp
East Asia & Pacific (excluding high income),EAP,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2016,4.67398607736289,current_health_expenditure_gdp
East Asia & Pacific (excluding high income),EAP,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2015,4.64726137088585,current_health_expenditure_gdp
East Asia & Pacific (IDA & IBRD countries),TEA,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2019,4.99321295377829,current_health_expenditure_gdp
East Asia & Pacific (IDA & IBRD countries),TEA,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2018,4.83535460653651,current_health_expenditure_gdp
East Asia & Pacific (IDA & IBRD countries),TEA,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2017,4.73872752864821,current_health_expenditure_gdp
East Asia & Pacific (IDA & IBRD countries),TEA,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2016,4.67414820826657,current_health_expenditure_gdp
East Asia & Pacific (IDA & IBRD countries),TEA,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2015,4.64742800465152,current_health_expenditure_gdp
Euro area,EMU,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2019,10.1571679207472,current_health_expenditure_gdp
Euro area,EMU,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2018,10.0951265232871,current_health_expenditure_gdp
Euro area,EMU,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2017,10.1010873950656,current_health_expenditure_gdp
Euro area,EMU,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2016,10.1207106035258,current_health_expenditure_gdp
Euro area,EMU,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2015,10.1518988683379,current_health_expenditure_gdp
Europe & Central Asia,ECS,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2019,9.31021585100489,current_health_expenditure_gdp
Europe & Central Asia,ECS,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2018,9.23068191093197,current_health_expenditure_gdp
Europe & Central Asia,ECS,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2017,9.21010108802763,current_health_expenditure_gdp
Europe & Central Asia,ECS,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2016,9.29822075173262,current_health_expenditure_gdp
Europe & Central Asia,ECS,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2015,9.25908025142841,current_health_expenditure_gdp
Europe & Central Asia (excluding high income),ECA,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2019,4.96677430314955,current_health_expenditure_gdp
Europe & Central Asia (excluding high income),ECA,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2018,4.78663718590348,current_health_expenditure_gdp
Europe & Central Asia (excluding high income),ECA,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2017,4.76376986171493,current_health_expenditure_gdp
