country,iso3,indicator_code,indicator_name,year,value,unit,obs_status,decimal
Africa Eastern and Southern,AFE,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2019,204.63765108977,,,2
Africa Eastern and Southern,AFE,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2018,198.891049963471,,,2
Africa Eastern and Southern,AFE,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2017,205.631172886598,,,2
Africa Eastern and Southern,AFE,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2016,214.414171839249,,,2
Africa Eastern and Southern,AFE,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2015,206.948011545297,,,2
Africa Western and Central,AFW,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2019,149.483802797984,,,2
Africa Western and Central,AFW,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2018,138.879864524361,,,2
Africa Western and Central,AFW,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2017,152.910846656202,,,2
Africa Western and Central,AFW,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2016,153.781535453071,,,2
Africa Western and Central,AFW,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2015,157.764439294672,,,2
Arab World,ARB,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2019,774.990453687124,,,2
Arab World,ARB,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2018,759.58867446885,,,2
Arab World,ARB,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2017,763.017062380754,,,2
Arab World,ARB,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2016,755.505334366848,,,2
Arab World,ARB,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2015,741.988274469454,,,2
Caribbean small states,CSS,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2019,1330.26709326445,,,2
Caribbean small states,CSS,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2018,1218.58677831542,,,2
Caribbean small states,CSS,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2017,1179.16173664553,,,2
Caribbean small states,CSS,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2016,1113.18215568959,,,2
Caribbean small states,CSS,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2015,1065.05516554706,,,2
Central Europe and the Baltics,CEB,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2019,2352.43505900925,,,2
Central Europe and the Baltics,CEB,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2018,2086.43540662562,,,2
Central Europe and the Baltics,CEB,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2017,1956.51805710989,,,2
Central Europe and the Baltics,CEB,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2016,1837.07730177687,,,2
Central Europe and the Baltics,CEB,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2015,1691.67538769564,,,2
Early-demographic dividend,EAR,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2019,415.183070352389,,,2
Early-demographic dividend,EAR,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2018,405.403916498639,,,2
Early-demographic dividend,EAR,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2017,400.473838217005,,,2
Early-demographic dividend,EAR,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2016,399.106568750886,,,2
