country,iso3,indicator_code,indicator_name,year,value,variable
Africa Eastern and Southern,AFE,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2019,204.63765108977,current_health_expenditure_per_capita_ppp
Africa Eastern and Southern,AFE,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2018,198.891049963471,current_health_expenditure_per_capita_ppp
Africa Eastern and Southern,AFE,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2017,205.631172886598,current_health_expenditure_per_capita_ppp
Africa Eastern and Southern,AFE,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2016,214.414171839249,current_health_expenditure_per_capita_ppp
Africa Eastern and Southern,AFE,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2015,206.948011545297,current_health_expenditure_per_capita_ppp
Africa Western and Central,AFW,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2019,149.483802797984,current_health_expenditure_per_capita_ppp
Africa Western and Central,AFW,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2018,138.879864524361,current_health_expenditure_per_capita_ppp
Africa Western and Central,AFW,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2017,152.910846656202,current_health_expenditure_per_capita_ppp
Africa Western and Central,AFW,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2016,153.781535453071,current_health_expenditure_per_capita_ppp
Africa Western and Central,AFW,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2015,157.764439294672,current_health_expenditure_per_capita_ppp
Arab World,ARB,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2019,774.990453687124,current_health_expenditure_per_capita_ppp
Arab World,ARB,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2018,759.58867446885,current_health_expenditure_per_capita_ppp
Arab World,ARB,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2017,763.017062380754,current_health_expenditure_per_capita_ppp
Arab World,ARB,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2016,755.505334366848,current_health_expenditure_per_capita_ppp
Arab World,ARB,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2015,741.988274469454,current_health_expenditure_per_capita_ppp
Caribbean small states,CSS,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2019,1330.26709326445,current_health_expenditure_per_capita_ppp
Caribbean small states,CSS,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2018,1218.58677831542,current_health_expenditure_per_capita_ppp
Caribbean small states,CSS,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2017,1179.16173664553,current_health_expenditure_per_capita_ppp
Caribbean small states,CSS,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2016,1113.18215568959,current_health_expenditure_per_capita_ppp
Caribbean small states,CSS,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2015,1065.05516554706,current_health_expenditure_per_capita_ppp
Central Europe and the Baltics,CEB,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2019,2352.43505900925,current_health_expenditure_per_capita_ppp
Central Europe and the Baltics,CEB,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2018,2086.43540662562,current_health_expenditure_per_capita_ppp
Central Europe and the Baltics,CEB,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2017,1956.51805710989,current_health_expenditure_per_capita_ppp
Central Europe and the Baltics,CEB,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2016,1837.07730177687,current_health_expenditure_per_capita_ppp
Central Europe and the Baltics,CEB,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2015,1691.67538769564,current_health_expenditure_per_capita_ppp
Early-demographic dividend,EAR,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2019,415.183070352389,current_health_expenditure_per_capita_ppp
Early-demographic dividend,EAR,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2018,405.403916498639,current_health_expenditure_per_capita_ppp
Early-demographic dividend,EAR,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2017,400.473838217005,current_health_expenditure_per_capita_ppp
Early-demographic dividend,EAR,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2016,399.106568750886,current_health_expenditure_per_capita_ppp
Early-demographic dividend,EAR,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2015,389.126739588314,current_health_expenditure_per_capita_ppp
East Asia & Pacific,EAS,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2019,1111.14427231454,current_health_expenditure_per_capita_ppp
East Asia & Pacific,EAS,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2018,1022.41111826177,current_health_expenditure_per_capita_ppp
East Asia & Pacific,EAS,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2017,951.326654991565,current_health_expenditure_per_capita_ppp
East Asia & Pacific,EAS,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2016,905.738330581697,current_health_expenditure_per_capita_ppp
East Asia & Pacific,EAS,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2015,874.873508037408,current_health_expenditure_per_capita_ppp
East Asia & Pacific (excluding high income),EAP,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2019,764.027591359603,current_health_expenditure_per_capita_ppp
East Asia & Pacific (excluding high income),EAP,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2018,686.431235972489,current_health_expenditure_per_capita_ppp
East Asia & Pacific (excluding high income),EAP,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2017,624.256508899565,current_health_expenditure_per_capita_ppp
East Asia & Pacific (excluding high income),EAP,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2016,583.73694309831,current_health_expenditure_per_capita_ppp
East Asia & Pacific (excluding high income),EAP,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2015,553.05575103683,current_health_expenditure_per_capita_ppp
East Asia & Pacific (IDA & IBRD countries),TEA,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2019,764.042611876842,current_health_expenditure_per_capita_ppp
East Asia & Pacific (IDA & IBRD countries),TEA,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2018,686.444669651098,current_health_expenditure_per_capita_ppp
East Asia & Pacific (IDA & IBRD countries),TEA,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2017,624.2705851921,current_health_expenditure_per_capita_ppp
East Asia & Pacific (IDA & IBRD countries),TEA,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2016,583.750591784588,current_health_expenditure_per_capita_ppp
East Asia & Pacific (IDA & IBRD countries),TEA,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2015,553.070828712859,current_health_expenditure_per_capita_ppp
Euro area,EMU,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2019,5176.55509162431,current_health_expenditure_per_capita_ppp
Euro area,EMU,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2018,4791.74886104123,current_health_expenditure_per_capita_ppp
Euro area,EMU,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2017,4596.88822499106,current_health_expenditure_per_capita_ppp
Euro area,EMU,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",2016,4394.88332908915,current_health_expenditure_per_capita_ppp
