country,iso3,indicator_code,indicator_name,year,value,variable
Africa Eastern and Southern,AFE,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),2019,47.2593709795246,domestic_gov_health_expenditure_share
Africa Eastern and Southern,AFE,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),2018,47.2260223210671,domestic_gov_health_expenditure_share
Africa Eastern and Southern,AFE,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),2017,46.7581907988812,domestic_gov_health_expenditure_share
Africa Eastern and Southern,AFE,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),2016,44.8698422501554,domestic_gov_health_expenditure_share
Africa Eastern and Southern,AFE,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),2015,45.0651393055768,domestic_gov_health_expenditure_share
Africa Western and Central,AFW,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),2019,23.772874587031,domestic_gov_health_expenditure_share
Africa Western and Central,AFW,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),2018,22.6096748693165,domestic_gov_health_expenditure_share
Africa Western and Central,AFW,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),2017,21.3848099373807,domestic_gov_health_expenditure_share
Africa Western and Central,AFW,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),2016,18.9372790923701,domestic_gov_health_expenditure_share
Africa Western and Central,AFW,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),2015,19.4707489667713,domestic_gov_health_expenditure_share
Arab World,ARB,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),2019,59.0749698456609,domestic_gov_health_expenditure_share
Arab World,ARB,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),2018,57.8422084979131,domestic_gov_health_expenditure_share
Arab World,ARB,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),2017,58.5900974710239,domestic_gov_health_expenditure_share
Arab World,ARB,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure),2016,60.5360304058691,domestic_gov_health_expenditure_share
