country,iso3,indicator_code,indicator_name,year,value,unit,obs_status,decimal
Africa Eastern and Southern,AFE,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2019,2.73567553327344,,,2
Africa Eastern and Southern,AFE,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2018,2.72570294751678,,,2
Africa Eastern and Southern,AFE,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2017,2.73600482718679,,,2
Africa Eastern and Southern,AFE,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2016,2.74208699626195,,,2
Africa Eastern and Southern,AFE,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2015,2.67971494433485,,,2
Africa Western and Central,AFW,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2019,0.727961933468943,,,2
Africa Western and Central,AFW,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2018,0.744825549457975,,,2
Africa Western and Central,AFW,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2017,0.799872170682834,,,2
Africa Western and Central,AFW,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2016,0.721870677963045,,,2
Africa Western and Central,AFW,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2015,0.742713444156151,,,2
Arab World,ARB,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2019,2.98920936020837,,,2
Arab World,ARB,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2018,2.87434969852607,,,2
Arab World,ARB,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2017,3.02917433728892,,,2
Arab World,ARB,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2016,3.19936978488205,,,2
Arab World,ARB,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2015,2.92121280266174,,,2
Caribbean small states,CSS,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2019,3.12846083224018,,,2
Caribbean small states,CSS,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2018,3.04664944955266,,,2
Caribbean small states,CSS,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2017,3.18823645585149,,,2
Caribbean small states,CSS,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2016,2.9666537154103,,,2
Caribbean small states,CSS,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2015,2.72801288064866,,,2
Central Europe and the Baltics,CEB,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2019,4.92949090371287,,,2
Central Europe and the Baltics,CEB,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2018,4.84462607103849,,,2
Central Europe and the Baltics,CEB,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2017,4.79420150992586,,,2
Central Europe and the Baltics,CEB,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2016,4.84279954952239,,,2
Central Europe and the Baltics,CEB,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2015,4.74639044448249,,,2
Early-demographic dividend,EAR,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2019,2.3950126809791,,,2
Early-demographic dividend,EAR,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2018,2.40263243194349,,,2
Early-demographic dividend,EAR,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2017,2.57248592396523,,,2
Early-demographic dividend,EAR,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2016,2.57262313633117,,,2
Early-demographic dividend,EAR,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2015,2.62227283248535,,,2
East Asia & Pacific,EAS,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2019,4.39710644752593,,,2
East Asia & Pacific,EAS,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2018,4.28702430300929,,,2
East Asia & Pacific,EAS,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2017,4.32810720221199,,,2
East Asia & Pacific,EAS,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2016,4.42368855240226,,,2
East Asia & Pacific,EAS,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2015,4.3975048716571,,,2
East Asia & Pacific (excluding high income),EAP,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2019,2.75797713633133,,,2
East Asia & Pacific (excluding high income),EAP,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2018,2.68847968952713,,,2
East Asia & Pacific (excluding high income),EAP,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2017,2.63977396263717,,,2
East Asia & Pacific (excluding high income),EAP,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2016,2.65626385317282,,,2
East Asia & Pacific (excluding high income),EAP,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2015,2.71937206788167,,,2
East Asia & Pacific (IDA & IBRD countries),TEA,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2019,2.75810061246918,,,2
East Asia & Pacific (IDA & IBRD countries),TEA,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2018,2.68859221599921,,,2
East Asia & Pacific (IDA & IBRD countries),TEA,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2017,2.63987430130426,,,2
East Asia & Pacific (IDA & IBRD countries),TEA,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2016,2.6563716059768,,,2
East Asia & Pacific (IDA & IBRD countries),TEA,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2015,2.71945509597062,,,2
Euro area,EMU,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2019,7.50911018763469,,,2
Euro area,EMU,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2018,7.47931336529117,,,2
Euro area,EMU,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2017,7.48374418008559,,,2
Euro area,EMU,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2016,7.50062007896236,,,2
Euro area,EMU,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2015,7.43873846950823,,,2
Europe & Central Asia,ECS,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2019,6.78617026563052,,,2
Europe & Central Asia,ECS,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2018,6.73658364361958,,,2
Europe & Central Asia,ECS,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2017,6.70310054471772,,,2
Europe & Central Asia,ECS,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2016,6.78738647646713,,,2
Europe & Central Asia,ECS,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2015,6.71011006194233,,,2
Europe & Central Asia (excluding high income),ECA,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2019,3.05442301004123,,,2
Europe & Central Asia (excluding high income),ECA,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2018,2.9596863645521,,,2
Europe & Central Asia (excluding high income),ECA,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2017,3.01325592850273,,,2
Europe & Central Asia (excluding high income),ECA,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2016,3.14344309814822,,,2
Europe & Central Asia (excluding high income),ECA,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2015,3.00450715117322,,,2
Europe & Central Asia (IDA & IBRD countries),TEC,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2019,3.57989433823694,,,2
Europe & Central Asia (IDA & IBRD countries),TEC,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2018,3.41040999304787,,,2
Europe & Central Asia (IDA & IBRD countries),TEC,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2017,3.34123621860691,,,2
Europe & Central Asia (IDA & IBRD countries),TEC,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2016,3.37417014187668,,,2
Europe & Central Asia (IDA & IBRD countries),TEC,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2015,3.32338783734423,,,2
European Union,EUU,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2019,7.36464259927353,,,2
European Union,EUU,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2018,7.34555818420429,,,2
European Union,EUU,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2017,7.35438286624817,,,2
European Union,EUU,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2016,7.38341943709818,,,2
European Union,EUU,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2015,7.32196504488988,,,2
Fragile and conflict affected situations,FCS,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2019,1.32765957910711,,,2
