country,iso3,indicator_code,indicator_name,year,value,variable
Africa Eastern and Southern,AFE,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2019,2.73567553327344,domestic_gov_health_expenditure_gdp
Africa Eastern and Southern,AFE,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2018,2.72570294751678,domestic_gov_health_expenditure_gdp
Africa Eastern and Southern,AFE,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2017,2.73600482718679,domestic_gov_health_expenditure_gdp
Africa Eastern and Southern,AFE,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2016,2.74208699626195,domestic_gov_health_expenditure_gdp
Africa Eastern and Southern,AFE,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2015,2.67971494433485,domestic_gov_health_expenditure_gdp
Africa Western and Central,AFW,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2019,0.727961933468943,domestic_gov_health_expenditure_gdp
Africa Western and Central,AFW,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2018,0.744825549457975,domestic_gov_health_expenditure_gdp
Africa Western and Central,AFW,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2017,0.799872170682834,domestic_gov_health_expenditure_gdp
Africa Western and Central,AFW,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2016,0.721870677963045,domestic_gov_health_expenditure_gdp
Africa Western and Central,AFW,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2015,0.742713444156151,domestic_gov_health_expenditure_gdp
Arab World,ARB,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2019,2.98920936020837,domestic_gov_health_expenditure_gdp
Arab World,ARB,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2018,2.87434969852607,domestic_gov_health_expenditure_gdp
Arab World,ARB,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2017,3.02917433728892,domestic_gov_health_expenditure_gdp
Arab World,ARB,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2016,3.19936978488205,domestic_gov_health_expenditure_gdp
Arab World,ARB,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2015,2.92121280266174,domestic_gov_health_expenditure_gdp
Caribbean small states,CSS,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2019,3.12846083224018,domestic_gov_health_expenditure_gdp
Caribbean small states,CSS,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2018,3.04664944955266,domestic_gov_health_expenditure_gdp
Caribbean small states,CSS,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2017,3.18823645585149,domestic_gov_health_expenditure_gdp
Caribbean small states,CSS,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2016,2.9666537154103,domestic_gov_health_expenditure_gdp
Caribbean small states,CSS,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2015,2.72801288064866,domestic_gov_health_expenditure_gdp
Central Europe and the Baltics,CEB,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2019,4.92949090371287,domestic_gov_health_expenditure_gdp
Central Europe and the Baltics,CEB,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2018,4.84462607103849,domestic_gov_health_expenditure_gdp
Central Europe and the Baltics,CEB,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2017,4.79420150992586,domestic_gov_health_expenditure_gdp
Central Europe and the Baltics,CEB,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2016,4.84279954952239,domestic_gov_health_expenditure_gdp
Central Europe and the Baltics,CEB,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2015,4.74639044448249,domestic_gov_health_expenditure_gdp
Early-demographic dividend,EAR,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2019,2.3950126809791,domestic_gov_health_expenditure_gdp
Early-demographic dividend,EAR,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2018,2.40263243194349,domestic_gov_health_expenditure_gdp
Early-demographic dividend,EAR,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2017,2.57248592396523,domestic_gov_health_expenditure_gdp
Early-demographic dividend,EAR,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2016,2.57262313633117,domestic_gov_health_expenditure_gdp
Early-demographic dividend,EAR,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP),2015,2.62227283248535,domestic_gov_health_expenditure_gdp
