country,iso3,indicator_code,indicator_name,year,value,variable
Africa Eastern and Southern,AFE,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2019,37.8401695324548,out_of_pocket_expenditure_per_capita_ppp
Africa Eastern and Southern,AFE,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2018,36.9586587046757,out_of_pocket_expenditure_per_capita_ppp
Africa Eastern and Southern,AFE,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2017,40.4704503862893,out_of_pocket_expenditure_per_capita_ppp
Africa Eastern and Southern,AFE,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2016,44.2503831522641,out_of_pocket_expenditure_per_capita_ppp
Africa Eastern and Southern,AFE,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2015,42.3377802992684,out_of_pocket_expenditure_per_capita_ppp
Africa Western and Central,AFW,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2019,87.4990753713629,out_of_pocket_expenditure_per_capita_ppp
Africa Western and Central,AFW,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2018,86.9431005000189,out_of_pocket_expenditure_per_capita_ppp
Africa Western and Central,AFW,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2017,97.5996677876666,out_of_pocket_expenditure_per_capita_ppp
Africa Western and Central,AFW,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2016,96.0831450216741,out_of_pocket_expenditure_per_capita_ppp
Africa Western and Central,AFW,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2015,94.5773800759282,out_of_pocket_expenditure_per_capita_ppp
Arab World,ARB,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2019,256.281740458692,out_of_pocket_expenditure_per_capita_ppp
Arab World,ARB,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2018,259.175536274937,out_of_pocket_expenditure_per_capita_ppp
Arab World,ARB,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2017,253.426425288871,out_of_pocket_expenditure_per_capita_ppp
Arab World,ARB,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2016,250.814747088195,out_of_pocket_expenditure_per_capita_ppp
Arab World,ARB,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2015,252.905544681497,out_of_pocket_expenditure_per_capita_ppp
Caribbean small states,CSS,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2019,483.682554522276,out_of_pocket_expenditure_per_capita_ppp
Caribbean small states,CSS,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2018,449.345617372135,out_of_pocket_expenditure_per_capita_ppp
Caribbean small states,CSS,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2017,417.833192064361,out_of_pocket_expenditure_per_capita_ppp
Caribbean small states,CSS,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2016,412.794512634561,out_of_pocket_expenditure_per_capita_ppp
Caribbean small states,CSS,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2015,388.936834815192,out_of_pocket_expenditure_per_capita_ppp
Central Europe and the Baltics,CEB,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2019,487.688268439326,out_of_pocket_expenditure_per_capita_ppp
Central Europe and the Baltics,CEB,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2018,438.620185627928,out_of_pocket_expenditure_per_capita_ppp
Central Europe and the Baltics,CEB,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2017,436.808596171369,out_of_pocket_expenditure_per_capita_ppp
Central Europe and the Baltics,CEB,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2016,412.746775633962,out_of_pocket_expenditure_per_capita_ppp
Central Europe and the Baltics,CEB,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2015,381.774305043485,out_of_pocket_expenditure_per_capita_ppp
Early-demographic dividend,EAR,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2019,157.824608091474,out_of_pocket_expenditure_per_capita_ppp
Early-demographic dividend,EAR,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2018,155.640233848457,out_of_pocket_expenditure_per_capita_ppp
Early-demographic dividend,EAR,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2017,148.330425294274,out_of_pocket_expenditure_per_capita_ppp
Early-demographic dividend,EAR,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)",2016,160.817486364634,out_of_pocket_expenditure_per_capita_ppp
