country,iso3,indicator_code,indicator_name,year,value,unit,obs_status,decimal
Africa Eastern and Southern,AFE,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2019,217.181340201164,,,0
Africa Eastern and Southern,AFE,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2018,224.683056807704,,,0
Africa Eastern and Southern,AFE,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2017,234.463523589668,,,0
Africa Eastern and Southern,AFE,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2016,241.803244388829,,,0
Africa Eastern and Southern,AFE,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2015,249.530602866816,,,0
Africa Western and Central,AFW,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2019,292.130371035132,,,0
Africa Western and Central,AFW,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2018,293.755215579209,,,0
Africa Western and Central,AFW,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2017,298.193957119754,,,0
Africa Western and Central,AFW,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2016,301.257810798083,,,0
Africa Western and Central,AFW,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2015,304.9465642633,,,0
Arab World,ARB,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2019,106.766027761557,,,0
Arab World,ARB,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2018,109.818472534217,,,0
Arab World,ARB,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2017,112.391779831748,,,0
Arab World,ARB,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2016,114.010725914287,,,0
Arab World,ARB,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2015,116.699815302042,,,0
Caribbean small states,CSS,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2019,124.874134872085,,,0
Caribbean small states,CSS,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2018,122.461754246608,,,0
Caribbean small states,CSS,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2017,123.212416141434,,,0
Caribbean small states,CSS,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2016,123.85772485685,,,0
Caribbean small states,CSS,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2015,125.182492955842,,,0
Central Europe and the Baltics,CEB,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2019,65.4325928099844,,,0
Central Europe and the Baltics,CEB,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2018,67.3026064404152,,,0
Central Europe and the Baltics,CEB,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2017,68.0142554262528,,,0
Central Europe and the Baltics,CEB,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2016,68.3393730063257,,,0
Central Europe and the Baltics,CEB,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2015,69.9614361937207,,,0
Early-demographic dividend,EAR,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2019,129.983351652188,,,0
Early-demographic dividend,EAR,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2018,132.443233384869,,,0
Early-demographic dividend,EAR,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2017,134.080277875672,,,0
