country,iso3,indicator_code,indicator_name,year,value,variable
Africa Eastern and Southern,AFE,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2019,217.181340201164,adult_mortality_female
Africa Eastern and Southern,AFE,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2018,224.683056807704,adult_mortality_female
Africa Eastern and Southern,AFE,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2017,234.463523589668,adult_mortality_female
Africa Eastern and Southern,AFE,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2016,241.803244388829,adult_mortality_female
Africa Eastern and Southern,AFE,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2015,249.530602866816,adult_mortality_female
Africa Western and Central,AFW,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2019,292.130371035132,adult_mortality_female
Africa Western and Central,AFW,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2018,293.755215579209,adult_mortality_female
Africa Western and Central,AFW,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2017,298.193957119754,adult_mortality_female
Africa Western and Central,AFW,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2016,301.257810798083,adult_mortality_female
Africa Western and Central,AFW,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2015,304.9465642633,adult_mortality_female
Arab World,ARB,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2019,106.766027761557,adult_mortality_female
Arab World,ARB,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2018,109.818472534217,adult_mortality_female
Arab World,ARB,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2017,112.391779831748,adult_mortality_female
Arab World,ARB,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",2016,114.010725914287,adult_mortality_female
