country,iso3,indicator_code,indicator_name,year,value,unit,obs_status,decimal
Africa Eastern and Southern,AFE,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2019,301.917613488271,,,0
Africa Eastern and Southern,AFE,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2018,309.267565659061,,,0
Africa Eastern and Southern,AFE,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2017,318.596070447426,,,0
Africa Eastern and Southern,AFE,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2016,324.589008816724,,,0
Africa Eastern and Southern,AFE,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2015,329.501632484234,,,0
Africa Western and Central,AFW,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2019,329.888601038704,,,0
Africa Western and Central,AFW,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2018,329.381800556962,,,0
Africa Western and Central,AFW,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2017,333.887280543414,,,0
Africa Western and Central,AFW,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2016,335.096762224717,,,0
Africa Western and Central,AFW,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2015,339.593407910839,,,0
Arab World,ARB,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2019,156.292734970253,,,0
Arab World,ARB,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2018,162.561556976004,,,0
Arab World,ARB,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2017,167.683247642777,,,0
Arab World,ARB,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2016,173.614270242729,,,0
Arab World,ARB,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2015,174.965647062469,,,0
Caribbean small states,CSS,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2019,211.265168775407,,,0
Caribbean small states,CSS,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2018,212.864924204488,,,0
Caribbean small states,CSS,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2017,211.071707834897,,,0
Caribbean small states,CSS,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2016,212.854329342611,,,0
Caribbean small states,CSS,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2015,214.562834542237,,,0
Central Europe and the Baltics,CEB,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2019,157.809768580936,,,0
Central Europe and the Baltics,CEB,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2018,161.650307416758,,,0
Central Europe and the Baltics,CEB,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2017,161.27652916056,,,0
Central Europe and the Baltics,CEB,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2016,164.20999450953,,,0
Central Europe and the Baltics,CEB,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2015,166.955371335911,,,0
Early-demographic dividend,EAR,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2019,193.013868396987,,,0
Early-demographic dividend,EAR,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2018,196.659075838351,,,0
Early-demographic dividend,EAR,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2017,199.382752350209,,,0
Early-demographic dividend,EAR,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2016,202.904385147684,,,0
Early-demographic dividend,EAR,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2015,205.91383403001,,,0
East Asia & Pacific,EAS,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2019,134.097746035326,,,0
East Asia & Pacific,EAS,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2018,135.886346367624,,,0
East Asia & Pacific,EAS,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2017,139.732297389491,,,0
East Asia & Pacific,EAS,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2016,139.398337350551,,,0
East Asia & Pacific,EAS,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2015,140.654528927401,,,0
East Asia & Pacific (excluding high income),EAP,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2019,141.01427094546,,,0
East Asia & Pacific (excluding high income),EAP,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2018,142.893992821898,,,0
East Asia & Pacific (excluding high income),EAP,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2017,146.988394382262,,,0
East Asia & Pacific (excluding high income),EAP,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2016,146.368874709447,,,0
East Asia & Pacific (excluding high income),EAP,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2015,147.626225878312,,,0
East Asia & Pacific (IDA & IBRD countries),TEA,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2019,140.576895577958,,,0
East Asia & Pacific (IDA & IBRD countries),TEA,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2018,142.577409456073,,,0
East Asia & Pacific (IDA & IBRD countries),TEA,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2017,146.757240030981,,,0
East Asia & Pacific (IDA & IBRD countries),TEA,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2016,146.167684068679,,,0
East Asia & Pacific (IDA & IBRD countries),TEA,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2015,147.438974423052,,,0
Euro area,EMU,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2019,81.3894593263426,,,0
Euro area,EMU,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2018,84.1542685828639,,,0
Euro area,EMU,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2017,85.3000537056314,,,0
Euro area,EMU,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2016,87.1840482862649,,,0
Euro area,EMU,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2015,90.1495962503396,,,0
Europe & Central Asia,ECS,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2019,146.058255142389,,,0
Europe & Central Asia,ECS,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2018,149.354390484787,,,0
Europe & Central Asia,ECS,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2017,150.293146883224,,,0
Europe & Central Asia,ECS,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2016,156.501365250386,,,0
Europe & Central Asia,ECS,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2015,161.673679942508,,,0
Europe & Central Asia (excluding high income),ECA,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2019,173.820896917865,,,0
Europe & Central Asia (excluding high income),ECA,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2018,179.244160942701,,,0
Europe & Central Asia (excluding high income),ECA,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2017,181.315403647229,,,0
Europe & Central Asia (excluding high income),ECA,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2016,186.85407594858,,,0
Europe & Central Asia (excluding high income),ECA,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2015,192.080782478965,,,0
Europe & Central Asia (IDA & IBRD countries),TEC,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2019,209.293845705377,,,0
Europe & Central Asia (IDA & IBRD countries),TEC,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",2018,211.752740714819,,,0
