country,iso3,indicator_code,indicator_name,year,value,unit,obs_status,decimal
Africa Eastern and Southern,AFE,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2019,63.8572612837043,,,0
Africa Eastern and Southern,AFE,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2018,63.3306913582336,,,0
Africa Eastern and Southern,AFE,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2017,62.5912750961501,,,0
Africa Eastern and Southern,AFE,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2016,62.1679813169199,,,0
Africa Eastern and Southern,AFE,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2015,61.713030523495,,,0
Africa Western and Central,AFW,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2019,57.149956341607,,,0
Africa Western and Central,AFW,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2018,57.0371042874016,,,0
Africa Western and Central,AFW,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2017,56.6266215613676,,,0
Africa Western and Central,AFW,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2016,56.3925982370859,,,0
Africa Western and Central,AFW,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2015,56.0385189224052,,,0
Arab World,ARB,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2019,71.8398932674972,,,0
Arab World,ARB,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2018,71.4312997859137,,,0
Arab World,ARB,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2017,71.1128560080646,,,0
Arab World,ARB,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2016,70.8964881164428,,,0
Arab World,ARB,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2015,70.6580123695192,,,0
Caribbean small states,CSS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2019,72.1292604830284,,,0
Caribbean small states,CSS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2018,72.2210854022703,,,0
Caribbean small states,CSS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2017,72.1731041595093,,,0
Caribbean small states,CSS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2016,72.0516361154512,,,0
Caribbean small states,CSS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2015,71.8641021665476,,,0
Central Europe and the Baltics,CEB,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2019,77.2659141936307,,,0
Central Europe and the Baltics,CEB,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2018,76.9764380835075,,,0
Central Europe and the Baltics,CEB,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2017,76.929788715597,,,0
Central Europe and the Baltics,CEB,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2016,76.9703062304413,,,0
Central Europe and the Baltics,CEB,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2015,76.5755119772504,,,0
Early-demographic dividend,EAR,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2019,70.8424064605001,,,0
Early-demographic dividend,EAR,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2018,70.5486659921504,,,0
Early-demographic dividend,EAR,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2017,70.2729949393554,,,0
Early-demographic dividend,EAR,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2016,69.9484837084835,,,0
Early-demographic dividend,EAR,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2015,69.6305484421664,,,0
East Asia & Pacific,EAS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2019,76.5862412994962,,,0
East Asia & Pacific,EAS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2018,76.3914229383171,,,0
East Asia & Pacific,EAS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2017,76.0789923585537,,,0
East Asia & Pacific,EAS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2016,75.9870166732102,,,0
East Asia & Pacific,EAS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2015,75.7926010192992,,,0
East Asia & Pacific (excluding high income),EAP,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2019,75.7689690321509,,,0
East Asia & Pacific (excluding high income),EAP,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2018,75.57828618156,,,0
East Asia & Pacific (excluding high income),EAP,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2017,75.2396714880306,,,0
East Asia & Pacific (excluding high income),EAP,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2016,75.1559117663434,,,0
East Asia & Pacific (excluding high income),EAP,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2015,74.9511243848739,,,0
East Asia & Pacific (IDA & IBRD countries),TEA,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2019,75.8042877234534,,,0
East Asia & Pacific (IDA & IBRD countries),TEA,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2018,75.6101241544348,,,0
