country,iso3,indicator_code,indicator_name,year,value,unit,obs_status,decimal
Africa Eastern and Southern,AFE,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,3.15714194166587,,,0
Africa Eastern and Southern,AFE,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,3.11392234821198,,,0
Africa Eastern and Southern,AFE,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,3.07482831431294,,,0
Africa Eastern and Southern,AFE,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,3.04497679911034,,,0
Africa Eastern and Southern,AFE,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,3.0209800627081,,,0
Africa Western and Central,AFW,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,2.91018496114195,,,0
Africa Western and Central,AFW,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,2.9026878912076,,,0
Africa Western and Central,AFW,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,2.90033985448859,,,0
Africa Western and Central,AFW,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,2.90320940127754,,,0
Africa Western and Central,AFW,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,2.91026540802581,,,0
Arab World,ARB,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,4.18635530015928,,,0
Arab World,ARB,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,4.08181680168791,,,0
Arab World,ARB,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,3.98006156404198,,,0
Arab World,ARB,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,3.89446274838379,,,0
Arab World,ARB,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,3.83059579742831,,,0
Caribbean small states,CSS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,8.58725607336797,,,0
Caribbean small states,CSS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,8.31958057328657,,,0
Caribbean small states,CSS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,8.10305187983601,,,0
Caribbean small states,CSS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,7.83674531685472,,,0
Caribbean small states,CSS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,7.58577792619511,,,0
Central Europe and the Baltics,CEB,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,18.722358234302,,,0
Central Europe and the Baltics,CEB,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,18.2800559799574,,,0
Central Europe and the Baltics,CEB,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,17.8458198355238,,,0
Central Europe and the Baltics,CEB,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,17.4043072940577,,,0
Central Europe and the Baltics,CEB,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,16.9582839213529,,,0
Early-demographic dividend,EAR,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,5.864005177427,,,0
Early-demographic dividend,EAR,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,5.69913615423204,,,0
Early-demographic dividend,EAR,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,5.54475878388619,,,0
Early-demographic dividend,EAR,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,5.40309482717696,,,0
Early-demographic dividend,EAR,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,5.27558314448739,,,0
East Asia & Pacific,EAS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,11.5700348569336,,,0
East Asia & Pacific,EAS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,11.1521030937395,,,0
East Asia & Pacific,EAS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,10.7446559848988,,,0
East Asia & Pacific,EAS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,10.3683064663002,,,0
East Asia & Pacific,EAS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,10.0220854398612,,,0
East Asia & Pacific (excluding high income),EAP,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,10.3428213003312,,,0
East Asia & Pacific (excluding high income),EAP,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,9.91773427622491,,,0
East Asia & Pacific (excluding high income),EAP,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,9.50627733870643,,,0
East Asia & Pacific (excluding high income),EAP,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,9.13242851633735,,,0
East Asia & Pacific (excluding high income),EAP,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,8.79721135321095,,,0
East Asia & Pacific (IDA & IBRD countries),TEA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,10.3355012946524,,,0
East Asia & Pacific (IDA & IBRD countries),TEA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,9.90614100950201,,,0
East Asia & Pacific (IDA & IBRD countries),TEA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,9.48910208381052,,,0
East Asia & Pacific (IDA & IBRD countries),TEA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,9.10908567515979,,,0
East Asia & Pacific (IDA & IBRD countries),TEA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,8.7700911797787,,,0
Euro area,EMU,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,20.81996774247,,,0
Euro area,EMU,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,20.5566498705035,,,0
Euro area,EMU,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,20.2973714497022,,,0
Euro area,EMU,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,20.0313612374497,,,0
Euro area,EMU,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,19.768656293341,,,0
Europe & Central Asia,ECS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,16.5823298507429,,,0
Europe & Central Asia,ECS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,16.2973766509372,,,0
Europe & Central Asia,ECS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,16.0327107526495,,,0
Europe & Central Asia,ECS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,15.7749113912591,,,0
Europe & Central Asia,ECS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,15.5288814614256,,,0
Europe & Central Asia (excluding high income),ECA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,10.066107035901,,,0
Europe & Central Asia (excluding high income),ECA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,9.82005532586501,,,0
Europe & Central Asia (excluding high income),ECA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,9.61678050997266,,,0
Europe & Central Asia (excluding high income),ECA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,9.4228237958442,,,0
Europe & Central Asia (excluding high income),ECA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,9.25622880235829,,,0
Europe & Central Asia (IDA & IBRD countries),TEC,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,12.8719799323058,,,0
Europe & Central Asia (IDA & IBRD countries),TEC,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,12.5512517354736,,,0
Europe & Central Asia (IDA & IBRD countries),TEC,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,12.2663261403509,,,0
Europe & Central Asia (IDA & IBRD countries),TEC,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,11.9914871798939,,,0
Europe & Central Asia (IDA & IBRD countries),TEC,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,11.7401261839188,,,0
European Union,EUU,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,20.3750307956607,,,0
European Union,EUU,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,20.0780889113611,,,0
European Union,EUU,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,19.7868737552614,,,0
European Union,EUU,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,19.4904059703204,,,0
European Union,EUU,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,19.1927508562703,,,0
Fragile and conflict affected situations,FCS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,3.96443201279837,,,0
Fragile and conflict affected situations,FCS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,3.93217274703926,,,0
Fragile and conflict affected situations,FCS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,3.9009057724467,,,0
Fragile and conflict affected situations,FCS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,3.87083841577833,,,0
Fragile and conflict affected situations,FCS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,3.84650486440212,,,0
