country,iso3,indicator_code,indicator_name,year,value,variable
Africa Eastern and Southern,AFE,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,3.15714194166587,age65_share
Africa Eastern and Southern,AFE,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,3.11392234821198,age65_share
Africa Eastern and Southern,AFE,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,3.07482831431294,age65_share
Africa Eastern and Southern,AFE,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,3.04497679911034,age65_share
Africa Eastern and Southern,AFE,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,3.0209800627081,age65_share
Africa Western and Central,AFW,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,2.91018496114195,age65_share
Africa Western and Central,AFW,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,2.9026878912076,age65_share
Africa Western and Central,AFW,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,2.90033985448859,age65_share
Africa Western and Central,AFW,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,2.90320940127754,age65_share
Africa Western and Central,AFW,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,2.91026540802581,age65_share
Arab World,ARB,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,4.18635530015928,age65_share
Arab World,ARB,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,4.08181680168791,age65_share
Arab World,ARB,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,3.98006156404198,age65_share
Arab World,ARB,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,3.89446274838379,age65_share
Arab World,ARB,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,3.83059579742831,age65_share
Caribbean small states,CSS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,8.58725607336797,age65_share
Caribbean small states,CSS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,8.31958057328657,age65_share
Caribbean small states,CSS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,8.10305187983601,age65_share
Caribbean small states,CSS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,7.83674531685472,age65_share
Caribbean small states,CSS,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,7.58577792619511,age65_share
Central Europe and the Baltics,CEB,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,18.722358234302,age65_share
Central Europe and the Baltics,CEB,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,18.2800559799574,age65_share
