country,iso3,indicator_code,indicator_name,year,value,variable
Africa Eastern and Southern,AFE,SP.POP.TOTL,"Population, total",2019,675950189.0,population_total
Africa Eastern and Southern,AFE,SP.POP.TOTL,"Population, total",2018,657801085.0,population_total
Africa Eastern and Southern,AFE,SP.POP.TOTL,"Population, total",2017,640058741.0,population_total
Africa Eastern and Southern,AFE,SP.POP.TOTL,"Population, total",2016,623369401.0,population_total
Africa Eastern and Southern,AFE,SP.POP.TOTL,"Population, total",2015,607123269.0,population_total
Africa Western and Central,AFW,SP.POP.TOTL,"Population, total",2019,463365429.0,population_total
Africa Western and Central,AFW,SP.POP.TOTL,"Population, total",2018,452195915.0,population_total
Africa Western and Central,AFW,SP.POP.TOTL,"Population, total",2017,440882906.0,population_total
Africa Western and Central,AFW,SP.POP.TOTL,"Population, total",2016,429454743.0,population_total
Africa Western and Central,AFW,SP.POP.TOTL,"Population, total",2015,418127845.0,population_total
Arab World,ARB,SP.POP.TOTL,"Population, total",2019,444281315.0,population_total
Arab World,ARB,SP.POP.TOTL,"Population, total",2018,435998060.0,population_total
Arab World,ARB,SP.POP.TOTL,"Population, total",2017,428315886.0,population_total
Arab World,ARB,SP.POP.TOTL,"Population, total",2016,419808341.0,population_total
Arab World,ARB,SP.POP.TOTL,"Population, total",2015,410190679.0,population_total
Caribbean small states,CSS,SP.POP.TOTL,"Population, total",2019,4443134.0,population_total
Caribbean small states,CSS,SP.POP.TOTL,"Population, total",2018,4407658.0,population_total
Caribbean small states,CSS,SP.POP.TOTL,"Population, total",2017,4366140.0,population_total
Caribbean small states,CSS,SP.POP.TOTL,"Population, total",2016,4341333.0,population_total
Caribbean small states,CSS,SP.POP.TOTL,"Population, total",2015,4314191.0,population_total
Central Europe and the Baltics,CEB,SP.POP.TOTL,"Population, total",2019,101864274.0,population_total
Central Europe and the Baltics,CEB,SP.POP.TOTL,"Population, total",2018,102074201.0,population_total
Central Europe and the Baltics,CEB,SP.POP.TOTL,"Population, total",2017,102337501.0,population_total
Central Europe and the Baltics,CEB,SP.POP.TOTL,"Population, total",2016,102647939.0,population_total
Central Europe and the Baltics,CEB,SP.POP.TOTL,"Population, total",2015,102973167.0,population_total
Early-demographic dividend,EAR,SP.POP.TOTL,"Population, total",2019,3355014793.0,population_total
Early-demographic dividend,EAR,SP.POP.TOTL,"Population, total",2018,3314245247.0,population_total
Early-demographic dividend,EAR,SP.POP.TOTL,"Population, total",2017,3274060446.0,population_total
Early-demographic dividend,EAR,SP.POP.TOTL,"Population, total",2016,3233033717.0,population_total
Early-demographic dividend,EAR,SP.POP.TOTL,"Population, total",2015,3190318707.0,population_total
East Asia & Pacific,EAS,SP.POP.TOTL,"Population, total",2019,2359762190.0,population_total
East Asia & Pacific,EAS,SP.POP.TOTL,"Population, total",2018,2347576325.0,population_total
East Asia & Pacific,EAS,SP.POP.TOTL,"Population, total",2017,2333475520.0,population_total
East Asia & Pacific,EAS,SP.POP.TOTL,"Population, total",2016,2317076058.0,population_total
East Asia & Pacific,EAS,SP.POP.TOTL,"Population, total",2015,2300844269.0,population_total
East Asia & Pacific (excluding high income),EAP,SP.POP.TOTL,"Population, total",2019,2112289891.0,population_total
East Asia & Pacific (excluding high income),EAP,SP.POP.TOTL,"Population, total",2018,2100698838.0,population_total
East Asia & Pacific (excluding high income),EAP,SP.POP.TOTL,"Population, total",2017,2087238522.0,population_total
East Asia & Pacific (excluding high income),EAP,SP.POP.TOTL,"Population, total",2016,2071486140.0,population_total
East Asia & Pacific (excluding high income),EAP,SP.POP.TOTL,"Population, total",2015,2056050896.0,population_total
East Asia & Pacific (IDA & IBRD countries),TEA,SP.POP.TOTL,"Population, total",2019,2086281644.0,population_total
East Asia & Pacific (IDA & IBRD countries),TEA,SP.POP.TOTL,"Population, total",2018,2074796982.0,population_total
East Asia & Pacific (IDA & IBRD countries),TEA,SP.POP.TOTL,"Population, total",2017,2061449949.0,population_total
East Asia & Pacific (IDA & IBRD countries),TEA,SP.POP.TOTL,"Population, total",2016,2045816761.0,population_total
East Asia & Pacific (IDA & IBRD countries),TEA,SP.POP.TOTL,"Population, total",2015,2030504270.0,population_total
Euro area,EMU,SP.POP.TOTL,"Population, total",2019,346496601.0,population_total
Euro area,EMU,SP.POP.TOTL,"Population, total",2018,345864630.0,population_total
Euro area,EMU,SP.POP.TOTL,"Population, total",2017,344810179.0,population_total
Euro area,EMU,SP.POP.TOTL,"Population, total",2016,344132977.0,population_total
Euro area,EMU,SP.POP.TOTL,"Population, total",2015,343180482.0,population_total
Europe & Central Asia,ECS,SP.POP.TOTL,"Population, total",2019,921932163.0,population_total
Europe & Central Asia,ECS,SP.POP.TOTL,"Population, total",2018,918689254.0,population_total
Europe & Central Asia,ECS,SP.POP.TOTL,"Population, total",2017,915065824.0,population_total
Europe & Central Asia,ECS,SP.POP.TOTL,"Population, total",2016,911579016.0,population_total
Europe & Central Asia,ECS,SP.POP.TOTL,"Population, total",2015,907527486.0,population_total
Europe & Central Asia (excluding high income),ECA,SP.POP.TOTL,"Population, total",2019,248576676.0,population_total
Europe & Central Asia (excluding high income),ECA,SP.POP.TOTL,"Population, total",2018,246400484.0,population_total
Europe & Central Asia (excluding high income),ECA,SP.POP.TOTL,"Population, total",2017,244308649.0,population_total
Europe & Central Asia (excluding high income),ECA,SP.POP.TOTL,"Population, total",2016,242224182.0,population_total
Europe & Central Asia (excluding high income),ECA,SP.POP.TOTL,"Population, total",2015,240083379.0,population_total
Europe & Central Asia (IDA & IBRD countries),TEC,SP.POP.TOTL,"Population, total",2019,461933206.0,population_total
Europe & Central Asia (IDA & IBRD countries),TEC,SP.POP.TOTL,"Population, total",2018,459946883.0,population_total
Europe & Central Asia (IDA & IBRD countries),TEC,SP.POP.TOTL,"Population, total",2017,458010325.0,population_total
Europe & Central Asia (IDA & IBRD countries),TEC,SP.POP.TOTL,"Population, total",2016,455913002.0,population_total
Europe & Central Asia (IDA & IBRD countries),TEC,SP.POP.TOTL,"Population, total",2015,453662073.0,population_total
European Union,EUU,SP.POP.TOTL,"Population, total",2019,446910453.0,population_total
European Union,EUU,SP.POP.TOTL,"Population, total",2018,446329890.0,population_total
European Union,EUU,SP.POP.TOTL,"Population, total",2017,445321060.0,population_total
European Union,EUU,SP.POP.TOTL,"Population, total",2016,444676652.0,population_total
European Union,EUU,SP.POP.TOTL,"Population, total",2015,443793218.0,population_total
Fragile and conflict affected situations,FCS,SP.POP.TOTL,"Population, total",2019,973035228.0,population_total
Fragile and conflict affected situations,FCS,SP.POP.TOTL,"Population, total",2018,951851595.0,population_total
Fragile and conflict affected situations,FCS,SP.POP.TOTL,"Population, total",2017,931222867.0,population_total
Fragile and conflict affected situations,FCS,SP.POP.TOTL,"Population, total",2016,910836458.0,population_total
Fragile and conflict affected situations,FCS,SP.POP.TOTL,"Population, total",2015,890869511.0,population_total
Heavily indebted poor countries (HIPC),HPC,SP.POP.TOTL,"Population, total",2019,824649053.0,population_total
Heavily indebted poor countries (HIPC),HPC,SP.POP.TOTL,"Population, total",2018,802020674.0,population_total
Heavily indebted poor countries (HIPC),HPC,SP.POP.TOTL,"Population, total",2017,779389964.0,population_total
Heavily indebted poor countries (HIPC),HPC,SP.POP.TOTL,"Population, total",2016,756895035.0,population_total
Heavily indebted poor countries (HIPC),HPC,SP.POP.TOTL,"Population, total",2015,735429414.0,population_total
High income,,SP.POP.TOTL,"Population, total",2019,1389770301.0,population_total
High income,,SP.POP.TOTL,"Population, total",2018,1385103279.0,population_total
High income,,SP.POP.TOTL,"Population, total",2017,1380319892.0,population_total
High income,,SP.POP.TOTL,"Population, total",2016,1374284415.0,population_total
High income,,SP.POP.TOTL,"Population, total",2015,1366013614.0,population_total
IBRD only,IBD,SP.POP.TOTL,"Population, total",2019,4845075024.0,population_total
IBRD only,IBD,SP.POP.TOTL,"Population, total",2018,4806981820.0,population_total
IBRD only,IBD,SP.POP.TOTL,"Population, total",2017,4765773411.0,population_total
IBRD only,IBD,SP.POP.TOTL,"Population, total",2016,4721566970.0,population_total
IBRD only,IBD,SP.POP.TOTL,"Population, total",2015,4676773551.0,population_total
IDA & IBRD total,IBT,SP.POP.TOTL,"Population, total",2019,6594216452.0,population_total
IDA & IBRD total,IBT,SP.POP.TOTL,"Population, total",2018,6518058354.0,population_total
IDA & IBRD total,IBT,SP.POP.TOTL,"Population, total",2017,6440011821.0,population_total
IDA & IBRD total,IBT,SP.POP.TOTL,"Population, total",2016,6360153661.0,population_total
IDA & IBRD total,IBT,SP.POP.TOTL,"Population, total",2015,6280961830.0,population_total
IDA blend,IDB,SP.POP.TOTL,"Population, total",2019,614017319.0,population_total
IDA blend,IDB,SP.POP.TOTL,"Population, total",2018,601951913.0,population_total
IDA blend,IDB,SP.POP.TOTL,"Population, total",2017,590024074.0,population_total
IDA blend,IDB,SP.POP.TOTL,"Population, total",2016,578463670.0,population_total
IDA blend,IDB,SP.POP.TOTL,"Population, total",2015,567234056.0,population_total
IDA only,IDX,SP.POP.TOTL,"Population, total",2019,1135124109.0,population_total
IDA only,IDX,SP.POP.TOTL,"Population, total",2018,1109124621.0,population_total
IDA only,IDX,SP.POP.TOTL,"Population, total",2017,1084214336.0,population_total
IDA only,IDX,SP.POP.TOTL,"Population, total",2016,1060123021.0,population_total
IDA only,IDX,SP.POP.TOTL,"Population, total",2015,1036954223.0,population_total
IDA total,IDA,SP.POP.TOTL,"Population, total",2019,1749141428.0,population_total
IDA total,IDA,SP.POP.TOTL,"Population, total",2018,1711076534.0,population_total
IDA total,IDA,SP.POP.TOTL,"Population, total",2017,1674238410.0,population_total
IDA total,IDA,SP.POP.TOTL,"Population, total",2016,1638586691.0,population_total
IDA total,IDA,SP.POP.TOTL,"Population, total",2015,1604188279.0,population_total
Late-demographic dividend,LTE,SP.POP.TOTL,"Population, total",2019,2308878047.0,population_total
Late-demographic dividend,LTE,SP.POP.TOTL,"Population, total",2018,2298394042.0,population_total
Late-demographic dividend,LTE,SP.POP.TOTL,"Population, total",2017,2285870134.0,population_total
Late-demographic dividend,LTE,SP.POP.TOTL,"Population, total",2016,2270841806.0,population_total
Late-demographic dividend,LTE,SP.POP.TOTL,"Population, total",2015,2256126712.0,population_total
Latin America & Caribbean,LCN,SP.POP.TOTL,"Population, total",2019,640962372.0,population_total
Latin America & Caribbean,LCN,SP.POP.TOTL,"Population, total",2018,635778081.0,population_total
Latin America & Caribbean,LCN,SP.POP.TOTL,"Population, total",2017,630414986.0,population_total
Latin America & Caribbean,LCN,SP.POP.TOTL,"Population, total",2016,624737786.0,population_total
Latin America & Caribbean,LCN,SP.POP.TOTL,"Population, total",2015,618868462.0,population_total
Latin America & Caribbean (excluding high income),LAC,SP.POP.TOTL,"Population, total",2019,573311679.0,population_total
Latin America & Caribbean (excluding high income),LAC,SP.POP.TOTL,"Population, total",2018,567711159.0,population_total
Latin America & Caribbean (excluding high income),LAC,SP.POP.TOTL,"Population, total",2017,561957179.0,population_total
Latin America & Caribbean (excluding high income),LAC,SP.POP.TOTL,"Population, total",2016,556440282.0,population_total
Latin America & Caribbean (excluding high income),LAC,SP.POP.TOTL,"Population, total",2015,551075145.0,population_total
Latin America & the Caribbean (IDA & IBRD countries),TLA,SP.POP.TOTL,"Population, total",2019,625467307.0,population_total
Latin America & the Caribbean (IDA & IBRD countries),TLA,SP.POP.TOTL,"Population, total",2018,620274430.0,population_total
Latin America & the Caribbean (IDA & IBRD countries),TLA,SP.POP.TOTL,"Population, total",2017,614776664.0,population_total
