country,iso3,indicator_code,indicator_name,year,value,variable
Africa Eastern and Southern,AFE,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2019,36.0973307017698,urban_population_share
Africa Eastern and Southern,AFE,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2018,35.714718464725,urban_population_share
Africa Eastern and Southern,AFE,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2017,35.2829868326458,urban_population_share
Africa Eastern and Southern,AFE,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2016,34.8812106693274,urban_population_share
Africa Eastern and Southern,AFE,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2015,34.4906809355644,urban_population_share
Africa Western and Central,AFW,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2019,49.8900751494997,urban_population_share
Africa Western and Central,AFW,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2018,49.3179475986921,urban_population_share
Africa Western and Central,AFW,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2017,48.7474138775856,urban_population_share
Africa Western and Central,AFW,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2016,48.1739704033824,urban_population_share
Africa Western and Central,AFW,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2015,47.6023892615338,urban_population_share
Arab World,ARB,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2019,58.8962879377102,urban_population_share
Arab World,ARB,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2018,58.7847025324078,urban_population_share
Arab World,ARB,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2017,58.6808941601595,urban_population_share
Arab World,ARB,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2016,58.5622937950483,urban_population_share
Arab World,ARB,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2015,58.351712270484,urban_population_share
Caribbean small states,CSS,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2019,50.0613448862219,urban_population_share
Caribbean small states,CSS,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2018,50.095481721741,urban_population_share
Caribbean small states,CSS,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2017,50.1782963503998,urban_population_share
Caribbean small states,CSS,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2016,50.1731298812102,urban_population_share
Caribbean small states,CSS,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2015,50.1679113039414,urban_population_share
Central Europe and the Baltics,CEB,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2019,61.7449526458334,urban_population_share
Central Europe and the Baltics,CEB,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2018,61.8111043373163,urban_population_share
Central Europe and the Baltics,CEB,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2017,61.871575661727,urban_population_share
Central Europe and the Baltics,CEB,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2016,61.902526100399,urban_population_share
Central Europe and the Baltics,CEB,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2015,61.9708877552037,urban_population_share
Early-demographic dividend,EAR,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2019,45.7649596058874,urban_population_share
Early-demographic dividend,EAR,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2018,45.4349772935468,urban_population_share
Early-demographic dividend,EAR,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2017,45.1249360555588,urban_population_share
Early-demographic dividend,EAR,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2016,44.8097968515725,urban_population_share
Early-demographic dividend,EAR,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2015,44.4503233893376,urban_population_share
East Asia & Pacific,EAS,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2019,61.7435560127223,urban_population_share
East Asia & Pacific,EAS,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2018,60.8515259788814,urban_population_share
East Asia & Pacific,EAS,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2017,59.8037083838459,urban_population_share
East Asia & Pacific,EAS,SP.URB.TOTL.IN.ZS,Urban population (% of total population),2016,58.7921942331022,urban_population_share
