iso3,country,profile_label,profile_stability_score,profile_stability_probability,conversion_efficiency_zscore,conversion_efficiency_ci_low,conversion_efficiency_ci_high,observed_shock_burden,predicted_shock_burden,expected_shock_burden,realized_resilience_gap,potential_capacity_score,capacity_block_score,preparedness_block_score,vulnerability_block_score,equity_access_block_score,main_bottleneck_block,bottleneck_probability,missingness_rate,validation_outcomes_available,country_label_category,label_stability_rate,diagnostic_note,n,coverage_count,missing_count,missing_rate,source_provenance,asset_source_files
BLR,Belarus,capacity under-realizers,1.0,1.0,-2.934826273506603,-3.2996350957636915,-2.277596488476511,9591.885,4875.089768000801,4875.089768000801,4716.795231999199,0.751985191892442,0.6506495746089037,0.9549718293872288,0.6122043999499703,0.7901149636236653,vulnerability,0.884,0.0769230769230769,OWID excess mortality; life expectancy loss,stable under-realizer,1.0,"Diagnostic profile: capacity under-realizers; weakest observed block is vulnerability; main bottleneck signal is vulnerability. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv,results/tables/stage4_stable_case_audit.csv
SVK,Slovak Republic,capacity under-realizers,1.0,1.0,-1.403125347198939,-1.5613794312476543,-1.1721760471147882,5343.659,3088.583458626464,3088.583458626464,2255.0755413735355,0.7754658787366955,0.5938029528903954,0.962316136506726,0.7173988313513748,0.8283455941982859,vulnerability,0.999,0.0384615384615384,OWID excess mortality; life expectancy loss,stable under-realizer,1.0,"Diagnostic profile: capacity under-realizers; weakest observed block is capacity; main bottleneck signal is vulnerability. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv,results/tables/stage4_stable_case_audit.csv
USA,United States,capacity under-realizers,1.0,1.0,-1.2162711675864122,-1.5371907593020873,-0.7992533555210203,3758.817,1804.049831708605,1804.049831708605,1954.767168291395,0.8057357451635478,0.8550311559518963,0.9138985755857656,0.7324631956840566,0.721550053432473,equity_access,0.613,0.0769230769230769,OWID excess mortality; life expectancy loss,stable under-realizer,1.0,"Diagnostic profile: capacity under-realizers; weakest observed block is equity/access; main bottleneck signal is equity_access. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv,results/tables/stage4_stable_case_audit.csv
HRV,Croatia,capacity under-realizers,1.0,1.0,-0.9834110417905212,-1.1934538181288286,-0.6769519211148534,5616.296,4035.7770592755655,4035.7770592755655,1580.5189407244347,0.7692249571651889,0.5929113746534783,0.9152107996414532,0.7116733195238027,0.8571043348420216,preparedness,1.0,0.0384615384615384,OWID excess mortality; life expectancy loss,stable under-realizer,1.0,"Diagnostic profile: capacity under-realizers; weakest observed block is capacity; main bottleneck signal is preparedness. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv,results/tables/stage4_stable_case_audit.csv
ROU,Romania,capacity under-realizers,1.0,1.0,-0.9351231409706718,-1.1525766473945085,-0.6040423809643908,5864.2363,4361.324726500807,4361.324726500807,1502.9115734991929,0.7028341438153161,0.5402628949409131,0.814117375244629,0.6551166902891886,0.8018396147865335,preparedness,0.999,0.0384615384615384,OWID excess mortality; life expectancy loss,stable under-realizer,1.0,"Diagnostic profile: capacity under-realizers; weakest observed block is capacity; main bottleneck signal is preparedness. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv,results/tables/stage4_stable_case_audit.csv
DOM,Dominican Republic,adaptive over-performers,1.0,1.0,1.5073829326411707,1.0742571435283093,1.842400203459632,907.20123,3329.837518104242,3329.837518104242,-2422.636288104242,0.5691724008936305,0.1833018379392382,0.7568322344837783,0.6245700681687736,0.7119854629827318,capacity,1.0,0.0,OWID excess mortality; life expectancy loss,stable over-performer,1.0,"Diagnostic profile: adaptive over-performers; weakest observed block is capacity; main bottleneck signal is capacity. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv,results/tables/stage4_stable_case_audit.csv
SUR,Suriname,adaptive over-performers,0.961,0.961,0.4706846741780459,-0.05314777624638,1.1324809775744389,3481.618,4238.093177757436,4238.093177757436,-756.4751777574361,0.5820331620334881,0.3039261044589958,0.6108436046278103,0.6270112389349571,0.7863517001121891,preparedness,1.0,0.0,OWID excess mortality; life expectancy loss,stable over-performer,1.0,"Diagnostic profile: adaptive over-performers; weakest observed block is capacity; main bottleneck signal is preparedness. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv,results/tables/stage4_stable_case_audit.csv
BHS,"Bahamas, The",adaptive over-performers,0.943,0.943,0.3320929275655985,-0.0409075326006693,0.813201011253992,2630.4177,3164.150940520052,3164.150940520052,-533.7332405200523,0.6272271607997593,0.3548022405378866,0.8258192258773593,0.6158999980284617,0.7123871787553294,capacity,1.0,0.0384615384615384,OWID excess mortality; life expectancy loss,stable over-performer,1.0,"Diagnostic profile: adaptive over-performers; weakest observed block is capacity; main bottleneck signal is capacity. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv,results/tables/stage4_stable_case_audit.csv
DNK,Denmark,effective converters,1.0,1.0,1.4369633295580748,1.057470389193827,1.6808990792381993,674.96173,2984.4210130255883,2984.4210130255883,-2309.4592830255883,0.8339455876296181,0.8524434355787608,0.95256787051843,0.728529526762817,0.8022415176584646,vulnerability,0.977,0.0384615384615384,OWID excess mortality; life expectancy loss,stable effective converter,1.0,"Diagnostic profile: effective converters; weakest observed block is vulnerability; main bottleneck signal is vulnerability. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv,results/tables/stage4_stable_case_audit.csv
JPN,Japan,effective converters,1.0,1.0,1.4027544493100577,0.7934240365525955,2.054642640556479,859.7607,3114.2401415601903,3114.2401415601903,-2254.47944156019,0.8428422797911096,0.8801047100926818,0.959470696947852,0.7014535847653254,0.8303401273585788,vulnerability,1.0,0.0769230769230769,OWID excess mortality; life expectancy loss,stable effective converter,1.0,"Diagnostic profile: effective converters; weakest observed block is vulnerability; main bottleneck signal is vulnerability. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv,results/tables/stage4_stable_case_audit.csv
LUX,Luxembourg,effective converters,1.0,1.0,1.2789940158889337,0.8008951272263288,1.566178636270684,-259.57343,1796.0006700275108,1796.0006700275108,-2055.5741000275107,0.8161753266508913,0.6792069728068933,0.9896118582899992,0.7630458643046747,0.8328366112019977,vulnerability,0.993,0.0384615384615384,OWID excess mortality; life expectancy loss,stable effective converter,1.0,"Diagnostic profile: effective converters; weakest observed block is capacity; main bottleneck signal is vulnerability. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv,results/tables/stage4_stable_case_audit.csv
