iso3,physicians_per_1000,nurses_midwives_per_1000,hospital_beds_per_1000,current_health_expenditure_per_capita_ppp,domestic_gov_health_expenditure_gdp,out_of_pocket_expenditure_share,uhc_service_coverage_index,measles_immunization_coverage,dpt_immunization_coverage,age65_share,population_density,life_expectancy,under5_mortality,adult_mortality_female,adult_mortality_male
AFG,0.04376119621248129,0.0,0.0,0.04083631666537376,0.0,0.0,0.07350565428109856,0.13825757575757583,0.1566265060240966,1.0,0.914468891879486,0.14788260544124857,0.28443752779012904,0.34404521631678564,0.20382285386518306
AGO,0.03091982597886888,0.0011294848490196407,0.043508940118722576,0.020170368195133192,0.05668509420610735,0.5612075116917028,0.09773828756058152,0.0,0.046184738955823375,0.9844783022330493,0.9677709425923352,0.12876886236368676,0.3840373499333037,0.3142521766430421,0.235450950995687
ALB,0.3585804116550289,0.41409738277182645,0.3573302229367331,0.14058735325316576,0.28300626019018804,0.21525543517277151,0.5581583198707594,0.9195075757575756,1.0,0.3768065784359694,0.841511934871726,0.8436228534644938,0.9267229879946643,0.9440011785290972,0.8744241004843806
AND,0.9358936862501376,0.366764908317597,0.7880934510697158,0.6788455808063178,0.5807736109480309,0.9004614370699755,0.7277867528271404,0.9763257575757576,0.9849397590361447,0.380253568304664,0.7357328088891489,1.0,0.9951978657180971,1.0,1.0
ARE,0.5601579351442258,0.47367770855761254,0.16300242857634964,0.5019732137951806,0.23137417483157977,0.8777028122461635,0.921647819063005,1.0,0.9899598393574296,1.0,0.7868784336778907,0.9888703108601161,0.9536238328145843,1.0,1.0
ARG,1.0,0.28794804369694516,0.6020504732880855,0.39594320230165203,0.7590387854116163,0.7220499312914067,0.877221324717286,0.7821969696969696,0.7389558232931726,0.49257048599824577,0.981879261010333,0.743883094587315,0.9082703423743886,0.8133020817906105,0.7550917663692874
ARM,0.6511899974408661,0.39127825918147646,0.5664438277375804,0.21848286535434422,0.10872688060100162,0.0,0.6873990306946687,0.9289772727272727,0.854417670682731,0.48528185263521295,0.8274747314307765,0.6923402187424419,0.8827034237438862,0.890643053784996,0.5921150661791236
ATG,0.6492249479033382,0.4706069216243404,0.46746942315651563,0.1801994351104824,0.27336924689880665,0.7059432210236882,0.9014539579967691,0.8863636363636365,0.9246987951807228,0.6367917926615182,0.6517352015531365,0.7636339624341296,0.9127167630057804,0.7976909687512319,0.7793539770094305
AUS,0.8159342668080288,1.0,0.5066970835087669,0.9148900149302522,0.8623722116973445,0.842876147546631,1.0,0.891098484848485,0.8845381526104419,0.25973243755054815,1.0,0.9998591073681002,0.9887505558025791,0.971529507437973,0.957514597960794
AUT,1.0,0.6533893369570972,1.0,1.0,0.9165243477717024,0.7911478960014492,0.921647819063005,0.9100378787878789,0.7389558232931726,0.07443842508006854,0.8245703720692794,0.9579435493779576,0.991418408181414,0.9754110834819191,0.9457731511114527
AZE,0.7217032866595989,0.48693150733282736,0.5374757093236102,0.09928572242203437,0.061279790198360926,0.0,0.574313408723748,0.5501893939393939,0.4277108433734941,0.785901909492111,0.8024088281330956,0.5829198928834759,0.751089373054691,0.8269798668469431,0.6364078815312617
BDI,0.0005301063868679861,0.02819741277376772,0.21744085713268474,0.0,0.20546155401973396,0.6676258257862826,0.2189014539579967,0.8153409090909092,0.8343373493975905,1.0,0.22370241267103805,0.09284352037479397,0.35046687416629607,0.1719515414717699,0.1984114759425319
BEL,0.7400285160677078,1.0,0.7885327355780187,0.9916121579286789,0.9899061824653316,0.792922648679758,0.9983844911147012,0.9289772727272727,0.9748995983935743,0.07820985271475658,0.35734874119226606,0.9532816608224547,0.9865273454868831,0.9473495581065574,0.9340670385314975
BEN,0.0,0.003541405620363673,0.0,0.0033031214671320353,0.0017808167774573359,0.3113387419262452,0.0,0.16666666666666663,0.392570281124498,0.9651409765316064,0.8238759301892696,0.01897952212617236,0.012316585148955138,0.13537850431402276,0.2607686093491598
BFA,7.311812232661889e-05,0.03263152321620811,0.07766041424673713,0.005714669243989191,0.2025662822756853,0.5691085312427496,0.07350565428109856,0.7395833333333334,0.7991967871485944,0.9915373699419723,0.8833760043657174,0.020279256655446543,0.0,0.242600465914768,0.23039226142857497
BGD,0.10623149197528614,0.0,0.05588074069135569,0.0068092654939848965,0.0,0.0,0.2108239095315024,0.9526515151515151,0.9748995983935743,0.8374812221618007,0.0,0.5324086411771729,0.6399288572698978,0.661853868359996,0.6419043234357683
BGR,0.9325576719189856,0.39131355558300823,1.0,0.28404902395988113,0.459120721348631,0.459429392430773,0.6873990306946687,0.862689393939394,0.8242971887550201,0.0,0.9008305557125574,0.67126848247157,0.9491774121831926,0.8086156068097748,0.6030281207128572
BHR,0.1624410485138743,0.16317526428180648,0.2073598598977415,0.3786847977756454,0.25449990834649233,0.6429775470084551,0.8287560581583198,1.0,0.9849397590361447,0.9838788528123042,0.0,0.9067321856081408,0.9456202756780792,0.9369643986525443,0.9916082418884623
BHS,0.4157039447226998,0.36141750348551965,0.35959335718782454,0.338344729621977,0.2904638059165634,0.6616224996796302,0.8852988691437804,0.7632575757575758,0.8343373493975905,0.5384382866005424,0.9421000333800503,0.6120662273275266,0.854913294797688,0.618653960833068,0.4948653417537079
BIH,0.5062790187547987,0.4914847431304379,0.2891344441705116,0.21252411830173856,0.7310951930338531,0.6450237365619331,0.5420032310177706,0.3939393939393941,0.4628514056224899,0.08913098728789709,0.8932500662240405,0.7783133171176966,0.9560693641618497,0.8944052692061059,0.7986778963337032
BLR,0.9920118451358173,0.9295130861408681,1.0,0.18902410030878794,0.43531298689393433,0.6576991057969971,0.8570274636510501,0.9763257575757576,0.9698795180722891,0.29335930862074844,0.9289046642088336,0.6344499226354428,0.9909737661182748,0.8276561782707441,0.4385047283141484
BLZ,0.23085219171571691,0.15622187318002934,0.08122784430357961,0.06828693313645715,0.343261571966709,0.739705369281993,0.6510500807754442,0.9005681818181818,0.8795180722891567,0.8979533854260969,0.9816372492861932,0.553476233547108,0.8702534459759893,0.6830662927328699,0.4987586547694001
BOL,0.2624605466798281,0.08072287030337257,0.11773974355452121,0.08582874426672242,0.5127609666379725,0.7029020841302493,0.5541195476575121,0.7395833333333334,0.613453815261044,0.8168675089124471,0.9918194529819014,0.35979879869140574,0.7695420186749669,0.5246292007282883,0.43573082458275797
BRA,0.5198972690381314,0.7282883010077124,0.28279766826745556,0.24002205066424545,0.4269234177909506,0.7128956451447244,0.9378029079159935,0.8390151515151516,0.6485943775100402,0.6474786532983302,0.96738884707987,0.6941618775948842,0.8569141840818143,0.8064851767455982,0.6232373597867485
BRB,0.5633111541695612,0.3811834883433634,0.8310796594985375,0.18215284391885508,0.2727514792048041,0.3895988432153399,0.9297253634894991,0.8200757575757577,0.8694779116465863,0.36470764688649604,0.0,0.7308687593007271,0.8967096487327703,0.7997946997287216,0.7539519090124243
BRN,0.37046210653310446,0.524883963079964,0.4306557726720951,0.2560313651090918,0.21150787027902312,1.0,0.9418416801292407,0.9621212121212123,1.0,0.8699973766935011,0.8669462123258103,0.6751075994957868,0.91293908403735,0.7527980250214417,0.7384545601950033
BTN,0.06523964464592556,0.11107777562077545,0.19981607906077012,0.051539527201972773,0.2369010290365823,0.8341281713289673,0.5702746365105007,0.9526515151515151,0.9698795180722891,0.8070067129954406,0.9756288328827298,0.5245422740261411,0.7437527790128947,0.6863125875671148,0.6930984450696721
BWA,0.07166794623380743,0.27844154621769646,0.31327454284882006,0.15854903016166078,0.4772003805274647,1.0,0.4531502423263328,0.9526515151515151,0.8995983935742972,0.9265267092447429,1.0,0.2650031280236228,0.5530013339261894,0.24681578054230238,0.23186910302125008
CAF,0.0,0.0,0.09757826244828809,0.0,0.005858259077778915,0.28106193010187813,0.0,0.0,0.0,1.0,0.9966658831996882,0.0,0.0,0.0,0.0
CAN,0.5442775929514133,0.8424192153609943,0.3147832990162144,0.9305755091595717,0.9107062656194266,0.8559785434393984,1.0,0.7774621212121211,0.7991967871485944,0.1822636288559031,1.0,0.9704519143599895,0.9729657625611384,0.9442438261110473,0.9327537815193135
