iso3,physicians_per_1000,nurses_midwives_per_1000,hospital_beds_per_1000,current_health_expenditure_per_capita_ppp,domestic_gov_health_expenditure_gdp,out_of_pocket_expenditure_share,uhc_service_coverage_index,measles_immunization_coverage,dpt_immunization_coverage,age65_share,population_density,life_expectancy,under5_mortality,adult_mortality_female,adult_mortality_male
AFG,0.0444075041557825,0.0,0.01078771689595049,0.04083631666537376,0.0,0.0,0.07350565428109856,0.13825757575757583,0.1566265060240966,1.0,0.914468891879486,0.14788260544124857,0.28443752779012904,0.34404521631678564,0.20382285386518306
AGO,0.03157481321812836,0.002938388959549593,0.060014061099821346,0.020170368195133192,0.05668509420610735,0.5612075116917028,0.09773828756058152,0.0,0.046184738955823375,0.9844783022330493,0.9677709425923352,0.12876886236368676,0.3840373499333037,0.3142521766430421,0.235450950995687
ALB,0.35901393785506847,0.41515842285319693,0.3684200729794942,0.14058735325316576,0.28300626019018804,0.21525543517277151,0.5581583198707594,0.9195075757575756,1.0,0.3768065784359694,0.841511934871726,0.8436228534644938,0.9267229879946643,0.9440011785290972,0.8744241004843806
AND,0.9359370147781456,0.3679116651223096,0.34560406589762005,0.6788455808063178,0.5807736109480309,0.9004614370699755,0.7277867528271404,0.9763257575757576,0.9849397590361447,0.380253568304664,0.7357328088891489,1.0,0.9951978657180971,1.0,1.0
ARE,0.5604552180187425,0.47463085167477603,0.17744558100785057,0.5019732137951806,0.23137417483157977,0.8777028122461635,0.921647819063005,1.0,0.9899598393574296,1.0,0.7868784336778907,0.9888703108601161,0.9536238328145843,1.0,1.0
ARG,1.0,0.2892375338672229,0.6089174533972006,0.39594320230165203,0.7590387854116163,0.7220499312914067,0.877221324717286,0.7821969696969696,0.7389558232931726,0.49257048599824577,0.981879261010333,0.743883094587315,0.9082703423743886,0.8133020817906105,0.7550917663692874
ARM,0.6514257530643193,0.3923806235444582,0.5739252328185452,0.21848286535434422,0.10872688060100162,0.0,0.6873990306946687,0.9289772727272727,0.854417670682731,0.48528185263521295,0.8274747314307765,0.6923402187424419,0.8827034237438862,0.890643053784996,0.5921150661791236
ATG,0.649462031675283,0.47156562578172073,0.47665872137957166,0.1801994351104824,0.27336924689880665,0.7059432210236882,0.9014539579967691,0.8863636363636365,0.9246987951807228,0.6367917926615182,0.6517352015531365,0.7636339624341296,0.9127167630057804,0.7976909687512319,0.7793539770094305
AUS,0.8160586741683874,1.0,0.5152094728645308,0.9148900149302522,0.8623722116973445,0.842876147546631,1.0,0.891098484848485,0.8845381526104419,0.25973243755054815,1.0,0.9998591073681002,0.9887505558025791,0.971529507437973,0.957514597960794
AUT,1.0,0.6540170313815713,1.0,1.0,0.9165243477717024,0.7911478960014492,0.921647819063005,0.9100378787878789,0.7389558232931726,0.07443842508006854,0.8245703720692794,0.9579435493779576,0.991418408181414,0.9754110834819191,0.9457731511114527
