iso3,physicians_per_1000,nurses_midwives_per_1000,hospital_beds_per_1000,current_health_expenditure_per_capita_ppp,domestic_gov_health_expenditure_gdp,out_of_pocket_expenditure_share,uhc_service_coverage_index,measles_immunization_coverage,dpt_immunization_coverage,age65_share,population_density,life_expectancy,under5_mortality,adult_mortality_female,adult_mortality_male
AFG,0.013766935322949729,0.008295218104418406,0.008111301783180142,0.008328377561793355,0.00766443237276882,0.008687541070972858,0.02399557764921329,0.033010735068656934,0.03655866352162468,0.08627541658002157,0.07270101063308716,0.045781675667896385,0.055889284118744796,0.05343257050777688,0.05135454834172844
AGO,0.012267183013286371,0.010409103991665208,0.014723518733834557,0.004741253863646367,0.016228334582462485,0.06445231436897958,0.025941165026176525,0.018273799770149375,0.030175404811499724,0.08541616906581824,0.07282119393557712,0.04464776731673651,0.059465176618773034,0.051777736098775784,0.053036238198736714
ALB,0.050534884295443894,0.06767675060419796,0.0561494562560068,0.025642816711492388,0.046919147401541544,0.03490106591264571,0.06290732518847807,0.08164262155373188,0.08530354821712424,0.057618468831331524,0.07253651024491174,0.08705593965011547,0.07894900160218576,0.08675672208903583,0.08701092405991703
AND,0.1179596918683164,0.06111299726168459,0.05308474789277318,0.11907181400909525,0.0872985877689742,0.09343140632737477,0.07652643682722074,0.0851794860253737,0.08443310384756175,0.05777615000576985,0.07229800376110732,0.10072029122049267,0.08140742769595517,0.09209903700952268,0.09759270420182985
ARE,0.07407725951937649,0.07593895466248474,0.030497241098046288,0.08837092166115182,0.03991745730194555,0.09148736314237557,0.09209113584292666,0.08665317955522446,0.08472325197074923,0.08852733675359208,0.07241332484186905,0.09567263520039611,0.07991481185330948,0.09342578326816778,0.09751588420836174
ARG,0.1428150175128084,0.05018319769879693,0.08845372099685458,0.06996659981301909,0.11147265508536125,0.07819148411681213,0.08852422565182738,0.0730951990805975,0.07021584581137437,0.06291404253399005,0.07285300479983803,0.0811389538941297,0.07828650366133233,0.07949712840954896,0.08066593355775598
ARM,0.08470895560780856,0.06451234602855674,0.08375347039337733,0.03916364968171899,0.023285583152525706,0.0,0.07328379119894868,0.08223209896567218,0.07688925264468681,0.06258062691267618,0.07250485972781728,0.07808121176972559,0.07736858482761971,0.08379298083291525,0.07200033908624592
ATG,0.08447945614405222,0.07551311831587872,0.07068836702099994,0.03251854456729038,0.04561229759907292,0.07681564789774702,0.09046981302879063,0.07957945061194083,0.08095132636931177,0.06951138858952309,0.07210860936228239,0.08231065919032828,0.07844614171936931,0.07863001960483253,0.08195597365639902
AUS,0.10394955018551814,0.15956195539340914,0.07586660921127146,0.16004358864992324,0.12548542684844263,0.08851246722096026,0.10311613097905169,0.07987418931791099,0.0786301413838118,0.05226295902875637,0.07290401996763549,0.09632453724171983,0.08117595251180157,0.0882857646573527,0.09142890868426201
AUT,0.1453715347951171,0.10086017028023775,0.1463305356311971,0.180284410468086,0.1328288543391278,0.08409383667246072,0.09209113584292666,0.08105314414179159,0.07021584581137437,0.04378675845500773,0.07249831109610398,0.0938379284673064,0.08127173534662376,0.08850136419566827,0.09080460707067883
AZE,0.09294425031887815,0.0777769034918015,0.07992953769902297,0.018473822801543614,0.01685140911482304,0.015874310734178106,0.06420438343978689,0.05865300248806009,0.052226662173749536,0.0763323713130342,0.0724483421455119,0.0715899336995621,0.07264329830972528,0.08025685180796702,0.07435542159432991
BDI,0.008717947120310815,0.014162704546877692,0.02062215853611799,0.000578738502828888,0.036403515547845225,0.0735425735509938,0.03566910191099272,0.07515837002238857,0.07572866015193683,0.08640298892321849,0.07114349838711621,0.04251652357582313,0.058259909280593866,0.04387374274721243,0.051066821282860136
BEL,0.09508446624832656,0.15180390241213867,0.1130702877167608,0.17336075227871042,0.1427799702372369,0.0842454361595139,0.09825216253664358,0.08223209896567218,0.08385280760118675,0.043959280905435466,0.07144483870915877,0.09356136545482839,0.08109613348278308,0.0869427055871903,0.09018218420693591
BEN,0.008219808749366876,0.010743573152792537,0.008190967047645858,0.001813495645936997,0.008782911198385314,0.043108508107959916,0.010376466010470613,0.03477916730447784,0.05019562531143705,0.08453159082705053,0.07249674529671331,0.03813459774767424,0.04611943496688196,0.041842317924734404,0.05438239725094137
BFA,0.008664575151995393,0.01477759754736482,0.025562281282307673,0.0022320837495527074,0.03601089542868582,0.06512721996330562,0.02399557764921329,0.07044255072686614,0.07369762328962434,0.0857390832979985,0.07263090365117225,0.03821170351555311,0.04507380568673977,0.047797889877128345,0.052767263846607224
BGD,0.021062883391667904,0.00982419084891327,0.016356656655381732,0.0024220799722722503,0.005551235809910304,0.014371143816965108,0.03502057278533831,0.08370579249552294,0.08385280760118675,0.0786918463646851,0.06801886015505802,0.06859339189689696,0.06865234685880092,0.07108503895807908,0.07464767156948031
BGR,0.11757007649961383,0.06451724069920736,0.14824250197837432,0.05054439621116427,0.07080156219312554,0.05575842092581208,0.07328379119894868,0.07810575708209007,0.07514836390556183,0.03803272546627143,0.07267025946574766,0.07683114695332502,0.0797551737952725,0.07923682129956165,0.0725805944535743
BHR,0.027627635494464807,0.03288053694877101,0.036352638036276405,0.06697094578065785,0.04305347666418235,0.07143711600463708,0.08463305089790091,0.08665317955522446,0.08443310384756175,0.08538874749155198,0.06556657113283537,0.09079985304601176,0.07962746334884292,0.08636586886976702,0.09324169353012349
BHS,0.05720638033487163,0.06037145465811205,0.05644820099775323,0.05996885658706158,0.04793044539032094,0.07302976905180654,0.08917275477748182,0.0719162442567169,0.07572866015193683,0.0650122467479212,0.07276331221046915,0.0733190179452641,0.07637084696488862,0.0686855290650275,0.06682949765091531
BIH,0.06778470445498826,0.07840831600573456,0.04714728137138091,0.03812935102398037,0.1076832986660023,0.07161190164689141,0.06161026693716924,0.04892662519104511,0.05425769903606201,0.04445886384338705,0.07265316728544623,0.08318150080401902,0.08000261278522981,0.08400195056548047,0.08298344106903491
BLR,0.1245137695774502,0.1391511787802244,0.19962659755876103,0.03405029936221977,0.06757305849300393,0.07269463249594486,0.08690290283769135,0.0851794860253737,0.08356265947799925,0.053801206811609104,0.07273355982714877,0.07464691373922085,0.08125577154082006,0.08029441707245706,0.06383276118697358
BLZ,0.03561741915128346,0.03191628683059417,0.0197025977629418,0.01309316041286668,0.055090210355585055,0.0796996127568108,0.07036541013350382,0.08046366672985128,0.0783399932606243,0.08145812131400819,0.07285245912161628,0.06984321087950875,0.0769215982651162,0.07226326884448779,0.06703650804998015
BOL,0.03930898029310014,0.021446586308867033,0.024522346263117605,0.016138007181182495,0.07807557353265912,0.07655587379021157,0.06258306062565086,0.07044255072686614,0.06296214273168693,0.07774888028746715,0.0728754175416097,0.058353443547022606,0.07330579625057873,0.06346298681947785,0.06368527062659782
BRA,0.06937518911078783,0.11124666140090396,0.04631079609449089,0.04290234680346918,0.06643537128706885,0.07740952440989826,0.09338819409423549,0.07663206355223932,0.06499317959399942,0.07000025475985198,0.07282033240211,0.07818928030331249,0.07644268409100527,0.07911848799034658,0.07365513498720762
BRB,0.0744455261007529,0.06311247022247259,0.11868668886159375,0.03285761049686883,0.045528523761217916,0.04979349095495645,0.09273966496858108,0.07545310872835873,0.0777596970142493,0.057065008041238645,0.07035533662962346,0.08036688829680666,0.0778714447104362,0.07874686993118239,0.08060532647957597
BRN,0.05192255547164486,0.08303989810890626,0.06582878588859126,0.04568118810944127,0.037223440453021124,0.10324423900476234,0.0937124586570627,0.08429526990746326,0.08530354821712424,0.08017928486322594,0.072593858422327,0.07705889966702294,0.07845412362227115,0.07613647115126945,0.07978132071630668
BTN,0.01627541783377456,0.02565600306842072,0.03535682223045496,0.01018620374467476,0.04066693933623307,0.08776521453411557,0.06388011887695969,0.08370579249552294,0.08356265947799925,0.07729780211772508,0.07283891158795772,0.0681267256154863,0.07237989551396426,0.07244358211403998,0.07736970175469658
BWA,0.017026183521411494,0.04886489973689019,0.050333891950009535,0.028760542326152834,0.0732532968034419,0.10489538259684983,0.0544764465549707,0.08370579249552294,0.07950058575337429,0.08276519659677858,0.07290085805831308,0.05272976208453683,0.06553142282417806,0.048032026701259015,0.052845788631597036
CAF,0.008477773262891416,0.008500182437914117,0.022858498936614145,0.0008305775780738028,0.009335842330016931,0.040522260909531614,0.010052201447643407,0.0020631709417910566,0.0011605924927499856,0.08699585666149971,0.07288634507593662,0.005104603417288134,0.02119195220440839,0.0035002321161815304,0.0
CAN,0.07222258362041559,0.1270735789497608,0.05053305511117382,0.16276622236538824,0.13203987965562833,0.08963167471436935,0.10733157029580535,0.07280046037462734,0.07369762328962434,0.048719179324542845,0.0729005320546532,0.09457997775900856,0.0806092374057703,0.086770199786252,0.0901123573378732
CHE,0.12101256845595854,0.22081875858621658,0.09255648211683894,0.24256648824516036,0.06388198001675562,0.081268976634476,0.09825216253664358,0.08016892802388112,0.08095132636931177,0.04492192748421323,0.07207681361249166,0.09869929164219782,0.08104824206537199,0.09029843410830016,0.09449530675686384
CHL,0.07094966217609276,0.044769691959184864,0.041212219168685074,0.06648698578979698,0.07605378741955592,0.06568061449913096,0.0898212839031362,0.07928471190597068,0.07950058575337429,0.06166550087461677,0.07281810961078884,0.09067940678115524,0.0797072823778614,0.08486085934729516,0.0863735407807795
CHN,0.06035532646548152,0.03859995960404832,0.0858645999017188,0.022660982450028844,0.04825812888161626,0.06292134547426469,0.089497019340309,0.08665317955522446,0.08530354821712424,0.06369690008976686,0.07233246259273339,0.08325961449043225,0.07898092921379317,0.08487926578168098,0.08454586510285085
CIV,0.010612651995508295,0.01187261051620771,0.004576509002299012,0.003658901586518087,0.01340841483514474,0.05753741406545115,0.03210219171989345,0.04538976071940329,0.060931105869374454,0.08593354702538435,0.07258618042622592,0.03760392863933142,0.050597282494819096,0.03055734172620954,0.043286848611046896
CMR,0.010132304280669496,0.010017530339613702,0.05256451935504958,0.0034062294949293013,0.0035013903290511735,0.012062379088889748,0.03404777909685669,0.038610770482089815,0.04700399595637456,0.08511140876555383,0.07271588645639124,0.041233443281577346,0.04989487503945641,0.045062658833679256,0.049908537214680734
COD,0.010959569789558535,0.01619215736540089,0.013167668432721798,0.0,0.006898119961099974,0.05844067578947967,0.02302278396073167,0.035663383422388305,0.044682810970874606,0.08433431632352639,0.0727656887583043,0.038069083042940585,0.04607952545237271,0.04363293250018831,0.051423227085888784
COG,0.009278352787622745,0.01598902853339917,0.004985525474559506,0.002271582103332537,0.014612941618784047,0.05320256714827157,0.024644106774867704,0.0483371477791048,0.05019562531143705,0.08542783467456033,0.07285494694174156,0.04915517900241378,0.06252224543018109,0.04453968928797755,0.05322661818254897
