iso3,physicians_per_1000,nurses_midwives_per_1000,hospital_beds_per_1000,current_health_expenditure_per_capita_ppp,domestic_gov_health_expenditure_gdp,out_of_pocket_expenditure_share,uhc_service_coverage_index,measles_immunization_coverage,dpt_immunization_coverage,age65_share,population_density,life_expectancy,under5_mortality,adult_mortality_female,adult_mortality_male
AFG,0.058241660667167676,0.03756573108882693,0.03136876982034996,0.02700048330171841,0.028478990245330415,0.07966990814256812,0.2235649546827796,0.38095238095238093,0.4285714285714286,0.9636507928192699,0.9971522237156224,0.43842782957857973,0.6813935383417674,0.5712167445052895,0.5208466171552819
AGO,0.051896888715010435,0.04713867634393512,0.056940141354990835,0.015371078559390574,0.06030017094468106,0.5910659786702451,0.24169184290030213,0.21088435374149653,0.35374149659863946,0.9540534523355872,0.998800633363408,0.4275689658500802,0.7249902685869989,0.5535258657992509,0.5379026034585515
ALB,0.21379018016329274,0.3064809848470107,0.21714632446358437,0.08313365229788978,0.17433906076530598,0.3200634900741622,0.5861027190332327,0.942176870748299,1.0,0.6435678362543251,0.9948959699656016,0.8336904692959596,0.9625340599455041,0.9274659984482011,0.882479681265903
AND,0.49903396689497337,0.27675636641088897,0.20529420333894224,0.38602915177702496,0.3243783112154451,0.8568214525746508,0.7129909365558913,0.9829931972789114,0.9897959183673469,0.645329051613039,0.9916246637124263,0.9645470164668639,0.9925068119891008,0.9845776011280383,0.989801906236536
ARE,0.31338729433042994,0.34389720850112965,0.11794172646172452,0.2864972891737636,0.14832264436952972,0.8389934226742719,0.8580060422960727,1.0,0.9931972789115646,0.9888035506574675,0.9932063841193572,0.9162081813092414,0.9743090696769172,0.998761078947761,0.9890227847172208
ARG,0.6041855789277002,0.22725966770256692,0.34207633840692026,0.2268307357480858,0.41420270965874945,0.7170623201922766,0.824773413897281,0.8435374149659863,0.8231292517006802,0.702716594953932,0.9992369446850782,0.7770265052798208,0.9544569871545349,0.849857876124681,0.8181277018279361
ARM,0.358365179485936,0.2921506598515203,0.32389909840036823,0.12696800324190685,0.086523027825744,0.0,0.6827794561933535,0.9489795918367345,0.9013605442176872,0.6989925187274276,0.9944618579329398,0.7477440637034509,0.943265862203192,0.8957823527656336,0.7302397598273229
ATG,0.35739427132243856,0.3419687656943119,0.2733725329584273,0.10542466561713441,0.1694831548134382,0.7044450854308343,0.8429003021148038,0.9183673469387754,0.9489795918367347,0.776405462639906,0.9890269687931535,0.788247331132604,0.9564032697547684,0.8405881168026977,0.8312115092621247
AUS,0.4397634104024015,0.7225923939388044,0.29339830584700144,0.518859070788674,0.4662704390014602,0.8117118613145494,0.960725075528701,0.9217687074829932,0.9217687074829933,0.5837496230044805,0.9999366583144966,0.9224511156908639,0.9896847022187623,0.9438121092526001,0.9272876373386929
AUT,0.6150010442838686,0.456755444718515,0.5659028615384456,0.584479531371717,0.4935566605640054,0.7711903964905007,0.8580060422960727,0.9353741496598638,0.8231292517006802,0.48907494362565634,0.9943720382369226,0.8986381278071197,0.9908524717789023,0.9461169593697308,0.9209558635422294
