iso3,physicians_per_1000,nurses_midwives_per_1000,hospital_beds_per_1000,current_health_expenditure_per_capita_ppp,domestic_gov_health_expenditure_gdp,out_of_pocket_expenditure_share,uhc_service_coverage_index,measles_immunization_coverage,dpt_immunization_coverage,age65_share,population_density,life_expectancy,under5_mortality,adult_mortality_female,adult_mortality_male
AFG,0.027354134601930882,0.000440277633896204,0.019338739862757328,0.027000483301718406,0.028478990245330415,0.07966990814256807,0.22356495468277957,0.38095238095238093,0.42857142857142866,0.9636507928192697,0.9971522237156223,0.43842782957857973,0.6813935383417672,0.5712167445052896,0.520846617155282
AGO,0.020801268597546756,0.010382494791486825,0.04522769806612601,0.0153710785593906,0.06030017094468106,0.5910659786702452,0.24169184290030216,0.21088435374149658,0.3537414965986394,0.9540534523355871,0.998800633363408,0.4275689658500802,0.7249902685869989,0.5535258657992509,0.5379026034585516
ALB,0.18800429084464346,0.2797288119985728,0.2074235807860262,0.08313365229788978,0.17433906076530598,0.3200634900741622,0.5861027190332327,0.9421768707482993,1.0,0.6435678362543251,0.9948959699656015,0.8336904692959596,0.962534059945504,0.9274659984482012,0.8824796812659031
AND,0.48260342334779155,0.24885758025714522,0.43005992145391,0.38602915177702496,0.3243783112154452,0.8568214525746508,0.7129909365558913,0.9829931972789115,0.989795918367347,0.6453290516130389,0.9916246637124264,0.9645470164668639,0.9925068119891007,0.9845776011280383,0.9898019062365362
ARE,0.29086796324798286,0.3185883490452019,0.10698689956331876,0.2864972891737636,0.14832264436952974,0.838993422674272,0.8580060422960727,1.0,0.9931972789115645,0.9888035506574676,0.9932063841193572,0.9162081813092413,0.9743090696769171,0.998761078947761,0.989022784717221
ARG,0.5912037684809477,0.1974515694602715,0.3339051777916407,0.22683073574808582,0.4142027096587496,0.7170623201922766,0.8247734138972811,0.8435374149659863,0.8231292517006802,0.702716594953932,0.9992369446850782,0.7770265052798208,0.9544569871545348,0.849857876124681,0.8181277018279364
ARM,0.33732102047479134,0.2648457013939248,0.31550218340611347,0.12696800324190685,0.08652302782574402,0.0,0.6827794561933536,0.9489795918367346,0.9013605442176871,0.6989925187274275,0.9944618579329398,0.7477440637034509,0.9432658622031918,0.8957823527656336,0.730239759827323
ATG,0.3363182687374656,0.31658551745571334,0.2643480973175296,0.1054246656171344,0.16948315481343823,0.7044450854308343,0.8429003021148038,0.9183673469387755,0.9489795918367346,0.7764054626399061,0.9890269687931535,0.788247331132604,0.9564032697547684,0.8405881168026977,0.8312115092621247
AUS,0.4213889277552353,0.7118915247994293,0.28462258265751716,0.5188590707886739,0.46627043900146026,0.8117118613145493,0.9607250755287011,0.9217687074829933,0.9217687074829933,0.5837496230044804,0.9999366583144966,0.9224511156908639,0.9896847022187621,0.9438121092526,0.927287637338693
AUT,0.6023739564385989,0.4358000391357898,0.5605115408608858,0.5844795313717169,0.4935566605640055,0.7711903964905007,0.8580060422960727,0.935374149659864,0.8231292517006802,0.4890749436256563,0.9943720382369227,0.8986381278071196,0.9908524717789022,0.946116959369731,0.9209558635422294
