iso3,physicians_per_1000,nurses_midwives_per_1000,hospital_beds_per_1000,current_health_expenditure_per_capita_ppp,domestic_gov_health_expenditure_gdp,out_of_pocket_expenditure_share,uhc_service_coverage_index,measles_immunization_coverage,dpt_immunization_coverage,age65_share,population_density,life_expectancy,under5_mortality,adult_mortality_female,adult_mortality_male
AFG,0.00681295137874692,0.00010252706477912721,0.00503663673333622,0.008325590685935608,0.0076655352514111595,0.00868125289143603,0.02399557764921329,0.033010735068656934,0.03655866352162468,0.08627541658002157,0.07270101063308716,0.045781675667896385,0.055889284118744796,0.05343257050777688,0.05135454834172844
AGO,0.005180863282047956,0.0024177624164907607,0.011779231069899225,0.0047396673258327275,0.01623066976956327,0.06440566276514768,0.025941165026176525,0.018273799770149375,0.030175404811499724,0.08541616906581824,0.07282119393557712,0.04464776731673651,0.059465176618773034,0.051777736098775784,0.053036238198736714
ALB,0.046825246389989486,0.06514020204607364,0.05402199076884817,0.025634236006992897,0.046925898863759384,0.03487580396951445,0.06290732518847807,0.08164262155373188,0.08530354821712424,0.057618468831331524,0.07253651024491174,0.08705593965011547,0.07894900160218576,0.08675672208903583,0.08701092405991703
AND,0.12019951302912829,0.05795124550391375,0.11200603624137147,0.1190319697103302,0.08731114965787531,0.09336377919875861,0.07652643682722074,0.0851794860253737,0.08443310384756175,0.05777615000576985,0.07229800376110732,0.10072029122049267,0.08140742769595517,0.09209903700952268,0.09759270420182985
ARE,0.07244496380827821,0.07418938820801686,0.027863974186037473,0.08834135062090093,0.03992320125126543,0.09142114314294299,0.09209113584292666,0.08665317955522446,0.08472325197074923,0.08852733675359208,0.07241332484186905,0.09567263520039611,0.07991481185330948,0.09342578326816778,0.09751588420836174
ARG,0.1472480335498652,0.045980373051532686,0.08696321972639394,0.06994318730242853,0.11148869551790982,0.07813488788476433,0.08852422565182738,0.0730951990805975,0.07021584581137437,0.06291404253399005,0.07285300479983803,0.0811389538941297,0.07828650366133233,0.07949712840954896,0.08066593355775598
ARM,0.08401478405249292,0.06167438518961848,0.08217029122209009,0.03915054458063664,0.023288933847147864,0.0,0.07328379119894868,0.08223209896567218,0.07688925264468681,0.06258062691267618,0.07250485972781728,0.07808121176972559,0.07736858482761971,0.08379298083291525,0.07200033908624592
ATG,0.08376503391669912,0.07372299058000203,0.06884757470165236,0.032507663078535656,0.04561886101126099,0.07676004751770014,0.09046981302879063,0.07957945061194083,0.08095132636931177,0.06951138858952309,0.07210860936228239,0.08231065919032828,0.07844614171936931,0.07863001960483253,0.08195597365639902
AUS,0.10495313846032125,0.16577755229789795,0.07412791966402099,0.15999003420788616,0.12550348365819253,0.0884484004982149,0.10311613097905169,0.07987418931791099,0.0786301413838118,0.05226295902875637,0.07290401996763549,0.09632453724171983,0.08117595251180157,0.0882857646573527,0.09142890868426201
AUT,0.1500301338997542,0.1014843712314375,0.14598122919040626,0.1802240829592364,0.132847967836307,0.08403296822434436,0.09209113584292666,0.08105314414179159,0.07021584581137437,0.04378675845500773,0.07249831109610398,0.0938379284673064,0.08127173534662376,0.08850136419566827,0.09080460707067883
AZE,0.09297674822760502,0.07620240325766717,0.07827095955757175,0.018467641015189194,0.016853833959652006,0.015862820657169614,0.06420438343978689,0.05865300248806009,0.052226662173749536,0.0763323713130342,0.0724483421455119,0.0715899336995621,0.07264329830972528,0.08025685180796702,0.07435542159432991
BDI,0.0013184483912835046,0.006528896680673356,0.035191805604110074,0.0005785448429774324,0.03640875385615706,0.07348934227389121,0.03566910191099272,0.07515837002238857,0.07572866015193683,0.08640298892321849,0.07114349838711621,0.04251652357582313,0.058259909280593866,0.04387374274721243,0.051066821282860136
BEL,0.09530581344744944,0.1572805380403861,0.11206516731673091,0.17330274159276088,0.14280051565691965,0.08418445798129273,0.09825216253664358,0.08223209896567218,0.08385280760118675,0.043959280905435466,0.07144483870915877,0.09356136545482839,0.08109613348278308,0.0869427055871903,0.09018218420693591
BEN,0.0007763550732814753,0.0027840900553529973,0.005117872809680353,0.0018128888065860797,0.008784175021289236,0.043077305488446155,0.010376466010470613,0.03477916730447784,0.05019562531143705,0.08453159082705053,0.07249674529671331,0.03813459774767424,0.04611943496688196,0.041842317924734404,0.05438239725094137
BFA,0.0012603669643547156,0.007202358772849967,0.016376282302371578,0.00223133684053376,0.03601607724066199,0.06508007985213743,0.02399557764921329,0.07044255072686614,0.07369762328962434,0.0857390832979985,0.07263090365117225,0.03821170351555311,0.04507380568673977,0.047797889877128345,0.052767263846607224
BGD,0.014752682439912342,0.0017771357895048495,0.013444570634953945,0.0024212694859380057,0.005552034608714386,0.014360741755929378,0.03502057278533831,0.08370579249552294,0.08385280760118675,0.0786918463646851,0.06801886015505802,0.06859339189689696,0.06865234685880092,0.07108503895807908,0.07464767156948031
BGR,0.11977551861254813,0.06167974608189449,0.14793089502266546,0.05052748283800123,0.07081175023145496,0.05571806209946442,0.07328379119894868,0.07810575708209007,0.07514836390556183,0.03803272546627143,0.07267025946574766,0.07683114695332502,0.0797551737952725,0.07923682129956165,0.0725805944535743
BHR,0.021896697952153363,0.027029618855756995,0.03383482579733123,0.06694853568810598,0.043059671873113936,0.07138540869098403,0.08463305089790091,0.08665317955522446,0.08443310384756175,0.08538874749155198,0.06556657113283537,0.09079985304601176,0.07962746334884292,0.08636586886976702,0.09324169353012349
BHS,0.05408542475608808,0.05713907032409479,0.054326626055138674,0.05994878956231406,0.04793734237394188,0.07297690895070552,0.08917275477748182,0.0719162442567169,0.07572866015193683,0.0650122467479212,0.07276331221046915,0.0733190179452641,0.07637084696488862,0.0686855290650275,0.06682949765091531
BIH,0.06559716357337401,0.0768939583612754,0.044842314141961194,0.03811659202415695,0.10769879382656466,0.07156006782062796,0.06161026693716924,0.04892662519104511,0.05425769903606201,0.04445886384338705,0.07265316728544623,0.08318150080401902,0.08000261278522981,0.08400195056548047,0.08298344106903491
BLR,0.12733191225598353,0.1434226315068415,0.20032816426463096,0.03403890531139323,0.06758278196362576,0.07264201497197992,0.08690290283769135,0.0851794860253737,0.08356265947799925,0.053801206811609104,0.07273355982714877,0.07464691373922085,0.08125577154082006,0.08029441707245706,0.06383276118697358
BLZ,0.030591487563393034,0.025973523077378557,0.01685648584140751,0.013088779125829017,0.05509813759839288,0.07964192491741685,0.07036541013350382,0.08046366672985128,0.0783399932606243,0.08145812131400819,0.07285245912161628,0.06984321087950875,0.0769215982651162,0.07226326884448779,0.06703650804998015
BOL,0.034608786259300924,0.014506574498944552,0.021771268460227533,0.01613260701503108,0.07808680826973417,0.07650046143876955,0.06258306062565086,0.07044255072686614,0.06296214273168693,0.07774888028746715,0.0728754175416097,0.058353443547022606,0.07330579625057873,0.06346298681947785,0.06368527062659782
BRA,0.06732799009585191,0.11286018464117895,0.04398933534034779,0.04288799064422205,0.0664449310494263,0.07735349417264548,0.09338819409423549,0.07663206355223932,0.06499317959399942,0.07000025475985198,0.07282033240211,0.07818928030331249,0.07644268409100527,0.07911848799034658,0.07365513498720762
BRB,0.07284572565408684,0.06014116999867312,0.11779231069899226,0.032846615548482117,0.04553507511871333,0.04975744963919952,0.09273966496858108,0.07545310872835873,0.0777596970142493,0.057065008041238645,0.07035533662962346,0.08036688829680666,0.0778714447104362,0.07874686993118239,0.08060532647957597
BRN,0.04833536349013799,0.08196670267747135,0.06389217404466029,0.045665902082919194,0.037228796744977706,0.10316950919275898,0.0937124586570627,0.08429526990746326,0.08530354821712424,0.08017928486322594,0.072593858422327,0.07705889966702294,0.07845412362227115,0.07613647115126945,0.07978132071630668
BTN,0.009542778444399993,0.019116941856332694,0.03281937484302957,0.010182795195400007,0.040672791132773486,0.08770168868467552,0.06388011887695969,0.08370579249552294,0.08356265947799925,0.07729780211772508,0.07283891158795772,0.0681267256154863,0.07237989551396426,0.07244358211403998,0.07736970175469658
BWA,0.010359790516531617,0.04453650606518786,0.04809175719572649,0.028750918355521123,0.07326383763576923,0.1048194576610176,0.0544764465549707,0.08370579249552294,0.07950058575337429,0.08276519659677858,0.07290085805831308,0.05272976208453683,0.06553142282417806,0.048032026701259015,0.052845788631597036
CAF,0.0010570819701039554,0.0003270144288379974,0.01905737794936819,0.0008302996467980956,0.009337185717317287,0.04049293025661663,0.010052201447643407,0.0020631709417910566,0.0011605924927499856,0.08699585666149971,0.07288634507593662,0.005104603417288134,0.02119195220440839,0.0035002321161815304,0.0
CAN,0.0704266342225028,0.13019462981573077,0.04829484738658683,0.1627117568644907,0.1320588796227657,0.08956679789155078,0.10733157029580535,0.07280046037462734,0.07369762328962434,0.048719179324542845,0.0729005320546532,0.09457997775900856,0.0806092374057703,0.086770199786252,0.0901123573378732
CHE,0.123521770649455,0.23286911913244746,0.09114687765811677,0.24248531965200118,0.06389117235716181,0.08121015286470305,0.09825216253664358,0.08016892802388112,0.08095132636931177,0.04492192748421323,0.07207681361249166,0.09869929164219782,0.08104824206537199,0.09029843410830016,0.09449530675686384
CHL,0.06904139219025117,0.04005122619424049,0.03879022645432331,0.06646473764192216,0.07606473123036074,0.06563307383225114,0.0898212839031362,0.07928471190597068,0.07950058575337429,0.06166550087461677,0.07281810961078884,0.09067940678115524,0.0797072823778614,0.08486085934729516,0.0863735407807795
CHN,0.05751222894488661,0.033293821480301244,0.08432304724520963,0.022653399539139626,0.048265073017473195,0.0628758020099163,0.089497019340309,0.08665317955522446,0.08530354821712424,0.06369690008976686,0.07233246259273339,0.08325961449043225,0.07898092921379317,0.08487926578168098,0.08454586510285085
CIV,0.003380339047255505,0.004020669207024545,0.024841910386482206,0.003657677229862582,0.013410344248000132,0.0574957675757514,0.03210219171989345,0.04538976071940329,0.060931105869374454,0.08593354702538435,0.07258618042622592,0.03760392863933142,0.050597282494819096,0.03055734172620954,0.043286848611046896
CMR,0.002857606204896407,0.001988891034408142,0.05036636733336221,0.003405089688445393,0.003501894163963479,0.012053648148255042,0.03404777909685669,0.038610770482089815,0.04700399595637456,0.08511140876555383,0.07271588645639124,0.041233443281577346,0.04989487503945641,0.045062658833679256,0.049908537214680734
COD,0.0037578683222926324,0.008751656640623426,0.005601443078169061,0.0,0.006899112570703319,0.05839837550466769,0.02302278396073167,0.035663383422388305,0.044682810970874606,0.08433431632352639,0.0727656887583043,0.038069083042940585,0.04607952545237271,0.04363293250018831,0.051423227085888784
COG,0.0019283033740357866,0.008529179611168067,0.02125994357582717,0.0022708219772124495,0.014615044357829716,0.053164058289284256,0.024644106774867704,0.0483371477791048,0.05019562531143705,0.08542783467456033,0.07285494694174156,0.04915517900241378,0.06252224543018109,0.04453968928797755,0.05322661818254897
COL,0.06196707439032472,0.014549461637152815,0.03143836154517931,0.0340052583172084,0.092366276091715,0.08982078677987393,0.0898212839031362,0.07928471190597068,0.07514836390556183,0.07248517624813336,0.07274545826314763,0.08074586566572763,0.07691361636221435,0.08175217832467192,0.08051605107050028
COM,0.007329876078413139,0.017240629559721242,0.0445984436670291,0.0037578376690575593,0.009415550535837315,0.020244534051172818,0.039236012102091995,0.05364244448656751,0.054547847159249506,0.0809881373098589,0.07131812458382283,0.052206652365201785,0.0639988974670231,0.057547106467299776,0.062133492841876636
CPV,0.019887080580417264,0.016015665674647763,0.03952135114142051,0.009916680096966814,0.048896450181748555,0.07226685400995649,0.06614997081675014,0.08164262155373188,0.08066117824612427,0.07815968680293965,0.07241606105454158,0.07639165759727372,0.07613937178073503,0.08255311992331418,0.07331556834941384
CRI,0.059986497732053015,0.03430971056660944,0.01969974851345215,0.04555137790421071,0.09106856600783433,0.08066103718710041,0.09403672321988991,0.07957945061194083,0.07921043763018679,0.0678807033636703,0.07253844657100916,0.09016486436936225,0.0791166215631246,0.08497727350221408,0.08451169968908924
CUB,0.2382035481203484,0.10197288254009096,0.0809923681151002,0.08717879846121432,0.18172320680756665,0.09604892810769164,0.09598231059685314,0.08665317955522446,0.08530354821712424,0.05391143967651071,0.07249117163842175,0.08345212693049583,0.08012234132875753,0.08136516341399541,0.0817927311702793
CYP,0.07723087338721041,0.04996351601262499,0.04244584988980927,0.07969317412904917,0.050578885511562824,0.054132036169862285,0.08236319895811046,0.07221098296268705,0.08269221510843677,0.05867542048028759,0.07238317736887119,0.09357969236378857,0.08163890288010879,0.0906276563043766,0.09358640933414611
CZE,0.11649159473399442,0.11418968592563508,0.13298345697534508,0.08994000480046178,0.10670995143965072,0.09108407865714685,0.09273966496858108,0.0828215763776125,0.08182177073887427,0.0427521304878438,0.07237675161755723,0.08717460362000272,0.08144733721046443,0.08649318731045955,0.08561737876174155
