iso3,physicians_per_1000,nurses_midwives_per_1000,hospital_beds_per_1000,current_health_expenditure_per_capita_ppp,domestic_gov_health_expenditure_gdp,out_of_pocket_expenditure_share,uhc_service_coverage_index,measles_immunization_coverage,dpt_immunization_coverage,age65_share,population_density,life_expectancy,under5_mortality,adult_mortality_female,adult_mortality_male
AFG,0.006829924545529012,0.00010360254483626736,0.005090902355881365,0.008327697147443485,0.007666263346274817,0.008681953505787958,0.02399557764921329,0.033010735068656934,0.03655866352162468,0.08627541658002157,0.07270101063308716,0.045781675667896385,0.055889284118744796,0.05343257050777688,0.05135454834172844
AGO,0.005193770413138856,0.0024431240638512937,0.01190614260649674,0.004740866511230932,0.01623221140584898,0.06441086057844066,0.025941165026176525,0.018273799770149375,0.030175404811499724,0.08541616906581824,0.07282119393557712,0.04464776731673651,0.059465176618773034,0.051777736098775784,0.053036238198736714
ALB,0.04694190254565635,0.06582350443427284,0.05460403333324368,0.02564072173677106,0.04693035602230274,0.03487861859651607,0.06290732518847807,0.08164262155373188,0.08530354821712424,0.057618468831331524,0.07253651024491174,0.08705593965011547,0.07894900160218576,0.08675672208903583,0.08701092405991703
AND,0.12049896715236391,0.05855913776104759,0.048055654899670466,0.11906208604343617,0.08731944272515907,0.09337131405628148,0.07652643682722074,0.0851794860253737,0.08443310384756175,0.05777615000576985,0.07229800376110732,0.10072029122049267,0.08140742769595517,0.09209903700952268,0.09759270420182985
ARE,0.07262544659538224,0.07496761401250117,0.02816418561398884,0.08836370190643207,0.03992699327319456,0.09142852122140202,0.09209113584292666,0.08665317955522446,0.08472325197074923,0.08852733675359208,0.07241332484186905,0.09567263520039611,0.07991481185330948,0.09342578326816778,0.09751588420836174
ARG,0.14761487389450254,0.04646269422539365,0.08790017696727422,0.06996088366024247,0.11149928503891524,0.07814119370542444,0.08852422565182738,0.0730951990805975,0.07021584581137437,0.06291404253399005,0.07285300479983803,0.0811389538941297,0.07828650366133233,0.07949712840954896,0.08066593355775598
ARM,0.08422409083638292,0.062321332134317495,0.08305560859635483,0.039160450077829874,0.023291145897912497,0.0,0.07328379119894868,0.08223209896567218,0.07688925264468681,0.06258062691267618,0.07250485972781728,0.07808121176972559,0.07736858482761971,0.08379298083291525,0.07200033908624592
ATG,0.08397371849583922,0.07449632400461856,0.06958935075176544,0.03251588785724135,0.04562319402354244,0.07676624238284441,0.09046981302879063,0.07957945061194083,0.08095132636931177,0.06951138858952309,0.07210860936228239,0.08231065919032828,0.07844614171936931,0.07863001960483253,0.08195597365639902
AUS,0.10521460915405731,0.1675165121696351,0.0749265870926088,0.16003051335962637,0.12551540434459288,0.08845553866358907,0.10311613097905169,0.07987418931791099,0.0786301413838118,0.05226295902875637,0.07290401996763549,0.09632453724171983,0.08117595251180157,0.0882857646573527,0.09142890868426201
AUT,0.15040390531590783,0.10254891372668931,0.14755405699223892,0.18026968153690698,0.132860586123205,0.08403975004539133,0.09209113584292666,0.08105314414179159,0.07021584581137437,0.04378675845500773,0.07249831109610398,0.0938379284673064,0.08127173534662376,0.08850136419566827,0.09080460707067883
AZE,0.0932083820331018,0.07700174502353478,0.07911426483696284,0.01847231352149022,0.016855434785887424,0.015864100854850002,0.06420438343978689,0.05865300248806009,0.052226662173749536,0.0763323713130342,0.0724483421455119,0.0715899336995621,0.07264329830972528,0.08025685180796702,0.07435542159432991
BDI,0.001321733053567848,0.006597382969540783,0.048055654899670466,0.0005786912208728016,0.036412212065636954,0.07349527317909059,0.03566910191099272,0.07515837002238857,0.07572866015193683,0.08640298892321849,0.07114349838711621,0.04251652357582313,0.058259909280593866,0.04387374274721243,0.051066821282860136
BEL,0.09554324967398597,0.15893036662372756,0.11327257741836039,0.17334658899868624,0.14281407926579592,0.084191252028213,0.09825216253664358,0.08223209896567218,0.08385280760118675,0.043959280905435466,0.07144483870915877,0.09356136545482839,0.08109613348278308,0.0869427055871903,0.09018218420693591
BEN,0.0007782892136280564,0.002813294376556035,0.0051730136842020324,0.0018133474864123155,0.008785009367816218,0.04308078201180575,0.010376466010470613,0.03477916730447784,0.05019562531143705,0.08453159082705053,0.07249674529671331,0.03813459774767424,0.04611943496688196,0.041842317924734404,0.05438239725094137
BFA,0.0012635069278600132,0.007277909489543706,0.048055654899670466,0.0022319013920884785,0.03601949815257329,0.06508533209378264,0.02399557764921329,0.07044255072686614,0.07369762328962434,0.0857390832979985,0.07263090365117225,0.03821170351555311,0.04507380568673977,0.047797889877128345,0.052767263846607224
BGD,0.014789435929790018,0.0017957774438286118,0.01358942483707042,0.00242188209243822,0.005552561957131539,0.014361900729398342,0.03502057278533831,0.08370579249552294,0.08385280760118675,0.0786918463646851,0.06801886015505802,0.06859339189689696,0.06865234685880092,0.07108503895807908,0.07464767156948031
BGR,0.12007391643469673,0.06232674926084485,0.14952472887193496,0.05054026681954718,0.07081847613772754,0.055722558786112854,0.07328379119894868,0.07810575708209007,0.07514836390556183,0.03803272546627143,0.07267025946574766,0.07683114695332502,0.0797551737952725,0.07923682129956165,0.0725805944535743
BHR,0.02195124939185369,0.027313151951082512,0.03419936824555789,0.06696547436774512,0.04306376180615754,0.07139116979971714,0.08463305089790091,0.08665317955522446,0.08443310384756175,0.08538874749155198,0.06556657113283537,0.09079985304601176,0.07962746334884292,0.08636586886976702,0.09324169353012349
BHS,0.054220168259135684,0.057738443092148546,0.054911950814446185,0.05996395723298398,0.04794189560233562,0.07298279850033731,0.08917275477748182,0.0719162442567169,0.07572866015193683,0.0650122467479212,0.07276331221046915,0.0733190179452641,0.07637084696488862,0.0686855290650275,0.06682949765091531
BIH,0.06576058637442853,0.07770055434556765,0.04532545323300829,0.038126235920540895,0.10770902337166954,0.07156584302510215,0.06161026693716924,0.04892662519104511,0.05425769903606201,0.04445886384338705,0.07265316728544623,0.08318150080401902,0.08000261278522981,0.08400195056548047,0.08298344106903491
BLR,0.12764913538928602,0.1449270945504336,0.20248653563876529,0.0340475175103967,0.06758920117308806,0.0726478774942309,0.08690290283769135,0.0851794860253737,0.08356265947799925,0.053801206811609104,0.07273355982714877,0.07464691373922085,0.08125577154082006,0.08029441707245706,0.06383276118697358
BLZ,0.030667700410316544,0.02624597802518739,0.01703810062653844,0.013092090723822928,0.05510337097997249,0.07964835236243087,0.07036541013350382,0.08046366672985128,0.0783399932606243,0.08145812131400819,0.07285245912161628,0.06984321087950875,0.0769215982651162,0.07226326884448779,0.06703650804998015
BOL,0.034695007438441776,0.014658744383107752,0.022005835989938806,0.016136688733311595,0.07809422518220746,0.07650663535420359,0.06258306062565086,0.07044255072686614,0.06296214273168693,0.07774888028746715,0.0728754175416097,0.058353443547022606,0.07330579625057873,0.06346298681947785,0.06368527062659782
BRA,0.067495724920522,0.11404405621780339,0.04446328428564127,0.042898841754353476,0.06645124218249483,0.07735973693148074,0.09338819409423549,0.07663206355223932,0.06499317959399942,0.07000025475985198,0.07282033240211,0.07818928030331249,0.07644268409100527,0.07911848799034658,0.07365513498720762
BRB,0.07302720686276629,0.06077203394748496,0.11906142606496743,0.032854926085707274,0.04553940017276669,0.04976146527885068,0.09273966496858108,0.07545310872835873,0.0777596970142493,0.057065008041238645,0.07035533662962346,0.08036688829680666,0.0778714447104362,0.07874686993118239,0.08060532647957597
BRN,0.048455781814060045,0.08282651032210708,0.06458055972420473,0.04567745603369444,0.03723233284451951,0.1031778354147601,0.0937124586570627,0.08429526990746326,0.08530354821712424,0.08017928486322594,0.072593858422327,0.07705889966702294,0.07845412362227115,0.07613647115126945,0.07978132071630668
BTN,0.009566552453797244,0.019317473196660103,0.03317297664154954,0.010185371549070376,0.040676654352932703,0.08770876658720288,0.06388011887695969,0.08370579249552294,0.08356265947799925,0.07729780211772508,0.07283891158795772,0.0681267256154863,0.07237989551396426,0.07244358211403998,0.07736970175469658
BWA,0.010385599955420783,0.04500368148068422,0.04860990636583497,0.02875819263852597,0.07327079644844506,0.10482791704093859,0.0544764465549707,0.08370579249552294,0.07950058575337429,0.08276519659677858,0.07290085805831308,0.05272976208453683,0.06553142282417806,0.048032026701259015,0.052845788631597036
CAF,0.001059715487882592,0.00033044471817057503,0.048055654899670466,0.0008305097212915413,0.009338072590410794,0.040496198209807745,0.010052201447643407,0.0020631709417910566,0.0011605924927499856,0.08699585666149971,0.07288634507593662,0.005104603417288134,0.02119195220440839,0.0035002321161815304,0.0
CAN,0.07060208872703498,0.1315603348441075,0.04881518468663664,0.16275292464052526,0.132071422959767,0.08957402631639266,0.10733157029580535,0.07280046037462734,0.07369762328962434,0.048719179324542845,0.0729005320546532,0.09457997775900856,0.0806092374057703,0.086770199786252,0.0901123573378732
CHE,0.12382950154285206,0.23531185065987653,0.09212891037578858,0.24254667097364796,0.06389724092679207,0.08121670687244029,0.09825216253664358,0.08016892802388112,0.08095132636931177,0.04492192748421323,0.07207681361249166,0.09869929164219782,0.08104824206537199,0.09029843410830016,0.09449530675686384
CHL,0.06921339562890312,0.040471352286104226,0.03920815927311858,0.06648155391559633,0.07607195608006764,0.06563837070288298,0.0898212839031362,0.07928471190597068,0.07950058575337429,0.06166550087461677,0.07281810961078884,0.09067940678115524,0.0797072823778614,0.08486085934729516,0.0863735407807795
CHN,0.05765550967589793,0.033643064298333594,0.08523155879685254,0.022659131086119513,0.048269657374677956,0.06288087635688304,0.089497019340309,0.08665317955522446,0.08530354821712424,0.06369690008976686,0.07233246259273339,0.08325961449043225,0.07898092921379317,0.08487926578168098,0.08454586510285085
CIV,0.0033887605161959803,0.004062844895539845,0.048055654899670466,0.0036586026604516642,0.01341161800155375,0.057500407730858336,0.03210219171989345,0.04538976071940329,0.060931105869374454,0.08593354702538435,0.07258618042622592,0.03760392863933142,0.050597282494819096,0.03055734172620954,0.043286848611046896
CMR,0.002864725384825468,0.002009753941660377,0.05090902355881365,0.003405951211745079,0.00350222678407026,0.012054620929372166,0.03404777909685669,0.038610770482089815,0.04700399595637456,0.08511140876555383,0.07271588645639124,0.041233443281577346,0.04989487503945641,0.045062658833679256,0.049908537214680734
COD,0.0037672303332969065,0.008843459055958392,0.048055654899670466,0.0,0.006899767868508597,0.05840308850410678,0.02302278396073167,0.035663383422388305,0.044682810970874606,0.08433431632352639,0.0727656887583043,0.038069083042940585,0.04607952545237271,0.04363293250018831,0.051423227085888784
COG,0.0019331073735001127,0.008618648305071855,0.048055654899670466,0.0022713965189196605,0.014616432537308391,0.05316834885686823,0.024644106774867704,0.0483371477791048,0.05019562531143705,0.08542783467456033,0.07285494694174156,0.04915517900241378,0.06252224543018109,0.04453968928797755,0.05322661818254897
COL,0.06212145351768886,0.014702081395326845,0.0317770840600982,0.034013862003170484,0.09237504930963024,0.08982803570270875,0.0898212839031362,0.07928471190597068,0.07514836390556183,0.07248517624813336,0.07274545826314763,0.08074586566572763,0.07691361636221435,0.08175217832467192,0.08051605107050028
COM,0.00734813706432874,0.017421478912074847,0.048055654899670466,0.0037587884412851793,0.009416444852249519,0.02024616787192217,0.039236012102091995,0.05364244448656751,0.054547847159249506,0.0809881373098589,0.07131812458382283,0.052206652365201785,0.0639988974670231,0.057547106467299776,0.062133492841876636
CPV,0.019936625442362604,0.01618366550056704,0.03994716122800459,0.009919189120734398,0.04890109450899523,0.07227268625510835,0.06614997081675014,0.08164262155373188,0.08066117824612427,0.07815968680293965,0.07241606105454158,0.07639165759727372,0.07613937178073503,0.08255311992331418,0.07331556834941384
CRI,0.06013594263105169,0.03466960977527333,0.019911997117761787,0.04556290287917111,0.0910772159654663,0.08066754687884668,0.09403672321988991,0.07957945061194083,0.07921043763018679,0.0678807033636703,0.07253844657100916,0.09016486436936225,0.0791166215631246,0.08497727350221408,0.08451169968908924
CUB,0.23879698675297173,0.1030425493814974,0.0818649943357052,0.08720085560889174,0.18174046740700878,0.09605667966825107,0.09598231059685314,0.08665317955522446,0.08530354821712424,0.05391143967651071,0.07249117163842175,0.08345212693049583,0.08012234132875753,0.08136516341399541,0.0817927311702793
CYP,0.07742327935370782,0.05048761923524177,0.042903169047548595,0.07971333733549012,0.05058368964141713,0.05413640485741396,0.08236319895811046,0.07221098296268705,0.08269221510843677,0.05867542048028759,0.07238317736887119,0.09357969236378857,0.08163890288010879,0.0906276563043766,0.09358640933414611
CZE,0.11678181128717575,0.11538750359659525,0.1344162444609322,0.08996276056221818,0.10672008706162572,0.09109142953305584,0.09273966496858108,0.0828215763776125,0.08182177073887427,0.0427521304878438,0.07237675161755723,0.08717460362000272,0.08144733721046443,0.08649318731045955,0.08561737876174155
DEU,0.12232726749958993,0.15172558834230357,0.16024025721778198,0.18773696962378186,0.1495314804742178,0.09381521589815447,0.0985764270994708,0.08370579249552294,0.07427791953599934,0.03685704834658294,0.07198752886117905,0.09219821709554786,0.08117595251180157,0.08730608000630966,0.08939519677385234
DJI,0.04797541627697041,0.040031210755754075,0.02483867681700182,0.002815358423084848,0.021684561832743112,0.07735381606546471,0.03339924997120228,0.05835826378208994,0.0568690321447495,0.08131221190152664,0.07273770679066409,0.04863307720161308,0.058235963571888316,0.05433247940410029,0.05671663955246403
DMA,0.032763840935798594,0.08759358166620716,0.06704389957382476,0.020493537584430614,0.06023821598026333,0.06775312638084245,0.08139040526962883,0.0719162442567169,0.08124147449249929,0.06343116547070526,0.07255534779531454,0.06581607237545604,0.07028065505077805,0.0738449136873765,0.07247677612906848
DNK,0.1183271326634617,0.15540923438092638,0.04963629796984331,0.17448882339599114,0.14840716865685954,0.09191360466074056,0.09403672321988991,0.08016892802388112,0.08066117824612427,0.042373735591465546,0.07235076169084662,0.09232605066575994,0.08112806109439047,0.08730376829772565,0.09094025976747781
DOM,0.04071170709491803,0.013800129828517001,0.024633398496200158,0.022790567216940175,0.0430544801205985,0.07182641238820422,0.07782349507852958,0.06395829919552282,0.0670242164563119,0.07640322795763839,0.07204819268602734,0.07259331660052179,0.0688279487226416,0.07494816570480595,0.07237688926256174
DZA,0.042720508431838326,0.018288219156456675,0.02956007819544019,0.024245346396696142,0.06535011621968699,0.06534523382513226,0.07198673294763985,0.0695583346089557,0.07398777141281185,0.07815542223027255,0.07284779976800734,0.0782522752117103,0.07309028487222881,0.08137017938545128,0.08847186081069564
ECU,0.06162653144917226,0.033232716963884065,0.025618734436048157,0.027019709080367466,0.08087358580962106,0.06986840031786137,0.08722716740051857,0.06366356048955267,0.06238184648531195,0.0741448012921568,0.07265089994719982,0.08124226554390207,0.0769215982651162,0.07969624066777485,0.08028913983979422
EGY,0.02048977363658704,0.021311652899554244,0.021964780325778466,0.01732498119075241,0.02394529554560007,0.030784004775690783,0.07652643682722074,0.07928471190597068,0.0786301413838118,0.08100962734927425,0.07250728950952356,0.06632406331677566,0.07247567834878646,0.07381590828721872,0.07276551214618435
ERI,0.0012402164775768794,0.016734180983912685,0.0208973330576098,0.0012498991212341788,0.011287509074112646,0.04487199464811161,0.02302278396073167,0.07957945061194083,0.07950058575337429,0.0820067406878725,0.07281389247695365,0.05603321508091593,0.06539573047484663,0.05850118785534644,0.06294563464782135
ESP,0.11465888674386812,0.07571517747328048,0.057067373182863694,0.11176113778020567,0.10924147520128649,0.078785662758407,0.0943609877827171,0.08429526990746326,0.08095132636931177,0.042946166526313105,0.0725493194044504,0.09819410320607123,0.08140742769595517,0.0897524347110446,0.09193098718323767
EST,0.09974717595009165,0.08522223452884374,0.09167729807002492,0.07051035516233835,0.08297279166923298,0.07804752016034759,0.08430878633507372,0.07456889261044826,0.07572866015193683,0.04178398964208408,0.07279604216318157,0.08484287013257703,0.08156706575399215,0.08480956558701616,0.07696117803943278
ETH,0.0016419767449609387,0.006384083612524939,0.0032844531328266873,0.0009392110470702405,0.012611107357409184,0.062388423003061064,0.006809555819371342,0.023873835183582243,0.0327867379201872,0.08466126525165707,0.07253432760766532,0.05123048326466994,0.05927361094912866,0.05819106996794533,0.05816383359607783
FIN,0.09982286991351182,0.16640600123152086,0.07435180779436414,0.13675326321824258,0.12661689272021176,0.08542883311265827,0.09825216253664358,0.08105314414179159,0.07514836390556183,0.03729761627211065,0.0728453862866777,0.09393626198285412,0.08173468571493099,0.08833226053189132,0.0887793495345503
FJI,0.022719834251197103,0.04195654780902934,0.035239445070953,0.013253896983630798,0.03784923067472432,0.08500336047668786,0.07231099751046706,0.08311631508358264,0.07979073387656178,0.07810483773126392,0.07271910621086877,0.05659916133796152,0.07351332572602678,0.05474287310347539,0.0574069061604383
FRA,0.09255042681260327,0.12178513002543863,0.12218165654115276,0.16058130584334657,0.1462368862872254,0.09593391099581552,0.09111834215444503,0.07456889261044826,0.07979073387656178,0.041188099495495074,0.0724282377181191,0.09631224555227644,0.08102429635666644,0.0873679291152175,0.08795614397954632
FSM,0.021235068045647322,0.02709104976345967,0.048055654899670466,0.010801482271122287,0.027930246821209096,0.10655364632949522,0.06388011887695969,0.0501055800149257,0.04816458844912458,0.08115688493820412,0.0723016369189348,0.05388332484711685,0.07148592238895721,0.052735917498273305,0.050017191580441996
GAB,0.015164994440605553,0.032051106240097896,0.048055654899670466,0.011940669139011281,0.02803668034473301,0.07828227350213261,0.04215439316753685,0.03389495118656739,0.04903503281868706,0.0820074932168016,0.07288369569331102,0.056570939618999304,0.06618593886212966,0.05868712773635782,0.06015527363508182
GBR,0.0811613966241508,0.11104025955836759,0.0482814610525523,0.14103798288966576,0.1356990533173262,0.0889247102626548,0.0992249562251252,0.07633732484626916,0.0780498451374368,0.0452478436077839,0.0718454248594659,0.09279478195099708,0.08093649542474611,0.08617364812015005,0.08984752319372499
GEO,0.19180268069417833,0.06406564687613593,0.07792365057631316,0.03478330548311424,0.04519628721298244,0.030462176982750947,0.07166246838481265,0.08252683767164234,0.07630895639831181,0.05488352403037238,0.07266033826137384,0.07362844893531398,0.07869358070932661,0.0804077671230736,0.06438169535904847
GHA,0.002393093766592004,0.03311218589864972,0.01067447268168673,0.004294590051160393,0.025401690637772,0.06798456529078264,0.040857334916228026,0.07545310872835873,0.07950058575337429,0.08359347714261643,0.0723983874021992,0.0490135664483356,0.06344814616679555,0.0508628229052279,0.05656153831565207
