iso3,physicians_per_1000,nurses_midwives_per_1000,hospital_beds_per_1000,current_health_expenditure_per_capita_ppp,domestic_gov_health_expenditure_gdp,out_of_pocket_expenditure_share,uhc_service_coverage_index,measles_immunization_coverage,dpt_immunization_coverage,age65_share,population_density,life_expectancy,under5_mortality,adult_mortality_female,adult_mortality_male
AFG,0.027354134601930924,0.0004402776338961948,0.01933873986275733,0.02700048330171838,0.02847899024533043,0.0796699081425681,0.2235649546827796,0.38095238095238093,0.4285714285714286,0.9636507928192699,0.9971522237156224,0.43842782957857973,0.6813935383417674,0.5712167445052895,0.5208466171552819
AGO,0.02080126859754678,0.010382494791486795,0.04522769806612601,0.015371078559390594,0.060300170944681084,0.5910659786702454,0.24169184290030213,0.21088435374149653,0.35374149659863946,0.9540534523355872,0.998800633363408,0.4275689658500802,0.7249902685869989,0.5535258657992509,0.5379026034585515
ALB,0.18800429084464348,0.2797288119985728,0.20742358078602618,0.08313365229788976,0.174339060765306,0.3200634900741623,0.5861027190332327,0.942176870748299,1.0,0.6435678362543251,0.9948959699656016,0.8336904692959596,0.9625340599455041,0.9274659984482011,0.882479681265903
AND,0.4826034233477916,0.2488575802571452,0.1825483468496569,0.3860291517770249,0.3243783112154452,0.8568214525746509,0.7129909365558913,0.9829931972789114,0.9897959183673469,0.645329051613039,0.9916246637124263,0.9645470164668639,0.9925068119891008,0.9845776011280383,0.989801906236536
ARE,0.2908679632479829,0.3185883490452019,0.10698689956331875,0.28649728917376355,0.14832264436952974,0.8389934226742721,0.8580060422960727,1.0,0.9931972789115646,0.9888035506574675,0.9932063841193572,0.9162081813092414,0.9743090696769172,0.998761078947761,0.9890227847172208
ARG,0.5912037684809477,0.19745156946027148,0.3339051777916407,0.22683073574808574,0.41420270965874956,0.7170623201922767,0.824773413897281,0.8435374149659863,0.8231292517006802,0.702716594953932,0.9992369446850782,0.7770265052798208,0.9544569871545349,0.849857876124681,0.8181277018279361
ARM,0.3373210204747914,0.26484570139392477,0.31550218340611347,0.12696800324190682,0.08652302782574403,0.0,0.6827794561933535,0.9489795918367345,0.9013605442176872,0.6989925187274276,0.9944618579329398,0.7477440637034509,0.943265862203192,0.8957823527656336,0.7302397598273229
ATG,0.3363182687374657,0.31658551745571334,0.2643480973175296,0.10542466561713437,0.16948315481343823,0.7044450854308344,0.8429003021148038,0.9183673469387754,0.9489795918367347,0.776405462639906,0.9890269687931535,0.788247331132604,0.9564032697547684,0.8405881168026977,0.8312115092621247
AUS,0.4213889277552353,0.7118915247994292,0.28462258265751716,0.5188590707886739,0.46627043900146026,0.8117118613145495,0.960725075528701,0.9217687074829932,0.9217687074829933,0.5837496230044805,0.9999366583144966,0.9224511156908639,0.9896847022187623,0.9438121092526001,0.9272876373386929
AUT,0.602373956438599,0.4358000391357898,0.5605115408608858,0.5844795313717169,0.4935566605640055,0.7711903964905009,0.8580060422960727,0.9353741496598638,0.8231292517006802,0.48907494362565634,0.9943720382369226,0.8986381278071197,0.9908524717789023,0.9461169593697308,0.9209558635422294
AZE,0.37330348397929203,0.3272327543538567,0.30053025577043047,0.05989187454231788,0.06261535002986097,0.14557685168755433,0.5981873111782479,0.6768707482993197,0.6122448979591837,0.8525922336793883,0.9936866743091624,0.6855803942008842,0.8856558972362788,0.8579796401020605,0.7541254096298431
BDI,0.005293596380765863,0.028036764621246133,0.1825483468496569,0.0018762621129688641,0.1352657723051044,0.674429050925869,0.33232628398791547,0.8673469387755102,0.8877551020408164,0.9650757084503583,0.9757897036349534,0.4071591282021582,0.7102958349552355,0.46902883883674773,0.5179284400879194
BEL,0.3826547269250502,0.6754031561863325,0.43028696194635063,0.5620331285829382,0.5305323580206486,0.7725806537692079,0.9154078549848943,0.9489795918367345,0.9829931972789115,0.4910019281911798,0.9799228259891447,0.8959896244587051,0.9887115609186454,0.9294542405884898,0.9146431443481402
BEN,0.0031170809819193817,0.011955600062924232,0.019650655021834048,0.005879327461148052,0.03263495979599314,0.3953306065624985,0.09667673716012087,0.40136054421768697,0.5884353741496599,0.9441731810498667,0.9943505620520569,0.3651956525935793,0.5622810432074739,0.44731204956803294,0.551555578922928
BFA,0.0050603983023180255,0.0309287843733094,0.1825483468496569,0.007236384224979518,0.1338069004670035,0.5972552635628967,0.2235649546827796,0.8129251700680271,0.8639455782312925,0.9576602335971359,0.9961906506603694,0.36593405532711726,0.549532892175944,0.5109796289112042,0.5351746195519275
BGD,0.05923231192574976,0.007631478987534135,0.051621958827198985,0.007852349315522804,0.020626914400296605,0.13179191884649485,0.3262839879154079,0.9659863945578231,0.9829931972789115,0.8789463226457598,0.9329328033763254,0.656884036987703,0.83699883223044,0.7599290872737582,0.7570894588881074
BGR,0.4809010773751225,0.26486872244667753,0.5679975046787274,0.16386422394629202,0.26307975607119305,0.5113378155041787,0.6827794561933535,0.9013605442176871,0.8809523809523809,0.42480543706974166,0.9967304469806442,0.735772828568618,0.9723627870766836,0.8470750831853653,0.7361248090570053
BHR,0.08791567557483332,0.11607214797932713,0.1299126637554585,0.21711886737055774,0.15997525743760552,0.655120755523758,0.7885196374622357,1.0,0.9897959183673469,0.9537471678477282,0.8992977076547009,0.8695440242466361,0.9708057609964968,0.9232876124681061,0.9456732114520983
BHS,0.2171540506506227,0.24536989076510474,0.20859326263256395,0.19441819236560173,0.17809677486033768,0.6697263292913377,0.8308157099697887,0.8299319727891156,0.8877551020408164,0.7261524267864696,0.9980067394353689,0.7021389548464316,0.9311015959517323,0.7342773131500021,0.6777962011474399
BIH,0.26337390979898334,0.3302024701589605,0.1721771678103556,0.12361482149311398,0.40012247002007456,0.6567236436078869,0.5740181268882176,0.564625850340136,0.6360544217687074,0.49658200549847975,0.9964960141241088,0.7965869384760913,0.9753795251070456,0.8980163274593772,0.8416322595829653
BLR,0.5112401473811855,0.6158937348204936,0.769182782283219,0.11039059318897619,0.2510834958250399,0.6666529281525587,0.8096676737160121,0.9829931972789114,0.979591836734694,0.6009310375285546,0.9975986618181474,0.7148555376791398,0.990657843518879,0.8583812286441158,0.6474027871237465
BLZ,0.12282542791847399,0.11153700058703689,0.0647223955084217,0.042447842508499714,0.20470055537369541,0.7308927549763294,0.6555891238670695,0.9285714285714285,0.9183673469387755,0.909844151410212,0.9992294602739605,0.6688529178973383,0.937816270922538,0.7725248623524672,0.6798957360387105
BOL,0.13895496167778248,0.062294968748920904,0.08359326263256393,0.05231919304637082,0.2901080456962685,0.7020628026748637,0.5830815709969789,0.8129251700680271,0.738095238095238,0.8684138900718767,0.9995443532768236,0.5588212582768673,0.893732970027248,0.67844613094794,0.6459069126215922
BRA,0.27032321253672875,0.48465071307710916,0.1689020586400499,0.13908880689868314,0.2468561530468352,0.7098912855448352,0.8700906344410877,0.8843537414965986,0.7619047619047619,0.7818658393183892,0.9987888167462102,0.7487789811007507,0.9319774231218374,0.8458100501350363,0.7470229830262306
BRB,0.29247702998927294,0.2582616803066405,0.4522769806612602,0.10652391260754022,0.16917187353453192,0.45663586716545257,0.8640483383685801,0.8707482993197279,0.91156462585034,0.6373859718216834,0.9649794378313882,0.7696328256211273,0.9493966523939277,0.8418372961399007,0.8175130144698532
BRN,0.19406744088428715,0.35198614132624295,0.24532127261384903,0.1480977714567055,0.1383123949694743,0.9468109526689867,0.8731117824773416,0.9727891156462586,1.0,0.8955602243249168,0.9956825458623833,0.7379539005038513,0.9565005838847801,0.8139310307524732,0.8091558070135757
BTN,0.03831444428897908,0.08209307411627935,0.12601372426699936,0.03302352974218057,0.15110752007922484,0.8048591106416207,0.595166163141994,0.9659863945578231,0.979591836734694,0.8633755853829362,0.9990436450673237,0.6524150112932185,0.8824445309458934,0.7744524873543323,0.7846967548247842
BWA,0.04159476392581195,0.19125123258553287,0.1846537741734248,0.09324127503393832,0.27218974917380234,0.9619529194507412,0.5075528700906345,0.9659863945578231,0.9319727891156463,0.9244434913200681,0.9998932902115697,0.504966120345167,0.7989490073958738,0.5134826504424117,0.5359710313585825
