iso3,country,observed_shock_burden,oof_predicted_ridge_mean_over_repeats,oof_predicted_ridge_repeat1,pi80_low,pi80_high,pi95_low,pi95_high,covered_80,covered_95
NOR,Norway,1072.0009,2652.6363611814054,2535.851501685429,290.72337219866085,4780.979631172197,-1004.9139959674444,6076.616999338303,True,True
DEU,Germany,2179.8662,3213.6847903568187,3277.118609020019,1031.990479533251,5522.246738506787,-263.64688863285437,6817.884106672893,True,True
SWE,Sweden,1389.8391,3278.355615479705,3205.7631271357723,960.6349976490042,5450.891256622541,-335.0023705171011,6746.528624788645,True,True
JPN,Japan,859.7607,3599.996146382692,3419.571380725809,1244.2195790024884,5594.923182449129,-178.80412616861986,7017.946887620237,False,True
FRA,France,1838.9587,3093.5251373787873,2973.6978152806487,798.3460135573282,5149.04961700397,-624.6776916137801,6572.073322175078,True,True
AUS,Australia,927.5937,1991.6912011153177,1896.3193343956023,-217.43360316702774,4010.0722719582322,-1576.5716369022894,5369.210305693494,True,True
DNK,Denmark,674.96173,3079.2987786939484,2929.74250698044,702.4699040926744,5157.015109868205,-711.7974755840869,6571.282489544967,False,True
BEL,Belgium,2334.5127,3000.1561533370796,3258.377711695638,1071.010857476555,5445.7445659147215,-482.8827195307613,6999.638142922037,True,True
AUT,Austria,2567.4924,2800.03939076369,2742.5177705877795,515.245167700014,4969.7903734755455,-899.0222119767473,6384.057753152307,True,True
ISL,Iceland,1134.6113,2958.5367873827095,3113.6913868047113,926.3245325856283,5301.058241023795,-627.569044421688,6854.951818031111,True,True
FIN,Finland,1876.0293,3673.5453166226507,3501.777874388229,1274.5052715004636,5729.050477275994,-139.76210817629772,7143.317856952755,True,True
LUX,Luxembourg,-259.57343,1937.4574301736334,2024.035196166616,-163.331658052467,4211.402050385699,-1717.2252350597832,5765.295627393016,False,True
CZE,Czechia,4400.776,3296.1923134527424,3300.1979574317334,1072.9253545439678,5527.470560319499,-341.3420251327934,6941.73793999626,True,True
USA,United States,3758.817,1629.133355199539,1677.3045699500506,-498.0472317732699,3852.656371673371,-1921.0709369443782,5275.680076844479,True,True
SVN,Slovenia,2868.0425,3125.5534881056874,3113.788458695422,868.6603292086538,5358.91658818219,-426.97703895745144,6654.553956348295,True,True
NZL,New Zealand,-91.14247,1890.5913437686493,1976.136341174292,-211.230513044791,4163.503195393375,-1765.1240900521072,5717.396772400692,True,True
CHE,Switzerland,2020.4288,2684.938564923456,2661.6350112910977,486.28320956777725,4836.986813014419,-936.740495603331,6260.010518185527,True,True
IRL,Ireland,1580.8341,1838.4057494587166,1522.1769749806142,-591.5759625820158,3635.9299125432444,-1950.7139963172774,4995.067946278506,True,True
