model,repeat,fold,n_train,n_test,rmse,mae
linear,0,0,84,22,1856.0041969658078,1595.6013777146356
linear,0,1,85,21,1879.9477733396805,1564.705085443778
linear,0,2,85,21,1994.2005727728115,1622.6069466582933
linear,0,3,85,21,1676.4424005663766,1247.1496227164885
linear,0,4,85,21,1698.023068058269,1283.6801581773489
linear,1,0,84,22,1760.5614069068915,1291.335210498973
linear,1,1,85,21,1926.9280639984684,1577.9821460527653
linear,1,2,85,21,1980.6082440139935,1518.5781794680552
linear,1,3,85,21,1502.2756388781067,1197.5531961300442
linear,1,4,85,21,1866.1917753222367,1523.260891759053
linear,2,0,84,22,1760.3587125112774,1317.2432507636113
linear,2,1,85,21,1594.7714130835539,1358.5863875233028
linear,2,2,85,21,2057.395658099887,1550.156438092732
linear,2,3,85,21,1322.1724212673985,1093.7405196147552
linear,2,4,85,21,2094.153872178667,1758.6878547648903
linear,3,0,84,22,2603.3759691160694,2070.151043899686
linear,3,1,85,21,1581.7330656772099,1258.1335497942414
linear,3,2,85,21,1643.7126532264701,1346.3104791353487
linear,3,3,85,21,1805.8039721986897,1483.6873854437672
linear,3,4,85,21,1683.203255311477,1322.228303403083
linear,4,0,84,22,1431.4576005968304,1202.2795175520216
linear,4,1,85,21,1637.76778280685,1453.3075494865957
linear,4,2,85,21,2204.545009074228,1752.814733766415
linear,4,3,85,21,2195.878869635853,1778.1222793110105
linear,4,4,85,21,1580.3554040119063,1232.0226252258024
linear,5,0,84,22,1468.463332632298,1156.3809442556505
linear,5,1,85,21,2364.6143032722034,1766.1688696588758
linear,5,2,85,21,2336.4819333146993,1947.1864460081244
linear,5,3,85,21,1837.6919505431918,1617.7309470714715
linear,5,4,85,21,1196.3202296087982,965.1947072569009
linear,6,0,84,22,2041.789797705708,1820.9951261604351
linear,6,1,85,21,1746.0682146024105,1297.1074957190317
linear,6,2,85,21,1599.2021422343066,1229.651468305531
linear,6,3,85,21,1632.2858451885152,1274.5774835372056
linear,6,4,85,21,2126.9740580064285,1680.328302784315
linear,7,0,84,22,1619.6838303246336,1187.9269468723915
linear,7,1,85,21,1718.1622096301628,1440.4035249467897
linear,7,2,85,21,2247.410301099111,1706.1834414002826
linear,7,3,85,21,1675.9083120972382,1447.3961616093916
linear,7,4,85,21,1950.1419224423876,1588.9716141708202
linear,8,0,84,22,2092.645977092189,1715.86225060534
linear,8,1,85,21,2138.41831838785,1701.6687322545429
linear,8,2,85,21,1468.3006040345715,1282.6795071755482
linear,8,3,85,21,1858.1636209711555,1610.280792924854
linear,8,4,85,21,1596.778850841771,1241.084366551398
linear,9,0,84,22,2064.050113462553,1605.552084666565
linear,9,1,85,21,1474.9831476501877,1253.7389756684674
linear,9,2,85,21,1974.2058004754833,1609.5680526170618
linear,9,3,85,21,1708.7265366326071,1256.4492376686862
linear,9,4,85,21,1791.2900621342242,1470.8454479257787
linear,10,0,84,22,2224.8790210547304,1630.0790318942877
linear,10,1,85,21,1458.1222674031046,1184.3330682846604
linear,10,2,85,21,1533.1941498122717,1277.727559386666
linear,10,3,85,21,2064.021395928394,1735.4722308480104
linear,10,4,85,21,1981.16259487302,1555.8346012569618
linear,11,0,84,22,1779.7727250475255,1468.8359241618962
linear,11,1,85,21,1624.3453637082803,1270.5370324011508
linear,11,2,85,21,2132.832248003921,1702.8116298725295
linear,11,3,85,21,1487.1274177826806,1207.0734785221534
linear,11,4,85,21,1599.065004395174,1252.6201165498615
linear,12,0,84,22,1712.7922142053583,1449.2304060641259
linear,12,1,85,21,1915.2657528807883,1514.0891214856306
linear,12,2,85,21,2351.1003832021634,1975.2036941265872
linear,12,3,85,21,1464.806707842111,1217.630826673969
linear,12,4,85,21,1401.1249449554275,1227.1193543522418
linear,13,0,84,22,1579.527002151345,1256.8354524274373
linear,13,1,85,21,1732.0709656370395,1364.20472095557
linear,13,2,85,21,1478.8271434152803,1308.1170513880843
linear,13,3,85,21,1984.1312750032375,1685.4242103079098
linear,13,4,85,21,2049.1801498288587,1522.4321117257662
linear,14,0,84,22,2155.954213292453,1812.2504617128916
linear,14,1,85,21,1647.7442933235484,1358.9692474619824
linear,14,2,85,21,2138.7328066356617,1693.0626668092493
linear,14,3,85,21,1428.0904515050959,1104.3189509927975
linear,14,4,85,21,1652.3390340206406,1357.0254403167467
linear,15,0,84,22,1478.9401748596267,1075.1850956345322
linear,15,1,85,21,1981.3567425667986,1579.6686457946735
linear,15,2,85,21,1385.5334645141493,1104.2728646920434
linear,15,3,85,21,1941.0555626198516,1608.4283542491335
linear,15,4,85,21,2256.1434525250615,1789.6490313876373
linear,16,0,84,22,1686.6915470907434,1261.6434473690651
linear,16,1,85,21,2323.614902945323,1868.6294995298636
linear,16,2,85,21,2026.9578279782545,1665.0847553690796
linear,16,3,85,21,1395.7427744212418,1060.7767274628477
linear,16,4,85,21,1411.1977440272851,1148.85211721112
linear,17,0,84,22,1895.7781195029345,1465.06865325167
linear,17,1,85,21,1713.307614855693,1413.7088334311022
linear,17,2,85,21,2255.4529960954933,1784.4372451919314
linear,17,3,85,21,1185.7363664457357,1035.0268069059584
linear,17,4,85,21,1661.5752496096864,1252.6709113462418
linear,18,0,84,22,1974.1954043605272,1583.7865896621158
