model,repeat,cv_r2,cv_rmse_pooled
linear,0,0.35100884014960776,1825.0999871771057
linear,1,0.35838239428221563,1814.702375028127
linear,2,0.37638196522082656,1789.0669982053346
linear,3,0.2898478905767362,1909.162793916013
linear,4,0.343490226981607,1835.6415068113056
linear,5,0.30066215396352114,1894.5705722058476
linear,6,0.33755955110137703,1843.9141321995533
linear,7,0.3298029282162712,1854.678059891312
linear,8,0.3315029058956709,1852.3243393637415
linear,9,0.3567548659424242,1817.0025059306336
linear,10,0.31108829415762695,1880.3948522497208
linear,11,0.4104173988496522,1739.560753331746
linear,12,0.36781833326365065,1801.3090046717996
linear,13,0.38485814738333535,1776.8669504682248
linear,14,0.3465770280123647,1831.3209799214537
linear,15,0.34401432439297075,1834.9086563021979
linear,16,0.36590220753097924,1804.0367989884217
linear,17,0.38417168896598186,1777.8581081744185
linear,18,0.2585276190710377,1950.8090461147553
linear,19,0.3043454780580308,1889.5747534944098
ridge,0,0.3795423805834871,1784.5278601417776
ridge,1,0.36785245300771674,1801.2603944108942
ridge,2,0.38016506248812276,1783.6321727441095
ridge,3,0.36524720163054814,1804.9683191459637
ridge,4,0.35739021364199575,1816.1049370990092
ridge,5,0.33831579313647364,1842.861325430097
ridge,6,0.3798819927838092,1784.0394058396435
ridge,7,0.3433059877655751,1835.8990608051079
ridge,8,0.37689243496914016,1788.3346175679126
ridge,9,0.40199112985350016,1751.9474867451286
ridge,10,0.3211615881716996,1866.5966232622345
ridge,11,0.41333645068137315,1735.2490853880556
ridge,12,0.4269256514456926,1715.0340866849635
ridge,13,0.4154717893904486,1732.0882256621132
ridge,14,0.3780373068059233,1786.6909565240112
ridge,15,0.381813836935591,1781.2583428499195
ridge,16,0.3851519247428068,1776.4426047521547
ridge,17,0.40042302111014105,1754.2429757412451
ridge,18,0.3658453861618628,1804.117626855786
ridge,19,0.3870856440787691,1773.6469169075958
huber,0,0.3480894337716477,1829.2003742394852
huber,1,0.3682244439260701,1800.7303353174184
huber,2,0.3905192442718385,1768.6718763630286
huber,3,0.3099088057654219,1882.0038794832037
huber,4,0.3652329689357263,1804.9885549127941
huber,5,0.3146869901188738,1875.4770741925863
huber,6,0.3437010163238461,1835.3467932019669
huber,7,0.3405771256528718,1839.7096038155546
huber,8,0.3506457805116362,1825.6104159290746
huber,9,0.3572281712737415,1816.3338998393765
huber,10,0.3064179619629017,1886.757957081904
huber,11,0.41658146284183906,1730.443338929785
huber,12,0.4000110484386582,1754.8455472961864
huber,13,0.3835881422777332,1778.700240258234
huber,14,0.36106235104730944,1810.908516449993
huber,15,0.3677810408723481,1801.3621334899524
huber,16,0.38985952409637004,1769.6288491041037
huber,17,0.36849779358670864,1800.3407331272879
huber,18,0.279474293202698,1923.056355617892
huber,19,0.3629732797453976,1808.198464572252
elastic_net,0,0.2738500984362049,1930.547149834533
elastic_net,1,0.26499570765073166,1942.281658991725
elastic_net,2,0.1461132925512727,2093.473163174302
elastic_net,3,0.2765939993003227,1926.8962207248983
elastic_net,4,0.19518272715184237,2032.431492848258
elastic_net,5,0.26623695092906796,1940.6409456166796
elastic_net,6,0.3308760347170576,1853.19262784494
elastic_net,7,0.3019380779694264,1892.8414854111456
elastic_net,8,0.28867855303941736,1910.7339625816796
elastic_net,9,0.2736509911206718,1930.8118057368672
elastic_net,10,0.1999174000885019,2026.4443618742948
elastic_net,11,0.2962887019335717,1900.4853812309045
elastic_net,12,0.3052300240310064,1888.3730453632866
elastic_net,13,0.2954595381011368,1901.6046966626686
elastic_net,14,0.28915826819795953,1910.089554457933
elastic_net,15,0.25043657856614765,1961.4239046738946
elastic_net,16,0.31492981094660555,1875.1447842491486
elastic_net,17,0.26590834873336555,1941.075437035388
elastic_net,18,0.2576915019385071,1951.9086456010136
elastic_net,19,0.2997697437044039,1895.7789975693177
random_forest,0,0.5006844557666933,1600.8653869151517
random_forest,1,0.5367813676923336,1541.9144606838063
random_forest,2,0.515228338678965,1577.378378208013
random_forest,3,0.5076571700084569,1589.6484111142886
random_forest,4,0.4901508950639496,1617.6631857635832
random_forest,5,0.5034016153795888,1596.5036755264773
random_forest,6,0.4306571133909225,1709.4414127925934
random_forest,7,0.49070522844951747,1616.7835445370474
random_forest,8,0.4953333745254197,1609.4206301276279
random_forest,9,0.5406921108663407,1535.3918251068922
random_forest,10,0.4471990269206998,1684.4249703579649
random_forest,11,0.5413449724737205,1534.3002318042172
random_forest,12,0.5134643356096991,1580.24568033593
random_forest,13,0.5260444637768789,1559.682041981022
random_forest,14,0.5323057152767231,1549.3455991142641
random_forest,15,0.5453029046413184,1527.6658185707704
random_forest,16,0.4986906582948788,1604.058379281561
random_forest,17,0.5471768741606395,1524.5145394466626
random_forest,18,0.5164838271499681,1575.3344630886827
random_forest,19,0.5017387350943288,1599.1744210024358
gradient_boosting,0,0.44070152623758363,1694.2952316155065
