iso3,stability_25,n_distinct_labels_25,stability_125,n_distinct_labels_125,country,conversion_profile
ALB,1.0,1,1.0,1,Albania,structurally vulnerable systems
AND,1.0,1,1.0,1,Andorra,effective converters
ARE,1.0,1,1.0,1,United Arab Emirates,capacity under-realizers
ARG,1.0,1,1.0,1,Argentina,capacity under-realizers
ARM,1.0,1,1.0,1,Armenia,uncertain / data-limited systems
ATG,1.0,1,1.0,1,Antigua and Barbuda,uncertain / data-limited systems
AUS,1.0,1,1.0,1,Australia,effective converters
AUT,1.0,1,0.84,2,Austria,capacity under-realizers
AZE,0.6,2,0.6,2,Azerbaijan,adaptive over-performers
BEL,0.8,2,0.48,2,Belgium,effective converters
BGR,1.0,1,1.0,1,Bulgaria,uncertain / data-limited systems
BHS,0.8,2,0.8,2,"Bahamas, The",adaptive over-performers
BIH,1.0,1,1.0,1,Bosnia and Herzegovina,structurally vulnerable systems
BLR,1.0,1,1.0,1,Belarus,capacity under-realizers
BLZ,1.0,1,1.0,1,Belize,uncertain / data-limited systems
BOL,1.0,1,1.0,1,Bolivia,structurally vulnerable systems
BRA,0.6,2,0.6,2,Brazil,structurally vulnerable systems
BRB,1.0,1,1.0,1,Barbados,adaptive over-performers
BRN,1.0,1,1.0,1,Brunei Darussalam,uncertain / data-limited systems
BTN,1.0,1,1.0,1,Bhutan,uncertain / data-limited systems
CAN,1.0,1,1.0,1,Canada,effective converters
CHE,1.0,1,0.8,2,Switzerland,effective converters
CHL,0.6,2,0.6,2,Chile,capacity under-realizers
COL,0.8,2,0.8,2,Colombia,capacity under-realizers
CPV,1.0,1,1.0,1,Cabo Verde,adaptive over-performers
CRI,1.0,1,1.0,1,Costa Rica,uncertain / data-limited systems
CYP,0.6,2,0.6,2,Cyprus,adaptive over-performers
CZE,1.0,1,1.0,1,Czechia,capacity under-realizers
DEU,1.0,1,0.6,2,Germany,effective converters
DNK,1.0,1,1.0,1,Denmark,effective converters
DOM,1.0,1,1.0,1,Dominican Republic,adaptive over-performers
DZA,0.8,2,0.8,2,Algeria,structurally vulnerable systems
ECU,1.0,1,1.0,1,Ecuador,structurally vulnerable systems
EGY,1.0,1,1.0,1,"Egypt, Arab Rep.",structurally vulnerable systems
ESP,1.0,1,0.88,2,Spain,capacity under-realizers
EST,1.0,1,1.0,1,Estonia,capacity under-realizers
FIN,1.0,1,1.0,1,Finland,effective converters
FJI,1.0,1,1.0,1,Fiji,adaptive over-performers
FRA,1.0,1,1.0,1,France,effective converters
GBR,1.0,1,0.88,2,United Kingdom,capacity under-realizers
GEO,1.0,1,1.0,1,Georgia,uncertain / data-limited systems
GRC,1.0,1,1.0,1,Greece,uncertain / data-limited systems
GTM,0.8,2,0.8,2,Guatemala,adaptive over-performers
HRV,1.0,1,1.0,1,Croatia,capacity under-realizers
HUN,1.0,1,1.0,1,Hungary,capacity under-realizers
IRL,0.6,2,0.6,2,Ireland,effective converters
IRN,1.0,1,1.0,1,"Iran, Islamic Rep.",structurally vulnerable systems
ISL,1.0,1,1.0,1,Iceland,effective converters
ISR,0.4,2,0.4,2,Israel,effective converters
ITA,1.0,1,1.0,1,Italy,capacity under-realizers
JAM,1.0,1,1.0,1,Jamaica,adaptive over-performers
JOR,1.0,1,1.0,1,Jordan,uncertain / data-limited systems
JPN,1.0,1,1.0,1,Japan,effective converters
KAZ,0.8,3,0.8,3,Kazakhstan,capacity under-realizers
KGZ,1.0,1,1.0,1,Kyrgyz Republic,adaptive over-performers
KNA,1.0,1,1.0,1,St. Kitts and Nevis,structurally vulnerable systems
KOR,0.48,4,0.48,4,"Korea, Rep.",effective converters
KWT,1.0,1,1.0,1,Kuwait,capacity under-realizers
LBN,1.0,1,1.0,1,Lebanon,structurally vulnerable systems
LTU,1.0,1,1.0,1,Lithuania,uncertain / data-limited systems
LUX,1.0,1,1.0,1,Luxembourg,effective converters
LVA,1.0,1,1.0,1,Latvia,uncertain / data-limited systems
