scheme,iso3,flip_rate,modal_profile,country,conversion_profile,modal_equals_baseline
block_only_flat,ALB,0.386,structurally vulnerable systems,Albania,structurally vulnerable systems,True
block_only_flat,AND,0.0,effective converters,Andorra,effective converters,True
block_only_flat,ARE,0.22199999999999998,capacity under-realizers,United Arab Emirates,capacity under-realizers,True
block_only_flat,ARG,0.33999999999999997,capacity under-realizers,Argentina,capacity under-realizers,True
block_only_flat,ARM,0.0,uncertain / data-limited systems,Armenia,uncertain / data-limited systems,True
block_only_flat,ATG,0.0,uncertain / data-limited systems,Antigua and Barbuda,uncertain / data-limited systems,True
block_only_flat,AUS,0.0,effective converters,Australia,effective converters,True
block_only_flat,AUT,0.18200000000000005,capacity under-realizers,Austria,capacity under-realizers,True
block_only_flat,AZE,0.44999999999999996,adaptive over-performers,Azerbaijan,adaptive over-performers,True
block_only_flat,BEL,0.06399999999999995,effective converters,Belgium,effective converters,True
block_only_flat,BGR,0.0,uncertain / data-limited systems,Bulgaria,uncertain / data-limited systems,True
block_only_flat,BHS,0.0,adaptive over-performers,"Bahamas, The",adaptive over-performers,True
block_only_flat,BIH,0.45599999999999996,structurally vulnerable systems,Bosnia and Herzegovina,structurally vulnerable systems,True
block_only_flat,BLR,0.21199999999999997,capacity under-realizers,Belarus,capacity under-realizers,True
block_only_flat,BLZ,0.0,uncertain / data-limited systems,Belize,uncertain / data-limited systems,True
block_only_flat,BOL,0.0,structurally vulnerable systems,Bolivia,structurally vulnerable systems,True
block_only_flat,BRA,0.36,structurally vulnerable systems,Brazil,structurally vulnerable systems,True
block_only_flat,BRB,0.008000000000000007,adaptive over-performers,Barbados,adaptive over-performers,True
block_only_flat,BRN,0.0,uncertain / data-limited systems,Brunei Darussalam,uncertain / data-limited systems,True
block_only_flat,BTN,0.0,uncertain / data-limited systems,Bhutan,uncertain / data-limited systems,True
block_only_flat,CAN,0.124,effective converters,Canada,effective converters,True
block_only_flat,CHE,0.20999999999999996,effective converters,Switzerland,effective converters,True
block_only_flat,CHL,0.538,structurally vulnerable systems,Chile,capacity under-realizers,False
block_only_flat,COL,0.44799999999999995,capacity under-realizers,Colombia,capacity under-realizers,True
block_only_flat,CPV,0.0,adaptive over-performers,Cabo Verde,adaptive over-performers,True
block_only_flat,CRI,0.0,uncertain / data-limited systems,Costa Rica,uncertain / data-limited systems,True
block_only_flat,CYP,0.32599999999999996,adaptive over-performers,Cyprus,adaptive over-performers,True
block_only_flat,CZE,0.0020000000000000018,capacity under-realizers,Czechia,capacity under-realizers,True
block_only_flat,DEU,0.0,effective converters,Germany,effective converters,True
block_only_flat,DNK,0.0,effective converters,Denmark,effective converters,True
block_only_flat,DOM,0.0,adaptive over-performers,Dominican Republic,adaptive over-performers,True
block_only_flat,DZA,0.22599999999999998,structurally vulnerable systems,Algeria,structurally vulnerable systems,True
