iso3,country,region,income_group,score,rank,ranking_method,weighting_method,normalization_method,imputation_method,feature_missing_count,feature_missing_rate,n_countries_in_sample,n_indicators
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.9999999999981642,1,marcos,critic,robust_minmax,knn,0,0.0,193,15
NOR,Norway,Europe & Central Asia,High income,0.9783122659076584,2,marcos,critic,robust_minmax,knn,0,0.0,193,15
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.96081864902058,3,marcos,critic,robust_minmax,knn,0,0.0,193,15
AUS,Australia,East Asia & Pacific,High income,0.9544531824990516,4,marcos,critic,robust_minmax,knn,0,0.0,193,15
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.9473207752470697,5,marcos,critic,robust_minmax,knn,0,0.0,193,15
ISL,Iceland,Europe & Central Asia,High income,0.9470035573968856,6,marcos,critic,robust_minmax,knn,0,0.0,193,15
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.9376829775009948,7,marcos,critic,robust_minmax,knn,0,0.0,193,15
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.9189199610512977,8,marcos,critic,robust_minmax,knn,0,0.0,193,15
IRL,Ireland,Europe & Central Asia,High income,0.907176776577857,9,marcos,critic,robust_minmax,knn,0,0.0,193,15
LUX,Luxembourg,Europe & Central Asia,High income,0.9032112945684789,10,marcos,critic,robust_minmax,knn,0,0.0,193,15
USA,United States,North America,High income,0.9027066847579331,11,marcos,critic,robust_minmax,knn,0,0.0,193,15
SWE,Sweden,Europe & Central Asia,High income,0.8927082444712089,12,marcos,critic,robust_minmax,knn,0,0.0,193,15
AND,Andorra,Europe & Central Asia,High income,0.8876644030804652,13,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
AUT,Austria,Europe & Central Asia,High income,0.8865548572788626,14,marcos,critic,robust_minmax,knn,0,0.0,193,15
CUB,Cuba,Latin America & Caribbean ,Upper middle income,0.8774798648961724,15,marcos,critic,robust_minmax,knn,0,0.0,193,15
DEU,Germany,Europe & Central Asia,High income,0.8772013169863252,16,marcos,critic,robust_minmax,knn,0,0.0,193,15
NZL,New Zealand,East Asia & Pacific,High income,0.8675084587700298,17,marcos,critic,robust_minmax,knn,0,0.0,193,15
BRN,Brunei Darussalam,East Asia & Pacific,High income,0.8591369317680593,18,marcos,critic,robust_minmax,knn,0,0.0,193,15
FRA,France,Europe & Central Asia,High income,0.845990128875348,19,marcos,critic,robust_minmax,knn,0,0.0,193,15
DNK,Denmark,Europe & Central Asia,High income,0.8411868410895785,20,marcos,critic,robust_minmax,knn,0,0.0,193,15
