variable,weight,n_countries_in_sample,n_indicators,mean_feature_missing_rate_before_imputation,max_feature_missing_rate_before_imputation
physicians_per_1000,0.05704654521810582,193,15,0.018652849740932627,0.2
nurses_midwives_per_1000,0.05176827573146016,193,15,0.018652849740932627,0.2
hospital_beds_per_1000,0.06543253363609833,193,15,0.018652849740932627,0.2
current_health_expenditure_per_capita_ppp,0.053007500882663046,193,15,0.018652849740932627,0.2
domestic_gov_health_expenditure_gdp,0.05362311940856322,193,15,0.018652849740932627,0.2
out_of_pocket_expenditure_share,0.07084812835546987,193,15,0.018652849740932627,0.2
uhc_service_coverage_index,0.049247496921878055,193,15,0.018652849740932627,0.2
measles_immunization_coverage,0.05511441771129022,193,15,0.018652849740932627,0.2
dpt_immunization_coverage,0.056127560040244974,193,15,0.018652849740932627,0.2
age65_share,0.18119422680056957,193,15,0.018652849740932627,0.2
population_density,0.1064516238437787,193,15,0.018652849740932627,0.2
life_expectancy,0.0483870234634091,193,15,0.018652849740932627,0.2
under5_mortality,0.04713636933877116,193,15,0.018652849740932627,0.2
adult_mortality_female,0.05080735320636036,193,15,0.018652849740932627,0.2
adult_mortality_male,0.053807825441337546,193,15,0.018652849740932627,0.2
