iso3,block,median_rank,mean_rank,rank_std,rank_p05,rank_p95,median_score,top_quartile_probability,bottom_quartile_probability,method_disagreement_index,n_valid_pipelines,n_countries_in_sample,n_indicators,country,region,income_group,expanded_feature_missing_count,expanded_feature_missing_rate
AFG,capacity,131.0,131.03333333333333,6.387400792880379,121.95,143.0,0.1192184810347886,0.0,0.0,0.10963541666666665,60,193,6,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0,0.0
AGO,capacity,189.0,188.9,0.9433981132056604,187.0,190.0,0.024439148677241892,0.0,1.0,0.015625,60,193,6,Angola,Sub-Saharan Africa ,Lower middle income,0,0.0
ALB,capacity,91.0,91.46666666666667,2.623398982660133,88.0,96.0,0.19806925891972954,0.0,0.0,0.041666666666666664,60,193,6,Albania,Europe & Central Asia,Upper middle income,1,0.0384615384615384
AND,capacity,39.0,33.8,11.420449494948379,13.0,47.0,0.32382072537011763,1.0,0.0,0.17708333333333334,60,193,6,Andorra,Europe & Central Asia,High income,4,0.1538461538461538
ARE,capacity,81.0,80.56666666666666,7.78110246401855,64.0,93.1,0.2092217333446087,0.0,0.0,0.15156249999999996,60,193,6,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,1,0.0384615384615384
ARG,capacity,32.0,31.95,3.6121323342314025,25.9,37.0,0.366510690905575,1.0,0.0,0.05781250000000001,60,193,6,Argentina,Latin America & Caribbean ,Upper middle income,1,0.0384615384615384
ARM,capacity,60.0,59.516666666666666,2.1793857442458924,57.0,62.099999999999994,0.2690513630252829,0.0,0.0,0.02656249999999997,60,193,6,Armenia,Europe & Central Asia,Upper middle income,0,0.0
ATG,capacity,76.0,76.13333333333334,1.2840906856172147,74.0,78.0,0.2230278045087037,0.0,0.0,0.020833333333333332,60,193,6,Antigua and Barbuda,Latin America & Caribbean ,High income,1,0.0384615384615384
AUS,capacity,12.0,12.733333333333333,1.6006942938057294,11.0,16.0,0.4775924274171526,1.0,0.0,0.026041666666666668,60,193,6,Australia,East Asia & Pacific,High income,1,0.0384615384615384
AUT,capacity,7.0,6.066666666666666,2.3299976156401727,2.0,9.0,0.5293204741157672,1.0,0.0,0.036458333333333336,60,193,6,Austria,Europe & Central Asia,High income,2,0.0769230769230769
AZE,capacity,83.0,83.65,3.2548681488912363,80.0,90.0,0.2066780269717563,0.0,0.0,0.052083333333333336,60,193,6,Azerbaijan,Europe & Central Asia,Upper middle income,0,0.0
BDI,capacity,135.0,133.56666666666666,7.729524924311685,119.95,145.2,0.10163949434946298,0.0,0.1,0.1315104166666666,60,193,6,Burundi,Sub-Saharan Africa ,Low income,1,0.0384615384615384
BEL,capacity,8.0,7.333333333333333,2.796823595120404,2.0,10.0,0.5147955009645232,1.0,0.0,0.041666666666666664,60,193,6,Belgium,Europe & Central Asia,High income,1,0.0384615384615384
BEN,capacity,191.0,191.5,0.8660254037844386,191.0,193.0,0.015672278299229667,0.0,1.0,0.010416666666666666,60,193,6,Benin,Sub-Saharan Africa ,Lower middle income,0,0.0
BFA,capacity,149.0,149.88333333333333,4.494780924089133,144.0,156.1,0.0863699704933746,0.0,0.9166666666666666,0.0630208333333333,60,193,6,Burkina Faso,Sub-Saharan Africa ,Low income,1,0.0384615384615384
BGD,capacity,189.0,188.68333333333334,1.0876835732673154,187.0,190.0,0.025548999944400255,0.0,1.0,0.015625,60,193,6,Bangladesh,South Asia,Lower middle income,0,0.0
BGR,capacity,38.0,37.8,3.1927000067863145,31.0,42.0,0.34030849196379515,1.0,0.0,0.057291666666666664,60,193,6,Bulgaria,Europe & Central Asia,High income,1,0.0384615384615384
BHR,capacity,118.0,116.45,5.5540525744720854,107.0,123.1,0.13881639667100334,0.0,0.0,0.08385416666666663,60,193,6,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,0,0.0
BHS,capacity,82.0,81.81666666666666,2.8313228160859527,78.0,87.0,0.2095248004204941,0.0,0.0,0.046875,60,193,6,"Bahamas, The",Latin America & Caribbean ,High income,1,0.0384615384615384
BIH,capacity,59.0,58.833333333333336,1.7810733343190062,57.0,63.0,0.2749850528588432,0.0,0.0,0.03125,60,193,6,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,1,0.0384615384615384
BLR,capacity,25.0,24.833333333333332,4.179978734661484,19.0,32.0,0.4138275369994347,1.0,0.0,0.06770833333333333,60,193,6,Belarus,Europe & Central Asia,Upper middle income,2,0.0769230769230769
BLZ,capacity,130.5,131.23333333333332,4.81790641484683,126.0,143.0,0.11194421221010661,0.0,0.0,0.08854166666666667,60,193,6,Belize,Latin America & Caribbean ,Upper middle income,0,0.0
BOL,capacity,117.0,116.91666666666667,2.253084305765962,114.0,123.0,0.14086749990973846,0.0,0.0,0.046875,60,193,6,Bolivia,Latin America & Caribbean ,Lower middle income,0,0.0
BRA,capacity,56.0,56.2,1.5143755588800727,54.0,59.0,0.28705851927071013,0.0,0.0,0.026041666666666668,60,193,6,Brazil,Latin America & Caribbean ,Upper middle income,1,0.0384615384615384
BRB,capacity,64.0,65.05,3.3686050525402944,61.95,73.0,0.24995879402956223,0.0,0.0,0.057552083333333316,60,193,6,Barbados,Latin America & Caribbean ,High income,0,0.0
BRN,capacity,99.0,97.23333333333333,6.406680541087994,84.0,104.0,0.18373980217699348,0.0,0.0,0.10416666666666667,60,193,6,Brunei Darussalam,East Asia & Pacific,High income,2,0.0769230769230769
