iso3,country,region,income_group,population_total,gdp_per_capita_ppp,expanded_feature_missing_count,expanded_feature_missing_rate,capacity_score,capacity_rank,capacity_n_indicators,capacity_missing_rate,equity_access_score,equity_access_rank,equity_access_n_indicators,equity_access_missing_rate,preparedness_score,preparedness_rank,preparedness_n_indicators,preparedness_missing_rate,vulnerability_score,vulnerability_rank,vulnerability_n_indicators,vulnerability_missing_rate,full_potential_capacity_score,full_potential_capacity_rank,n_countries_in_expanded_sample,n_expanded_indicators
NOR,Norway,Europe & Central Asia,High income,5271981.2,86719.24447419781,1,0.0384615384615384,0.8893379752351854,4,6,0.0,0.7805652809776883,46,7,0.14285714285714285,0.9626152623871939,22,4,0.0,0.811761696495954,3,9,0.0,0.8610700537740054,1,193,26
DEU,Germany,Europe & Central Asia,High income,82538205.2,61415.77792173739,1,0.0384615384615384,0.9836246709352093,1,6,0.0,0.8046224756086403,32,7,0.14285714285714285,0.938569393744255,48,4,0.0,0.7063349549289141,54,9,0.0,0.8582878738042546,2,193,26
SWE,Sweden,Europe & Central Asia,High income,10046814.0,60396.72420983265,1,0.0384615384615384,0.8642630286716789,7,6,0.0,0.7899732140884674,41,7,0.14285714285714285,0.9787664702575455,9,4,0.0,0.7824609132483888,13,9,0.0,0.8538659065665202,3,193,26
JPN,Japan,East Asia & Pacific,High income,126926600.0,44241.5040137313,2,0.0769230769230769,0.8801047100926818,6,6,0.0,0.8303401273585788,20,7,0.14285714285714285,0.9594706969478521,25,4,0.25,0.7014535847653254,59,9,0.0,0.8428422797911096,4,193,26
FRA,France,Europe & Central Asia,High income,66946161.0,51914.4090928855,1,0.0384615384615384,0.8816586691752235,5,6,0.0,0.8161123571303338,28,7,0.14285714285714285,0.9149891975859357,70,4,0.0,0.7485342291560318,29,9,0.0,0.8403236132618811,5,193,26
AUS,Australia,East Asia & Pacific,High income,24579514.8,56997.65380824027,1,0.0384615384615384,0.8291484874562962,11,6,0.0,0.7695477133590953,55,7,0.14285714285714285,0.9423188888894607,41,4,0.0,0.806195960811031,5,9,0.0,0.8368027626289708,6,193,26
CUB,Cuba,Latin America & Caribbean ,Upper middle income,11243694.0,,0,0.0,0.7871430913252367,13,6,0.0,0.8937922913843265,6,7,0.0,0.9783278220181519,10,4,0.0,0.6844729033931781,76,9,0.0,0.8359340270302232,7,193,26
DNK,Denmark,Europe & Central Asia,High income,5756906.2,64990.34726665368,1,0.0384615384615384,0.8524434355787608,9,6,0.0,0.8022415176584646,33,7,0.14285714285714285,0.9525678705184301,34,4,0.0,0.728529526762817,38,9,0.0,0.8339455876296181,8,193,26
BEL,Belgium,Europe & Central Asia,High income,11379362.0,58755.50384858488,1,0.0384615384615384,0.9142151453801022,2,6,0.0,0.7530172216525302,61,7,0.14285714285714285,0.9679362773203304,18,4,0.0,0.6881062591222258,72,9,0.0,0.8308187258687971,9,193,26
AUT,Austria,Europe & Central Asia,High income,8779474.8,62689.53994096598,2,0.0769230769230769,0.9136190221246517,3,6,0.0,0.737110994535708,73,7,0.14285714285714285,0.8979830596659448,81,4,0.25,0.7733998042913311,17,9,0.0,0.830528220154409,10,193,26
ISL,Iceland,Europe & Central Asia,High income,344587.6,63798.0048568851,1,0.0384615384615384,0.7553247390699022,15,6,0.0,0.800640452238409,37,7,0.14285714285714285,0.9119917168674699,73,4,0.0,0.8111782215564786,4,9,0.0,0.8197837824330648,11,193,26
