iso3,country,bottleneck_block,bottleneck_probability,n_simulations,coverage_count,missing_count,missing_rate
NOR,Norway,capacity,0.0,1000,106,0,0.0
NOR,Norway,preparedness,0.0,1000,106,0,0.0
NOR,Norway,vulnerability,0.196,1000,106,0,0.0
NOR,Norway,equity_access,0.804,1000,106,0,0.0
DEU,Germany,capacity,0.0,1000,106,0,0.0
DEU,Germany,preparedness,0.0,1000,106,0,0.0
DEU,Germany,vulnerability,0.999,1000,106,0,0.0
DEU,Germany,equity_access,0.001,1000,106,0,0.0
SWE,Sweden,capacity,0.003,1000,106,0,0.0
SWE,Sweden,preparedness,0.0,1000,106,0,0.0
SWE,Sweden,vulnerability,0.565,1000,106,0,0.0
SWE,Sweden,equity_access,0.432,1000,106,0,0.0
JPN,Japan,capacity,0.0,1000,106,0,0.0
JPN,Japan,preparedness,0.0,1000,106,0,0.0
JPN,Japan,vulnerability,1.0,1000,106,0,0.0
JPN,Japan,equity_access,0.0,1000,106,0,0.0
FRA,France,capacity,0.0,1000,106,0,0.0
FRA,France,preparedness,0.0,1000,106,0,0.0
FRA,France,vulnerability,0.976,1000,106,0,0.0
FRA,France,equity_access,0.024,1000,106,0,0.0
AUS,Australia,capacity,0.036,1000,106,0,0.0
AUS,Australia,preparedness,0.0,1000,106,0,0.0
AUS,Australia,vulnerability,0.124,1000,106,0,0.0
AUS,Australia,equity_access,0.84,1000,106,0,0.0
DNK,Denmark,capacity,0.0,1000,106,0,0.0
DNK,Denmark,preparedness,0.0,1000,106,0,0.0
DNK,Denmark,vulnerability,0.977,1000,106,0,0.0
DNK,Denmark,equity_access,0.023,1000,106,0,0.0
BEL,Belgium,capacity,0.0,1000,106,0,0.0
BEL,Belgium,preparedness,0.0,1000,106,0,0.0
BEL,Belgium,vulnerability,0.969,1000,106,0,0.0
BEL,Belgium,equity_access,0.031,1000,106,0,0.0
AUT,Austria,capacity,0.0,1000,106,0,0.0
AUT,Austria,preparedness,0.0,1000,106,0,0.0
AUT,Austria,vulnerability,0.153,1000,106,0,0.0
AUT,Austria,equity_access,0.847,1000,106,0,0.0
ISL,Iceland,capacity,0.861,1000,106,0,0.0
ISL,Iceland,preparedness,0.0,1000,106,0,0.0
ISL,Iceland,vulnerability,0.048,1000,106,0,0.0
ISL,Iceland,equity_access,0.091,1000,106,0,0.0
FIN,Finland,capacity,0.304,1000,106,0,0.0
FIN,Finland,preparedness,0.0,1000,106,0,0.0
FIN,Finland,vulnerability,0.323,1000,106,0,0.0
FIN,Finland,equity_access,0.373,1000,106,0,0.0
LUX,Luxembourg,capacity,0.993,1000,106,0,0.0
LUX,Luxembourg,preparedness,0.0,1000,106,0,0.0
LUX,Luxembourg,vulnerability,0.007,1000,106,0,0.0
LUX,Luxembourg,equity_access,0.0,1000,106,0,0.0
CZE,Czechia,capacity,0.21,1000,106,0,0.0
CZE,Czechia,preparedness,0.0,1000,106,0,0.0
CZE,Czechia,vulnerability,0.79,1000,106,0,0.0
CZE,Czechia,equity_access,0.0,1000,106,0,0.0
USA,United States,capacity,0.0,1000,106,0,0.0
USA,United States,preparedness,0.0,1000,106,0,0.0
USA,United States,vulnerability,0.387,1000,106,0,0.0
USA,United States,equity_access,0.613,1000,106,0,0.0
SVN,Slovenia,capacity,0.998,1000,106,0,0.0
SVN,Slovenia,preparedness,0.0,1000,106,0,0.0
SVN,Slovenia,vulnerability,0.002,1000,106,0,0.0
SVN,Slovenia,equity_access,0.0,1000,106,0,0.0
NZL,New Zealand,capacity,0.998,1000,106,0,0.0
NZL,New Zealand,preparedness,0.0,1000,106,0,0.0
NZL,New Zealand,vulnerability,0.002,1000,106,0,0.0
NZL,New Zealand,equity_access,0.0,1000,106,0,0.0
CHE,Switzerland,capacity,0.0,1000,106,0,0.0
CHE,Switzerland,preparedness,0.0,1000,106,0,0.0
CHE,Switzerland,vulnerability,0.002,1000,106,0,0.0
CHE,Switzerland,equity_access,0.998,1000,106,0,0.0
IRL,Ireland,capacity,0.945,1000,106,0,0.0
IRL,Ireland,preparedness,0.0,1000,106,0,0.0
IRL,Ireland,vulnerability,0.0,1000,106,0,0.0
IRL,Ireland,equity_access,0.055,1000,106,0,0.0
CAN,Canada,capacity,0.643,1000,106,0,0.0
CAN,Canada,preparedness,0.0,1000,106,0,0.0
CAN,Canada,vulnerability,0.063,1000,106,0,0.0
CAN,Canada,equity_access,0.294,1000,106,0,0.0
NLD,Netherlands,capacity,0.0,1000,106,0,0.0
NLD,Netherlands,preparedness,0.0,1000,106,0,0.0
NLD,Netherlands,vulnerability,1.0,1000,106,0,0.0
NLD,Netherlands,equity_access,0.0,1000,106,0,0.0
MDV,Maldives,capacity,1.0,1000,106,0,0.0
MDV,Maldives,preparedness,0.0,1000,106,0,0.0
MDV,Maldives,vulnerability,0.0,1000,106,0,0.0
MDV,Maldives,equity_access,0.0,1000,106,0,0.0
GBR,United Kingdom,capacity,0.608,1000,106,0,0.0
