iso3,country,region,income_group,median_rank,mean_rank,rank_std,rank_p05,rank_p95,median_score,top10_probability,top_quartile_probability,bottom_quartile_probability,rank_instability_index,method_disagreement_index,feature_missing_count,feature_missing_rate,n_valid_pipelines,n_countries_in_sample,n_indicators
NOR,Norway,Europe & Central Asia,High income,2.0,4.857142857142857,11.93309010507263,1.0,16.0,0.7505372768556563,0.9285714285714286,0.9857142857142858,0.0,0.062151510963919944,0.078125,0,0.0,420,193,15
CHE,Switzerland,Europe & Central Asia,High income,3.0,10.547619047619047,22.517614672108188,1.0,30.0,0.7232214605490173,0.7333333333333333,0.9642857142857143,0.014285714285714285,0.11727924308389681,0.15104166666666666,0,0.0,420,193,15
DEU,Germany,Europe & Central Asia,High income,4.0,13.833333333333334,29.67194977035724,1.0,90.04999999999995,0.7270882342852097,0.8571428571428571,0.9,0.014285714285714285,0.15454140505394395,0.4638020833333331,0,0.0,420,193,15
USA,United States,North America,High income,6.0,7.530952380952381,10.958427678650283,1.0,19.0,0.7207333905200348,0.7761904761904762,0.9785714285714285,0.0,0.05707514415963689,0.09375,0,0.0,420,193,15
JPN,Japan,East Asia & Pacific,High income,6.0,20.10238095238095,36.25382073851789,3.0,108.49999999999955,0.6900401877483129,0.6523809523809524,0.8904761904761904,0.02857142857142857,0.188821983013114,0.5494791666666643,0,0.0,420,193,15
AUT,Austria,Europe & Central Asia,High income,7.0,12.676190476190476,21.078648749542175,2.0,55.09999999999991,0.7151488862408789,0.7476190476190476,0.9357142857142857,0.007142857142857143,0.10978462890386549,0.27656249999999954,0,0.0,420,193,15
BEL,Belgium,Europe & Central Asia,High income,8.0,14.32857142857143,24.043247598900628,3.0,52.049999999999955,0.7127209443067177,0.7357142857142858,0.9452380952380952,0.014285714285714285,0.12522524791094078,0.25546874999999974,0,0.0,420,193,15
CUB,Cuba,Latin America & Caribbean ,Upper middle income,9.0,12.880952380952381,12.319172786376104,5.0,23.0,0.7059913315808523,0.5595238095238095,0.9785714285714285,0.0,0.06416235826237554,0.09375,0,0.0,420,193,15
SWE,Sweden,Europe & Central Asia,High income,9.0,16.340476190476192,22.58446115114391,3.0,58.19999999999982,0.6952853734946681,0.6047619047619047,0.9285714285714286,0.011904761904761904,0.11762740182887453,0.28749999999999903,0,0.0,420,193,15
LUX,Luxembourg,Europe & Central Asia,High income,10.0,10.864285714285714,11.154890480531536,4.0,15.0,0.7299063324617663,0.6095238095238096,0.9785714285714285,0.0,0.058098387919435085,0.057291666666666664,0,0.0,420,193,15
