iso3,country,conversion_profile,capacity,equity_access,preparedness,vulnerability,weakest_bottleneck_block,weakest_bottleneck_gap,second_bottleneck_block,conversion_efficiency_zscore,realized_resilience_gap,method_disagreement_index,expanded_feature_missing_rate,n_validation_countries,missing_count_from_profile_sample,missing_rate_from_profile_sample
BGR,Bulgaria,uncertain / data-limited systems,0.0035338650491735235,-0.142211414537453,-0.02856193843078969,-0.13274770376928202,equity_access,-0.142211414537453,vulnerability,-2.9737986660169526,4779.430896955538,0.3341145833333332,0.0384615384615384,106,0,0.0
BLR,Belarus,capacity under-realizers,0.30393039256496823,0.060766689603379276,0.10365023165705722,-0.06926263580015768,vulnerability,-0.06926263580015768,equity_access,-2.934826273506603,4716.795231999199,0.0885416666666666,0.0769230769230769,106,0,0.0
RUS,Russian Federation,uncertain / data-limited systems,-0.005323523430150745,-0.09942061336997332,0.0026987253056347527,-0.1436985576223545,vulnerability,-0.1436985576223545,equity_access,-2.470496319302296,3970.5332355613527,0.2453125,0.0769230769230769,106,0,0.0
LTU,Lithuania,uncertain / data-limited systems,0.060431793227183506,-0.089823711789486,-0.044321210052453264,-0.08419734522345201,equity_access,-0.089823711789486,vulnerability,-2.3127216878494723,3716.960942003434,0.2395833333333333,0.0384615384615384,106,0,0.0
MKD,North Macedonia,structurally vulnerable systems,0.12748825603545472,0.021041696753423822,-0.007389332231432455,0.0004932931102286098,preparedness,-0.007389332231432455,vulnerability,-1.9749679976206704,3174.129834744109,0.09453125,0.0,106,0,0.0
ARM,Armenia,uncertain / data-limited systems,0.12656574355900663,-0.22206273100364982,0.06499980649461379,-0.03995212819185423,equity_access,-0.22206273100364982,vulnerability,-1.948283078005972,3131.2423552564387,0.2875,0.0,106,0,0.0
KNA,St. Kitts and Nevis,structurally vulnerable systems,-0.17979933906796824,-0.1773438216486768,0.00513001586517936,-0.030588597648837257,capacity,-0.17979933906796824,equity_access,-1.701148507271733,2734.0525197202314,0.11015625,0.0769230769230769,106,0,0.0
SRB,Serbia,uncertain / data-limited systems,0.22016330737535017,-0.06906703449705964,0.042097498212318896,-0.047718349455004194,equity_access,-0.06906703449705964,vulnerability,-1.633899587921958,2625.971375357598,0.2299479166666666,0.0384615384615384,106,0,0.0
MEX,Mexico,structurally vulnerable systems,-0.08285910383347089,0.0,-0.01703179386353859,0.009097491130401147,capacity,-0.08285910383347089,preparedness,-1.486708186644193,2389.408241789657,0.09375,0.0,106,0,0.0
SVK,Slovak Republic,capacity under-realizers,-0.0035338650491734125,0.0483492825564279,0.025406335349806297,-0.010095770765099488,vulnerability,-0.010095770765099488,capacity,-1.403125347198939,2255.0755413735355,0.0942708333333333,0.0384615384615384,106,0,0.0
PER,Peru,structurally vulnerable systems,-0.12766086615971348,-0.023216726874639937,-0.06086704181138214,0.025606216211114807,capacity,-0.12766086615971348,preparedness,-1.4011048502138164,2251.828238242945,0.0992187499999999,0.0384615384615384,106,0,0.0
BOL,Bolivia,structurally vulnerable systems,-0.0611119718576284,-0.0865648281060194,-0.14850594187017596,-0.0392605373114725,preparedness,-0.14850594187017596,equity_access,-1.325734067260284,2130.69379397395,0.0520833333333333,0.0,106,0,0.0
USA,United States,capacity under-realizers,0.25769433801232744,-0.05844625820938498,-0.023011225571154093,0.00496859356758228,equity_access,-0.05844625820938498,preparedness,-1.2162711675864122,1954.767168291395,0.1007812499999998,0.0769230769230769,106,0,0.0
ECU,Ecuador,structurally vulnerable systems,0.0,0.04047297039402764,-0.07919852129364846,0.08666896346247177,preparedness,-0.07919852129364846,capacity,-1.1482947056593773,1845.5167317664025,0.1432291666666666,0.0,106,0,0.0
ALB,Albania,structurally vulnerable systems,-0.012153387688322193,-0.13756116726183287,0.12129780168251103,0.09830335418537639,equity_access,-0.13756116726183287,capacity,-1.0962818877303866,1761.922750812574,0.0942708333333333,0.0384615384615384,106,0,0.0
GEO,Georgia,uncertain / data-limited systems,0.1625204604650895,-0.14815566042857664,0.03575761076866146,-0.04616619442835457,equity_access,-0.14815566042857664,vulnerability,-1.0003330580650351,1607.7156734237342,0.3041666666666665,0.0,106,0,0.0
HRV,Croatia,capacity under-realizers,-0.0044254432860905135,0.07710802320016363,-0.021699001515466443,-0.01582128259267157,preparedness,-0.021699001515466443,vulnerability,-0.9834110417905212,1580.5189407244347,0.0682291666666666,0.0384615384615384,106,0,0.0
BIH,Bosnia and Herzegovina,structurally vulnerable systems,0.14709074645883663,0.0508177220318109,-0.16568661410516183,0.008321104747531671,preparedness,-0.16568661410516183,vulnerability,-0.9596367221199305,1542.309320387255,0.125,0.0384615384615384,106,0,0.0
ROU,Romania,capacity under-realizers,-0.05707392299865577,0.02184330314467553,-0.12279242591229067,-0.0723779118272857,preparedness,-0.12279242591229067,vulnerability,-0.9351231409706718,1502.9115734991929,0.0575520833333333,0.0384615384615384,106,0,0.0
COL,Colombia,capacity under-realizers,0.00822281578801154,0.10511931434927613,0.03804836302524861,0.08051835563655674,capacity,0.00822281578801154,preparedness,-0.781604416073713,1256.1792894954178,0.2158854166666666,0.0,106,0,0.0
KWT,Kuwait,capacity under-realizers,-0.20153716956251083,0.10019356508503596,0.02129012462106472,-0.014642152750564907,capacity,-0.20153716956251083,vulnerability,-0.7687710647710952,1235.5537789562768,0.1429687499999999,0.0384615384615384,106,0,0.0
NIC,Nicaragua,uncertain / data-limited systems,-0.04321018473675681,0.02034314937710735,0.03402997136797303,0.08407257188895312,capacity,-0.04321018473675681,equity_access,-0.7539005103194539,1211.6541154675483,0.29921875,0.1538461538461538,106,0,0.0
MDV,Maldives,capacity under-realizers,0.19608909304309785,0.10422515576443525,0.11894663927861282,0.11657355017654925,equity_access,0.10422515576443525,vulnerability,-0.67968481209664,1092.376100725436,0.2039062499999999,0.0,106,0,0.0
PRY,Paraguay,structurally vulnerable systems,-0.11586270414716768,-0.045463223809035,-0.024351914353683446,0.05686301034202157,capacity,-0.11586270414716768,equity_access,-0.662493602753887,1064.746726205999,0.1216145833333333,0.0,106,0,0.0
CZE,Czechia,capacity under-realizers,0.13335755291935703,0.06899581888920436,0.019292140617157894,-0.024296328680240453,vulnerability,-0.024296328680240453,preparedness,-0.6262960857776176,1006.5707867900423,0.03671875,0.0769230769230769,106,0,0.0
BRN,Brunei Darussalam,uncertain / data-limited systems,-0.29686506363461584,0.13455758882385116,0.004371340401143953,0.029653508773682558,capacity,-0.29686506363461584,preparedness,-0.5677898989411297,912.5407906693268,0.2921875,0.0769230769230769,106,0,0.0
ARG,Argentina,capacity under-realizers,0.30789847006456317,0.022205412780815337,0.0,0.01895010037117084,preparedness,0.0,vulnerability,-0.5607786651550956,901.2724732254856,0.171875,0.0384615384615384,106,0,0.0
ARE,United Arab Emirates,capacity under-realizers,-0.2519700147968513,0.02800623291140647,0.06058015868243771,0.07026017931918793,capacity,-0.2519700147968513,equity_access,-0.5549371955598688,891.8841778489033,0.1830729166666666,0.0384615384615384,106,0,0.0
SGP,Singapore,uncertain / data-limited systems,-0.18645377656827994,-0.1052637325323621,0.004595813876230537,-0.015981813237392783,capacity,-0.18645377656827994,equity_access,-0.4875587587834289,783.5948756180959,0.3541666666666667,0.0384615384615384,106,0,0.0
POL,Poland,capacity under-realizers,-0.05660458436883331,-0.000283294121533495,-0.0007170307913012541,-0.04180505299301207,capacity,-0.05660458436883331,vulnerability,-0.4849502246418017,779.4024907015491,0.0520833333333333,0.0769230769230769,106,0,0.0
CHL,Chile,capacity under-realizers,-0.16047450002949565,-0.09680006046113065,-0.017154010556601262,0.025494193675935528,capacity,-0.16047450002949565,equity_access,-0.4843600852495627,778.4540302435466,0.21875,0.0384615384615384,106,0,0.0
QAT,Qatar,capacity under-realizers,-0.25440215663315513,0.17763916488771836,0.04050728413679716,-0.01878543963797763,capacity,-0.25440215663315513,vulnerability,-0.4525986143987932,727.4076171653402,0.1893229166666666,0.0,106,0,0.0
TUN,Tunisia,structurally vulnerable systems,-0.0601860971234911,0.04051625848003737,0.037824185025323254,0.07538213855143272,capacity,-0.0601860971234911,preparedness,-0.4489517211649329,721.5464018789821,0.2041666666666667,0.0,106,0,0.0
BRA,Brazil,structurally vulnerable systems,0.14844028576145712,0.00039941167617452145,-0.024212569040713672,0.021892866859096527,preparedness,-0.024212569040713672,equity_access,-0.3839098364391619,617.0123602819649,0.14609375,0.0384615384615384,106,0,0.0
LBN,Lebanon,structurally vulnerable systems,0.06842680879322532,-0.05781049403195737,-0.12874039491065892,0.0,preparedness,-0.12874039491065892,equity_access,-0.3017767585291441,485.0096881740485,0.1984374999999999,0.0384615384615384,106,0,0.0
EGY,"Egypt, Arab Rep.",structurally vulnerable systems,-0.1712613073641603,-0.061680618787017916,0.015434605472161023,-0.08368189752537603,capacity,-0.1712613073641603,vulnerability,-0.2483728210133884,399.1799271015716,0.0677083333333333,0.0,106,0,0.0
ITA,Italy,capacity under-realizers,0.051901142728225325,-0.039544220817619435,-0.02833176819778771,0.029810473794977366,equity_access,-0.039544220817619435,preparedness,-0.184799946246096,297.00684950111554,0.1109374999999999,0.0384615384615384,106,0,0.0
JOR,Jordan,uncertain / data-limited systems,0.0,0.018040052161037767,0.020384604386796235,0.0632294615041854,capacity,0.0,equity_access,-0.1794080091690193,288.3410339719369,0.2307291666666666,0.0384615384615384,106,0,0.0
IRN,"Iran, Islamic Rep.",structurally vulnerable systems,-0.05681856315116007,-0.03267450440695541,0.12823421140836744,0.039183096720466715,capacity,-0.05681856315116007,equity_access,-0.1362060818612195,218.90774363440323,0.1828124999999999,0.0769230769230769,106,0,0.0
CRI,Costa Rica,uncertain / data-limited systems,-0.23592879230448371,0.07878406420048556,-0.013906808778039292,0.058024984758972664,capacity,-0.23592879230448371,preparedness,-0.1219216033291474,195.9500098700912,0.22421875,0.0,106,0,0.0
PAN,Panama,structurally vulnerable systems,-0.22068521458515272,-0.14077751288883789,-0.12621976069683494,0.06324504221876004,capacity,-0.22068521458515272,equity_access,-0.1218147392945074,195.77826008932493,0.1044270833333333,0.0384615384615384,106,0,0.0
ZAF,South Africa,uncertain / data-limited systems,-0.034794616073926976,-0.009605111721047166,-0.5388900533709164,-0.2022699415402604,preparedness,-0.5388900533709164,vulnerability,-0.117049907565842,188.12031597797068,0.2294270833333333,0.0384615384615384,106,0,0.0
