iso3,country,region,income_group,conversion_profile,profile_rule,potential_capacity_score,observed_shock_burden,predicted_shock_burden,realized_resilience_gap,conversion_efficiency_zscore,conversion_efficiency_percentile,capacity_score,preparedness_score,vulnerability_score,equity_access_score,method_disagreement_index,expanded_feature_missing_rate,n_validation_countries,profile_n,profile_missing_rate_mean,likely_conversion_bottleneck_blocks,diagnostic_note
BLR,Belarus,Europe & Central Asia,Upper middle income,capacity under-realizers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.751985191892442,9591.885,4875.089768000801,4716.795231999199,-2.934826273506603,-0.07547169811320753,0.6506495746089037,0.9549718293872288,0.6122043999499703,0.7901149636236653,0.0885416666666666,0.0769230769230769,106,23,0.04180602006688959,"vulnerability,capacity",Decision-support scenario only; no causal policy claim.
SVK,Slovak Republic,Europe & Central Asia,High income,capacity under-realizers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.7754658787366955,5343.659,3088.583458626464,2255.0755413735355,-1.4031253471989393,-0.34905660377358494,0.5938029528903954,0.962316136506726,0.7173988313513748,0.8283455941982859,0.0942708333333333,0.0384615384615384,106,23,0.04180602006688959,"capacity,vulnerability",Decision-support scenario only; no causal policy claim.
MNG,Mongolia,East Asia & Pacific,Upper middle income,adaptive over-performers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.6032546228987976,211.21863,4120.190967719567,-3908.9723377195673,2.432192655157404,0.7641509433962265,0.4314765764284001,0.7677104522967445,0.5775556570056546,0.6362758058643913,0.2138020833333333,0.0,106,20,0.01730769230769229,"capacity,vulnerability",Decision-support scenario only; no causal policy claim.
SLV,El Salvador,Latin America & Caribbean ,Upper middle income,adaptive over-performers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.6480007768591318,753.09076,3357.5152904910974,-2604.4245304910974,1.6204929753142339,0.5754716981132075,0.3694577590601324,0.8834736436967887,0.5989970298532373,0.740074674826369,0.0578124999999999,0.0,106,20,0.01730769230769229,"capacity,vulnerability",Decision-support scenario only; no causal policy claim.
DNK,Denmark,Europe & Central Asia,High income,effective converters,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.8339455876296181,674.96173,2984.4210130255883,-2309.4592830255883,1.4369633295580748,0.37735849056603776,0.8524434355787608,0.95256787051843,0.728529526762817,0.8022415176584646,0.0833333333333333,0.0384615384615384,106,20,0.0538461538461538,"vulnerability,equity_access",Decision-support scenario only; no causal policy claim.
JPN,Japan,East Asia & Pacific,High income,effective converters,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.8428422797911096,859.7607,3114.2401415601903,-2254.47944156019,1.4027544493100577,0.4528301886792453,0.8801047100926818,0.959470696947852,0.7014535847653254,0.8303401273585788,0.0427083333333332,0.0769230769230769,106,20,0.0538461538461538,"vulnerability,equity_access",Decision-support scenario only; no causal policy claim.
MKD,North Macedonia,Europe & Central Asia,Upper middle income,structurally vulnerable systems,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.687622500803049,7957.562,4783.432165255891,3174.129834744109,-1.9749679976206702,-0.037735849056603765,0.4742074380793902,0.8439322654987391,0.6819603288603566,0.7503899707737098,0.09453125,0.0,106,16,0.024038461538461516,"capacity,vulnerability",Decision-support scenario only; no causal policy claim.
KNA,St. Kitts and Nevis,Latin America & Caribbean ,High income,structurally vulnerable systems,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.6647839475886296,4525.9116,1791.8590802797687,2734.0525197202314,-1.701148507271733,-0.6226415094339623,0.4175374788716006,0.942039817022099,0.6969060044676371,0.6026524899931812,0.11015625,0.0769230769230769,106,16,0.024038461538461516,"capacity,equity_access",Decision-support scenario only; no causal policy claim.
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,uncertain / data-limited systems,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.7422932540057879,1495.4257,2533.374821304886,-1037.9491213048861,0.6458199268653755,0.018867924528301883,0.6949066120095724,0.9452842452889392,0.64959822247046,0.6793839362541803,0.3864583333333333,0.0384615384615384,106,27,0.04700854700854697,"vulnerability,equity_access",Decision-support scenario only; no causal policy claim.
BLZ,Belize,Latin America & Caribbean ,Upper middle income,uncertain / data-limited systems,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.6459885184203296,1799.2277,2882.045701885422,-1082.8180018854223,0.6737376894803904,0.028301886792452824,0.1845481518563255,0.8652466029814967,0.7259879734102914,0.8081713454332043,0.3708333333333333,0.0,106,27,0.04700854700854697,"capacity,vulnerability",Decision-support scenario only; no causal policy claim.
