iso3,country,potential_capacity_score,median_potential_capacity_rank,observed_shock_burden,predicted_shock_burden,realized_resilience_gap,conversion_efficiency_zscore,conversion_efficiency_percentile,expected_burden_percentile,observed_burden_percentile,higher_efficiency_is_better,method_disagreement_index,expanded_feature_missing_rate,n_validation_countries,missing_count_from_potential_capacity_sample,missing_rate_from_potential_capacity_sample
MNG,Mongolia,0.6032546228987976,107.5,211.21863,4120.190967719567,-3908.9723377195673,2.432192655157404,0.7641509433962265,0.8113207547169812,0.04716981132075472,True,0.2138020833333333,0.0,106,87,0.4507772020725389
SLV,El Salvador,0.6480007768591318,94.0,753.09076,3357.5152904910974,-2604.4245304910974,1.6204929753142339,0.5754716981132075,0.6698113207547169,0.09433962264150944,True,0.0578124999999999,0.0,106,87,0.4507772020725389
NAM,Namibia,0.4386367228883814,140.0,1225.8562,3815.9162596472643,-2590.060059647264,1.6115552910680526,0.5566037735849056,0.7641509433962265,0.20754716981132076,True,0.2,0.0384615384615384,106,87,0.4507772020725389
DOM,Dominican Republic,0.5691724008936305,123.0,907.20123,3329.837518104242,-2422.636288104242,1.5073829326411707,0.5471698113207547,0.660377358490566,0.11320754716981132,True,0.0833333333333333,0.0,106,87,0.4507772020725389
DNK,Denmark,0.8339455876296181,11.0,674.96173,2984.4210130255883,-2309.4592830255883,1.4369633295580748,0.37735849056603776,0.46226415094339623,0.08490566037735849,True,0.0833333333333333,0.0384615384615384,106,87,0.4507772020725389
VCT,St. Vincent and the Grenadines,0.6701417723839488,71.5,1232.5092,3513.4819577366884,-2280.9727577366884,1.4192387944136184,0.48113207547169806,0.6981132075471698,0.2169811320754717,True,0.17734375,0.0769230769230769,106,87,0.4507772020725389
JPN,Japan,0.8428422797911096,5.0,859.7607,3114.2401415601903,-2254.47944156019,1.4027544493100577,0.4528301886792453,0.5566037735849056,0.10377358490566038,True,0.0427083333333332,0.0769230769230769,106,87,0.4507772020725389
LUX,Luxembourg,0.8161753266508913,15.5,-259.57343,1796.0006700275108,-2055.5741000275107,1.2789940158889337,0.169811320754717,0.19811320754716982,0.02830188679245283,True,0.0679687499999999,0.0384615384615384,106,87,0.4507772020725389
BRB,Barbados,0.6579409859020005,71.0,1115.5847,2970.173280064269,-1854.5885800642689,1.153939279448213,0.2735849056603774,0.4528301886792453,0.1792452830188679,True,0.2169270833333332,0.0,106,87,0.4507772020725389
ATG,Antigua and Barbuda,0.7115913123640994,44.5,-654.30273,1199.8263277701963,-1854.1290577701961,1.1536533611423352,0.0849056603773585,0.09433962264150944,0.009433962264150943,True,0.2627604166666665,0.0384615384615384,106,87,0.4507772020725389
FIN,Finland,0.8177702742189719,14.0,1876.0293,3636.311748378223,-1760.282448378223,1.095261278939026,0.3018867924528301,0.7075471698113207,0.4056603773584906,True,0.0520833333333333,0.0769230769230769,106,87,0.4507772020725389
NZL,New Zealand,0.8030950622595759,22.5,-91.14247,1665.3184336941083,-1756.4609036941083,1.0928834844424085,0.12264150943396226,0.16037735849056603,0.03773584905660377,True,0.0583333333333333,0.0384615384615384,106,87,0.4507772020725389
SWE,Sweden,0.8538659065665202,6.0,1389.8391,3136.7813567587964,-1746.9422567587965,1.0869609091047154,0.32075471698113206,0.5849056603773585,0.2641509433962264,True,0.0520833333333333,0.0384615384615384,106,87,0.4507772020725389
UKR,Ukraine,0.5714051748848457,116.5,4533.1055,6272.766737364015,-1739.6612373640155,1.0824306028338924,0.18867924528301883,1.0,0.8113207547169812,True,0.2919270833333333,0.1153846153846153,106,87,0.4507772020725389
ISL,Iceland,0.8197837824330648,13.0,1134.6113,2761.7517687546424,-1627.1404687546424,1.0124193151295544,0.18867924528301888,0.37735849056603776,0.18867924528301888,True,0.0572916666666666,0.0384615384615384,106,87,0.4507772020725389
UZB,Uzbekistan,0.6686025330658762,75.0,1438.2266,3040.913598548166,-1602.6869985481662,0.9972041778784173,0.20754716981132076,0.49056603773584906,0.2830188679245283,True,0.1669270833333333,0.0384615384615384,106,87,0.4507772020725389
FJI,Fiji,0.6178667108182544,114.0,2112.3386,3713.7046679833056,-1601.3660679833056,0.9963822847207642,0.3018867924528301,0.7452830188679245,0.44339622641509435,True,0.17734375,0.0,106,87,0.4507772020725389
BTN,Bhutan,0.6260503846584147,105.5,302.12527,1829.5218735077842,-1527.3966035077842,0.9503579149734344,0.16037735849056606,0.2169811320754717,0.05660377358490566,True,0.3460937499999999,0.0,106,87,0.4507772020725389
NOR,Norway,0.8610700537740054,1.5,1072.0009,2489.43297920569,-1417.4320792056901,0.8819371421389405,0.1509433962264151,0.3113207547169811,0.16037735849056603,True,0.0104166666666666,0.0384615384615384,106,87,0.4507772020725389
TJK,Tajikistan,0.6357559129066745,95.5,1522.2467,2925.5015212413914,-1403.2548212413915,0.8731159431863904,0.11320754716981135,0.4339622641509434,0.32075471698113206,True,0.2218749999999999,0.0,106,87,0.4507772020725389
FRA,France,0.8403236132618811,8.0,1838.9587,3022.6706781782536,-1183.7119781782537,0.7365146975756199,0.08490566037735847,0.4811320754716981,0.39622641509433965,True,0.05234375,0.0384615384615384,106,87,0.4507772020725389
SYC,Seychelles,0.7012259679387803,54.0,-546.97345,633.4835097126017,-1180.4569597126017,0.7344894000496776,0.04716981132075472,0.0660377358490566,0.018867924528301886,True,0.2296874999999999,0.0769230769230769,106,87,0.4507772020725389
CPV,Cabo Verde,0.6056459361798809,118.0,1312.6262,2478.3507868367083,-1165.7245868367083,0.7253228043293579,0.05660377358490565,0.3018867924528302,0.24528301886792453,True,0.1200520833333333,0.0,106,87,0.4507772020725389
JAM,Jamaica,0.6236573755955415,106.0,2040.6863,3130.6037995752968,-1089.9174995752967,0.6781550515502107,0.15094339622641506,0.5754716981132075,0.42452830188679247,True,0.1984374999999999,0.0,106,87,0.4507772020725389
BLZ,Belize,0.6459885184203296,90.0,1799.2277,2882.045701885422,-1082.8180018854223,0.6737376894803904,0.028301886792452824,0.41509433962264153,0.3867924528301887,True,0.3708333333333333,0.0,106,87,0.4507772020725389
MLT,Malta,0.7422932540057879,41.5,1495.4257,2533.374821304886,-1037.9491213048861,0.6458199268653755,0.018867924528301883,0.330188679245283,0.3113207547169811,True,0.3864583333333333,0.0384615384615384,106,87,0.4507772020725389
THA,Thailand,0.6577800277292037,85.0,2082.8452,3096.455734564207,-1013.6105345642068,0.6306762709903058,0.09433962264150941,0.5283018867924528,0.4339622641509434,True,0.3406249999999999,0.0,106,87,0.4507772020725389
KGZ,Kyrgyz Republic,0.6501454007497245,88.0,2132.5605,3144.567183680011,-1012.0066836800111,0.6296783426338252,0.13207547169811318,0.5943396226415094,0.46226415094339623,True,0.21484375,0.0,106,87,0.4507772020725389
EST,Estonia,0.7282265704440525,41.0,3296.8997,4306.840884248152,-1009.9411842481522,0.6283931730001282,0.19811320754716988,0.8490566037735849,0.6509433962264151,True,0.0885416666666666,0.0384615384615384,106,87,0.4507772020725389
DEU,Germany,0.8582878738042546,3.0,2179.8662,3168.4079074236597,-988.5417074236598,0.615078253921651,0.15094339622641506,0.6226415094339622,0.4716981132075472,True,0.0213541666666666,0.0384615384615384,106,87,0.4507772020725389
MYS,Malaysia,0.6456944397265684,96.5,1283.0078,2264.770533286546,-981.7627332865461,0.6108603240717282,0.009433962264150941,0.24528301886792453,0.2358490566037736,True,0.1822916666666666,0.0384615384615384,106,87,0.4507772020725389
MUS,Mauritius,0.6346337579052626,83.0,1459.971,2412.5013362971295,-952.5303362971295,0.5926717018181917,-0.018867924528301883,0.27358490566037735,0.29245283018867924,True,0.2302083333333332,0.0769230769230769,106,87,0.4507772020725389
CYP,Cyprus,0.6867041272209746,65.5,1689.024,2622.0508564244697,-933.0268564244698,0.5805364866265778,-0.009433962264150941,0.3490566037735849,0.3584905660377358,True,0.1627604166666666,0.0769230769230769,106,87,0.4507772020725389
CAN,Canada,0.7994145925547239,20.0,1420.5111,2348.4527926154033,-927.9416926154033,0.5773724585910407,-0.009433962264150941,0.2641509433962264,0.27358490566037735,True,0.0520833333333333,0.0384615384615384,106,87,0.4507772020725389
AUS,Australia,0.8368027626289708,11.5,927.5937,1794.7921784411287,-867.1984784411287,0.5395775635134479,0.056603773584905676,0.18867924528301888,0.1320754716981132,True,0.0627604166666666,0.0384615384615384,106,87,0.4507772020725389
NLD,Netherlands,0.7966718819180485,19.0,2329.8596,3111.9890693963334,-782.1294693963337,0.48664697176078947,0.047169811320754707,0.5377358490566038,0.49056603773584906,True,0.0765624999999998,0.0384615384615384,106,87,0.4507772020725389
SUR,Suriname,0.5820331620334881,111.0,3481.618,4238.093177757436,-756.4751777574361,0.4706846741780459,0.16981132075471705,0.8301886792452831,0.660377358490566,True,0.078125,0.0,106,87,0.4507772020725389
PRT,Portugal,0.773482753376958,26.0,2965.186,3702.310942615842,-737.124942615842,0.4586448090368129,0.12264150943396224,0.7358490566037735,0.6132075471698113,True,0.0598958333333331,0.0384615384615384,106,87,0.4507772020725389
TUR,Turkiye,0.6933497826738224,72.0,2705.4653,3439.957166574424,-734.491866574424,0.4570064888710212,0.12264150943396224,0.6886792452830188,0.5660377358490566,True,0.23984375,0.0769230769230769,106,87,0.4507772020725389
URY,Uruguay,0.7597407882153921,36.0,2126.0981,2841.744167258217,-715.646067258217,0.4452804875803113,-0.05660377358490565,0.39622641509433965,0.4528301886792453,True,0.1197916666666666,0.0769230769230769,106,87,0.4507772020725389
AND,Andorra,0.7685882923202738,28.0,1773.4039,2427.9327117447538,-654.5288117447537,0.40725286110446285,-0.09433962264150947,0.2830188679245283,0.37735849056603776,True,0.0791666666666666,0.1538461538461538,106,87,0.4507772020725389
PSE,West Bank and Gaza,0.6587017614512714,96.0,922.9372,1573.9010525240276,-650.9638525240276,0.40503471605674324,0.018867924528301883,0.14150943396226415,0.12264150943396226,True,0.15625,0.0384615384615384,106,87,0.4507772020725389
CHE,Switzerland,0.803058382240651,14.0,2020.4288,2650.108662849276,-629.6798628492759,0.39179165397112686,-0.0566037735849057,0.3584905660377358,0.41509433962264153,True,0.1825520833333333,0.0384615384615384,106,87,0.4507772020725389
BEL,Belgium,0.8308187258687971,10.5,2334.5127,2927.5877931260566,-593.0750931260563,0.3690158846965657,-0.05660377358490565,0.44339622641509435,0.5,True,0.1007812499999999,0.0384615384615384,106,87,0.4507772020725389
GRC,Greece,0.7354897896001756,44.0,3676.7937,4266.202404657772,-589.4087046577715,0.36673462959085207,0.16981132075471705,0.839622641509434,0.6698113207547169,True,0.2244791666666666,0.0384615384615384,106,87,0.4507772020725389
BHS,"Bahamas, The",0.6272271607997593,99.0,2630.4177,3164.1509405200522,-533.7332405200523,0.3320929275655985,0.07547169811320753,0.6132075471698113,0.5377358490566038,True,0.1721354166666666,0.0384615384615384,106,87,0.4507772020725389
GTM,Guatemala,0.5425743618946528,131.0,2760.5828,3286.391314642447,-525.8085146424469,0.3271621021699673,0.07547169811320753,0.6509433962264151,0.5754716981132075,True,0.0625,0.0,106,87,0.4507772020725389
PHL,Philippines,0.4762555295733501,137.0,2245.3413,2673.130806366826,-427.7895063668261,0.26617392128842715,-0.11320754716981135,0.36792452830188677,0.4811320754716981,True,0.0625,0.0,106,87,0.4507772020725389
KOR,"Korea, Rep.",0.7256044338064565,31.0,1248.7174,1656.5742160619966,-407.8568160619966,0.2537716480645608,-0.07547169811320756,0.1509433962264151,0.22641509433962265,True,0.2104166666666662,0.0769230769230769,106,87,0.4507772020725389
GBR,United Kingdom,0.7855584803681768,23.0,2703.8333,3095.3774537333816,-391.5441537333818,0.2436217840916513,-0.037735849056603765,0.5188679245283019,0.5566037735849056,True,0.0593749999999998,0.0384615384615384,106,87,0.4507772020725389
ESP,Spain,0.7786480255688792,29.0,2906.9697,3263.9835357886086,-357.0138357886085,0.22213675466969263,0.047169811320754707,0.6415094339622641,0.5943396226415094,True,0.09375,0.0384615384615384,106,87,0.4507772020725389
AZE,Azerbaijan,0.5727858513007176,119.0,3777.4768,4120.190379172456,-342.7135791724563,0.21323902500989103,0.09433962264150952,0.8018867924528302,0.7075471698113207,True,0.1528645833333333,0.0,106,87,0.4507772020725389
IRL,Ireland,0.8006104333369206,15.0,1580.8341,1868.1496445102425,-287.3155445102425,0.17876994173820018,-0.1132075471698113,0.22641509433962265,0.33962264150943394,True,0.0523437499999999,0.0384615384615384,106,87,0.4507772020725389
SVN,Slovenia,0.805722499678827,18.0,2868.0425,3115.6763031045675,-247.6338031045675,0.15407965701568344,-0.018867924528301883,0.5660377358490566,0.5849056603773585,True,0.0992187499999999,0.0384615384615384,106,87,0.4507772020725389
AUT,Austria,0.830528220154409,7.0,2567.4924,2765.756093019986,-198.26369301998602,0.12336119478116096,-0.14150943396226412,0.3867924528301887,0.5283018867924528,True,0.0682291666666666,0.0769230769230769,106,87,0.4507772020725389
HUN,Hungary,0.7401533362116283,44.0,4209.2827,4349.684885378956,-140.40218537895635,0.08735931967376477,0.10377358490566035,0.8584905660377359,0.7547169811320755,True,0.140625,0.0769230769230769,106,87,0.4507772020725389
SMR,San Marino,0.7024569819118412,26.0,3935.886,4036.238523111445,-100.35252311144495,0.06244011176107783,0.0660377358490567,0.7830188679245284,0.7169811320754716,True,0.3283854166666666,0.2307692307692307,106,87,0.4507772020725389
ISR,Israel,0.7458520258711318,39.0,1356.6249,1429.2856722525914,-72.66077225259141,0.04521009138015997,-0.14150943396226415,0.11320754716981132,0.25471698113207547,True,0.0953124999999999,0.0769230769230769,106,87,0.4507772020725389
OMN,Oman,0.7351618152881761,54.0,958.591,981.3805867990079,-22.789586799007907,0.014179856196924844,-0.0660377358490566,0.07547169811320754,0.14150943396226415,True,0.3088541666666666,0.0,106,87,0.4507772020725389
DZA,Algeria,0.6490773240471281,96.0,2952.565,2911.11908419295,41.445915807049914,-0.025787967604545707,-0.17924528301886788,0.42452830188679247,0.6037735849056604,True,0.1796875,0.0,106,87,0.4507772020725389
KAZ,Kazakhstan,0.7090108830379578,57.0,4240.0146,4081.399851620132,158.61474837986862,-0.09869131645843612,0.028301886792452824,0.7924528301886793,0.7641509433962265,True,0.1458333333333333,0.0,106,87,0.4507772020725389
LVA,Latvia,0.6788426652576671,73.0,5407.656,5248.10665831314,159.54934168686032,-0.0992728276026543,0.07547169811320753,0.9433962264150944,0.8679245283018868,True,0.2815104166666666,0.0384615384615384,106,87,0.4507772020725389
MDA,Moldova,0.6559742104121051,70.5,5433.009,5254.079734261424,178.92926573857585,-0.11133116541212293,0.07547169811320753,0.9528301886792453,0.8773584905660378,True,0.2244791666666666,0.0,106,87,0.4507772020725389
MNE,Montenegro,0.6477545124955246,81.5,5335.1875,5149.540702066335,185.64679793366486,-0.11551086561312522,0.09433962264150941,0.9339622641509434,0.839622641509434,True,0.2916666666666667,0.0,106,87,0.4507772020725389
ZAF,South Africa,0.4558240917095925,138.0,4671.983,4483.8626840220295,188.12031597797068,-0.11704990756584203,0.05660377358490565,0.8773584905660378,0.8207547169811321,True,0.2294270833333333,0.0384615384615384,106,87,0.4507772020725389
PAN,Panama,0.6543250217256888,76.0,1724.4185,1528.640239910675,195.77826008932493,-0.12181473929450747,-0.23584905660377356,0.1320754716981132,0.36792452830188677,True,0.1044270833333333,0.0384615384615384,106,87,0.4507772020725389
CRI,Costa Rica,0.732177745182939,48.5,1545.6193,1349.6692901299089,195.9500098700912,-0.12192160332914741,-0.22641509433962262,0.10377358490566038,0.330188679245283,True,0.22421875,0.0,106,87,0.4507772020725389
IRN,"Iran, Islamic Rep.",0.6716950825288099,90.0,3064.1272,2845.2194563655967,218.90774363440323,-0.13620608186121952,-0.2264150943396226,0.4056603773584906,0.6320754716981132,True,0.1828124999999999,0.0769230769230769,106,87,0.4507772020725389
JOR,Jordan,0.6757023078644859,88.0,1475.2865,1186.945466028063,288.3410339719369,-0.1794080091690193,-0.2169811320754717,0.08490566037735849,0.3018867924528302,True,0.2307291666666666,0.0384615384615384,106,87,0.4507772020725389
ITA,Italy,0.7638932900906541,30.0,4042.4766,3745.4697504988844,297.00684950111554,-0.184799946246096,0.028301886792452935,0.7547169811320755,0.7264150943396226,True,0.1109374999999999,0.0384615384615384,106,87,0.4507772020725389
