iso3,country,n_bootstrap,coverage_count,missing_count_from_potential_capacity_sample,missing_rate_from_potential_capacity_sample,conversion_efficiency_mean,conversion_efficiency_std,conversion_efficiency_ci_low,conversion_efficiency_ci_high,probability_under_realizer,probability_over_performer,probability_data_limited_uncertain,profile_stability_score
NOR,Norway,1000,106,87,0.4507772020725389,0.838921962762167,0.19815646803415,0.4487367413847337,1.2136110957493091,0.0,0.0,0.0,1.0
DEU,Germany,1000,106,87,0.4507772020725389,0.5807170618796744,0.20239308797226602,0.1888649508222315,0.975262956195188,0.002,0.0,0.0,0.998
SWE,Sweden,1000,106,87,0.4507772020725389,1.0447170360566846,0.1687108539517256,0.7161461772613854,1.352600023350638,0.0,0.0,0.0,1.0
JPN,Japan,1000,106,87,0.4507772020725389,1.3706153968797385,0.31649313057337697,0.7934240365525955,2.054642640556479,0.0,0.0,0.0,1.0
FRA,France,1000,106,87,0.4507772020725389,0.6978165893875989,0.1602775649019671,0.37764994863348794,1.002450953290309,0.0,0.0,0.0,1.0
AUS,Australia,1000,106,87,0.4507772020725389,0.5417254845065504,0.2495546308706669,0.04661724643036008,1.0291813173553694,0.018,0.0,0.0,0.982
DNK,Denmark,1000,106,87,0.4507772020725389,1.3785693615972432,0.15930606828651217,1.057470389193827,1.6808990792381993,0.0,0.0,0.0,1.0
BEL,Belgium,1000,106,87,0.4507772020725389,0.34044341106845244,0.1882500469296736,-0.020092644370452377,0.7091442609386416,0.037,0.0,0.0,0.963
AUT,Austria,1000,106,87,0.4507772020725389,0.09710928186990284,0.14891460778592625,-0.20587269927870122,0.3681120522823161,1.0,0.0,0.0,1.0
ISL,Iceland,1000,106,87,0.4507772020725389,0.9798341000000493,0.24343261240017755,0.49316666514156227,1.4214566744564312,0.0,0.0,0.0,1.0
FIN,Finland,1000,106,87,0.4507772020725389,1.0586387060766078,0.17814808595322557,0.713380102183632,1.393358400850968,0.0,0.0,0.0,1.0
LUX,Luxembourg,1000,106,87,0.4507772020725389,1.2052314889469824,0.20108363756648437,0.8008951272263288,1.566178636270684,0.0,0.0,0.0,1.0
CZE,Czechia,1000,106,87,0.4507772020725389,-0.6161469316507452,0.13794223103969494,-0.871492811515762,-0.3286599515509252,1.0,0.0,0.0,1.0
USA,United States,1000,106,87,0.4507772020725389,-1.1835025297330997,0.1907621096902904,-1.5371907593020873,-0.7992533555210203,1.0,0.0,0.0,1.0
SVN,Slovenia,1000,106,87,0.4507772020725389,0.13230878751756078,0.1537864374009895,-0.19177028721257144,0.422623390276025,1.0,0.0,0.0,1.0
NZL,New Zealand,1000,106,87,0.4507772020725389,1.0705169783410298,0.16627379708392942,0.7197517817861394,1.3859247775242636,0.0,0.0,0.0,1.0
CHE,Switzerland,1000,106,87,0.4507772020725389,0.35222520878466,0.1665396871329178,0.005650582713774829,0.6453209748388609,0.023,0.0,0.0,0.977
IRL,Ireland,1000,106,87,0.4507772020725389,0.13857418218889972,0.21656333879328654,-0.30715823344728327,0.5305325277047802,0.255,0.0,0.0,0.745
CAN,Canada,1000,106,87,0.4507772020725389,0.5691864068451704,0.24832619565895736,0.08449541759213693,1.0536744879802402,0.01,0.0,0.0,0.99
NLD,Netherlands,1000,106,87,0.4507772020725389,0.4568332882122802,0.18640735355138124,0.11357063834303259,0.8361637946235828,0.003,0.0,0.0,0.997
MDV,Maldives,1000,106,87,0.4507772020725389,-0.7193061196975543,0.4176468408247045,-1.596467593020148,-0.00015866208909745102,0.975,0.0,0.0,0.975
GBR,United Kingdom,1000,106,87,0.4507772020725389,0.2194501254138876,0.1418823564667981,-0.07719962485596057,0.48210214960920555,1.0,0.0,0.0,1.0
ESP,Spain,1000,106,87,0.4507772020725389,0.19977635045522088,0.1531017631858027,-0.12218761621390345,0.49338661553489616,1.0,0.0,0.0,1.0
SVK,Slovak Republic,1000,106,87,0.4507772020725389,-1.3708273122329016,0.09692397124750513,-1.5613794312476545,-1.1721760471147882,1.0,0.0,0.0,1.0
PRT,Portugal,1000,106,87,0.4507772020725389,0.43239748777985304,0.1912998656132936,0.035783338984967925,0.7895196182998996,1.0,0.0,0.0,1.0
