iso3,country,n_simulations,coverage_count,missing_count_from_potential_capacity_sample,missing_rate_from_potential_capacity_sample,conversion_efficiency_mean,conversion_efficiency_ci_low,conversion_efficiency_ci_high,conversion_efficiency_std,most_likely_profile,profile_stability_score,robustness_category
NOR,Norway,1000,106,87,0.4507772020725389,0.8923428313596089,0.4551708643901966,1.3453415447856716,0.21777610872363534,effective converters,0.999,robust
DEU,Germany,1000,106,87,0.4507772020725389,0.6889933495215648,0.23241288743596117,1.0794078970144205,0.2169369300513099,effective converters,0.982,robust
SWE,Sweden,1000,106,87,0.4507772020725389,1.1070985027219251,0.7461208946523548,1.4443654208981909,0.18443015865865026,effective converters,0.997,robust
JPN,Japan,1000,106,87,0.4507772020725389,1.445877579278282,0.817843284896854,2.1225891534594887,0.32858740101414674,effective converters,0.988,robust
FRA,France,1000,106,87,0.4507772020725389,0.753923849206634,0.3650616411882252,1.061701766357234,0.1806948450251538,effective converters,0.984,robust
AUS,Australia,1000,106,87,0.4507772020725389,0.6216994818509752,0.1078726781863739,1.203720531760683,0.27819299571727135,effective converters,0.982,robust
DNK,Denmark,1000,106,87,0.4507772020725389,1.4338554141823616,1.109973998079229,1.747217026715516,0.16881956795737332,effective converters,0.988,robust
BEL,Belgium,1000,106,87,0.4507772020725389,0.4508214590775364,0.016325970322621598,0.8570963914604605,0.21052508314644897,effective converters,0.937,robust
AUT,Austria,1000,106,87,0.4507772020725389,0.1387652904052089,-0.21823162263463708,0.47738619528087506,0.1841266385834268,capacity under-realizers,0.952,robust
ISL,Iceland,1000,106,87,0.4507772020725389,0.9896551026876808,0.4995007674095503,1.4979149841243395,0.2571809094836058,effective converters,0.988,robust
FIN,Finland,1000,106,87,0.4507772020725389,1.049377400912208,0.6717487506498259,1.4285987537067837,0.19639480084640912,effective converters,0.987,robust
LUX,Luxembourg,1000,106,87,0.4507772020725389,1.2000056814904323,0.7334183303275182,1.600271673561273,0.2174843218112093,effective converters,0.998,robust
